,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
176,2001022,24,,right,saccade,1.0,45.0,,,751.8389999999997,172.953,839.825,282.185,,,
177,2001026,20,,left,saccade,1.0,,,,739.2869999999997,203.04,771.6139999999997,293.939,,,
178,2001050,235,3.2760862068965517,left,fixation,1.0,,808.328066666667,295.077733333333,,,,,0.0,,
179,2001050,239,3.2757627118644064,right,fixation,1.0,46.0,838.316819672131,285.51604918032797,,,,,0.0,,
180,2001289,24,,left,saccade,2.0,,,,798.1,301.936,553.538,304.85,,,
181,2001293,24,,right,saccade,2.0,46.0,,,834.818,309.113,598.219,287.018,,,
182,2001317,48,3.265041666666667,left,fixation,2.0,,541.819153846154,318.261153846154,,,,,0.0,,
183,2001321,40,3.2657000000000003,right,fixation,2.0,47.0,581.927818181818,283.305363636364,,,,,1.0,4.953645372069174,8.804567905354556
184,2001365,25,,right,saccade,3.0,47.0,,,570.788,288.427,428.876,297.74,,,
185,2001369,21,,left,saccade,3.0,,,,534.698,334.841,429.2,336.51800000000014,,,
186,2001394,444,3.2671621621621623,left,fixation,3.0,,398.2297321428569,307.050964285714,,,,,2.0,4.376332217547343,8.535023887886124
187,2001394,444,3.2671621621621623,right,fixation,3.0,48.0,403.6555,282.57733035714296,,,,,1.0,3.8332571369238537,8.686199859547276
304,2015353,20,,left,saccade,4.0,,,,603.002,174.821,478.527,297.242,,,
306,2015377,172,3.4710348837209293,right,fixation,4.0,79.0,468.45784090909103,271.44820454545396,,,,,0.0,,
307,2015377,180,3.4707111111111097,left,fixation,4.0,,460.116934782609,320.355130434783,,,,,2.0,10.436830968972927,16.77205324148099
308,2015553,12,,right,saccade,4.0,79.0,,,463.04400000000004,286.57099999999997,422.29699999999997,282.24,,,
309,2015561,4,,left,saccade,5.0,,,,427.35699999999997,325.654,419.56199999999995,320.308,,,
310,2015569,424,3.424561320754717,right,fixation,5.0,80.0,403.46510280373803,269.78251401869204,,,,,1.0,7.722633582168995,27.995360651365107
311,2015569,1035,3.2964593023255815,left,fixation,5.0,,456.759238461538,308.777869230769,,,,,4.0,5.651932446403098,14.252509433818002
312,2015997,16,,right,saccade,5.0,80.0,,,416.659,304.601,500.584,304.25,,,
313,2016017,331,3.2498048780487814,right,fixation,6.0,81.0,502.017476190476,293.610059523809,,,,,0.0,,
314,2016352,12,,right,saccade,6.0,81.0,,,505.03,319.684,548.307,317.836,,,
315,2016368,224,3.1401875,right,fixation,7.0,82.0,554.612403508772,306.72419298245603,,,,,0.0,,
316,2016596,20,,right,saccade,7.0,82.0,,,553.911,321.8590000000001,653.14,316.254,,,
317,2016608,4,,left,saccade,6.0,,,,564.7,319.654,571.184,319.654,,,
318,2016616,704,3.1526392045454545,left,fixation,6.0,,575.264898305085,310.176237288136,,,,,4.0,7.075896760715599,17.04854034272888
319,2016620,688,3.1523546511627902,right,fixation,8.0,83.0,618.447838150289,292.09658381502896,,,,,4.0,5.877699898599566,15.503613874406831
320,2017312,20,,right,saccade,8.0,83.0,,,559.111,292.63599999999997,653.431,290.644,,,
321,2017324,8,,left,saccade,7.0,,,,557.549,310.5540000000001,581.6619999999998,310.5540000000001,,,
322,2017336,281,3.170838028169014,left,fixation,7.0,,608.044112676056,321.603042253521,,,,,1.0,6.128141246649637,8.031335194100627
323,2017336,281,3.170838028169014,right,fixation,9.0,84.0,652.550225352112,291.186816901408,,,,,0.0,,
324,2017621,16,,left,saccade,8.0,,,,602.2040000000002,306.495,668.477,303.74,,,
325,2017621,16,,right,saccade,9.0,84.0,,,654.845,282.632,710.204,270.171,,,
326,2017641,239,3.1262372881355933,right,fixation,10.0,85.0,727.155196721312,293.724442622951,,,,,1.0,9.006965360208753,22.290435841409696
327,2017641,243,3.1268250000000006,left,fixation,8.0,,693.864548387096,325.273403225806,,,,,0.0,,
328,2017884,20,,right,saccade,10.0,85.0,,,732.7139999999997,273.902,828.0010000000003,267.839,,,
329,2017888,16,,left,saccade,9.0,,,,687.3330000000003,303.846,768.7769999999997,295.619,,,
330,2017908,600,3.125863333333333,left,fixation,9.0,,796.166198675497,318.733423841059,,,,,1.0,4.531394735619476,8.794392133626934
331,2017908,600,3.125863333333333,right,fixation,11.0,86.0,846.1464900662262,273.441913907285,,,,,1.0,6.433875462908987,24.723046596242927
332,2018512,20,,left,saccade,10.0,,,,814.87,304.846,722.8960000000003,309.2940000000001,,,
333,2018512,20,,right,saccade,11.0,86.0,,,851.14,274.24,767.904,281.933,,,
334,2018536,260,3.078838461538462,left,fixation,10.0,,715.5286515151511,345.55175757575796,,,,,0.0,,
335,2018536,260,3.078838461538462,right,fixation,12.0,87.0,762.121303030303,298.035212121212,,,,,0.0,,
336,2018800,28,,left,saccade,11.0,,,,718.013,347.408,476.36699999999996,349.285,,,
337,2018800,28,,right,saccade,12.0,87.0,,,757.5210000000003,301.697,508.73900000000003,305.882,,,
338,2018832,564,3.2015886524822688,left,fixation,11.0,,432.874253521127,329.608866197183,,,,,1.0,6.186244247432271,24.09409392361534
339,2018832,564,3.2015886524822688,right,fixation,13.0,88.0,449.0788098591549,300.543528169014,,,,,1.0,5.059677967903563,11.572266502289006
340,2019400,20,,left,saccade,12.0,,,,414.496,305.33299999999997,505.62300000000016,308.245,,,
341,2019400,20,,right,saccade,13.0,88.0,,,455.958,313.156,537.303,310.892,,,
342,2019424,385,3.253907216494845,left,fixation,12.0,,525.881783505155,315.669412371134,,,,,0.0,,
343,2019424,385,3.253907216494845,right,fixation,14.0,89.0,554.757773195877,307.342567010309,,,,,0.0,,
344,2019813,20,,left,saccade,13.0,,,,523.562,292.464,613.525,293.381,,,
345,2019813,20,,right,saccade,14.0,89.0,,,554.862,298.474,662.677,303.698,,,
346,2019837,299,3.282912162162162,left,fixation,13.0,,625.808842105263,303.280434210526,,,,,0.0,,
347,2019837,299,3.282912162162162,right,fixation,15.0,90.0,670.069894736843,283.487763157895,,,,,0.0,,
348,2020140,20,,left,saccade,14.0,,,,632.192,295.03,698.6389999999999,292.085,,,
350,2020164,216,3.299203703703703,left,fixation,14.0,,729.904981818182,321.27667272727297,,,,,1.0,7.42677307299597,4.710299565844993
351,2020164,216,3.299203703703703,right,fixation,16.0,91.0,753.9776181818179,268.2714,,,,,0.0,,
352,2020384,20,,left,saccade,15.0,,,,732.931,326.688,801.768,323.67,,,
353,2020384,20,,right,saccade,15.0,91.0,,,752.204,267.769,865.3689999999997,277.45799999999997,,,
354,2020408,280,3.2740500000000003,left,fixation,15.0,,830.6676619718311,312.814450704225,,,,,1.0,10.006643315540147,9.212457706822756
355,2020408,284,3.273985915492958,right,fixation,17.0,92.0,869.650069444444,275.051805555556,,,,,0.0,,
356,2020692,28,,left,saccade,16.0,,,,825.564,297.942,534.862,320.499,,,
357,2020696,28,,right,saccade,16.0,92.0,,,865.0,274.032,583.585,261.38599999999997,,,
358,2020724,280,3.3194428571428576,left,fixation,16.0,,510.809464788732,302.27270422535196,,,,,2.0,7.35928749776607,21.64725208585569
359,2020728,272,3.3195294117647056,right,fixation,18.0,93.0,544.5461304347821,276.966956521739,,,,,2.0,6.408562670418725,19.25419774934628
360,2021004,48,,right,saccade,17.0,93.0,,,527.898,269.605,1315.642,265.123,,,
361,2021008,44,,left,saccade,17.0,,,,482.034,282.051,1303.979,260.827,,,
362,2021056,804,3.2695547263681584,left,fixation,17.0,,1352.8743019802,272.690148514852,,,,,0.0,,
