,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
60,2288083,52,,left,saccade,1.0,,,,1209.729,244.109,401.029,416.20300000000003,,,
61,2288083,56,,right,saccade,1.0,16.0,,,1184.567,282.774,369.884,430.342,,,
62,2288139,360,3.971356589147287,left,fixation,1.0,,393.597483516484,392.45278021978,,,,,3.0,5.774800467538023,23.392763814188967
63,2288143,352,3.970992125984252,right,fixation,1.0,17.0,348.231820224719,399.113033707865,,,,,4.0,4.2214383920966965,12.066555371566606
64,2288499,40,,right,saccade,2.0,17.0,,,344.523,388.13199999999995,332.461,359.25800000000015,,,
65,2288503,40,,left,saccade,2.0,,,,401.309,377.161,404.12,362.39300000000003,,,
66,2288651,1292,3.9391465277777775,right,fixation,2.0,18.0,379.177521604939,394.77938580246905,,,,,10.0,5.971051869833636,20.31123789483593
67,2288663,148,3.843695652173914,left,fixation,2.0,,395.54581578947403,359.590315789474,,,,,3.0,5.881530210719628,15.159338437725587
68,2288815,0,,left,saccade,3.0,,,,385.88599999999997,406.059,385.88599999999997,406.059,,,
69,2288819,1128,3.944234161793372,left,fixation,3.0,,411.105833922262,384.57203886925794,,,,,5.0,6.9513091115173,27.191063362985968
70,2289947,44,,right,saccade,3.0,18.0,,,371.352,374.355,369.126,394.69599999999997,,,
71,2289951,40,,left,saccade,4.0,,,,418.17900000000003,363.876,423.329,395.38599999999997,,,
72,2290107,2328,4.063895584811099,right,fixation,3.0,19.0,391.774013722127,407.698089193826,,,,,13.0,19.362756118166477,60.436084803988955
73,2290115,2320,4.063895584811099,left,fixation,4.0,,428.090397590361,400.846662650602,,,,,7.0,31.198514551751014,95.20256385037905
74,2292439,32,,right,saccade,4.0,19.0,,,431.42900000000003,384.091,628.6469999999998,514.494,,,
75,2292439,36,,left,saccade,5.0,,,,465.19199999999995,384.48900000000003,644.36,517.6,,,
76,2292475,156,4.1788461538461545,right,fixation,4.0,20.0,642.3432,539.37135,,,,,0.0,,
77,2292479,148,4.179324324324323,left,fixation,5.0,,660.716868421052,523.182552631579,,,,,0.0,,
78,2292631,28,,left,saccade,6.0,,,,661.495,536.988,531.9540000000002,537.289,,,
79,2292635,24,,right,saccade,5.0,20.0,,,643.099,555.776,507.91,555.165,,,
80,2292663,256,4.1526328125,right,fixation,5.0,21.0,474.835723076923,549.1198,,,,,1.0,3.3878634573364335,9.170921872963449
81,2292663,260,4.151523076923079,left,fixation,6.0,,501.390848484849,530.679712121212,,,,,1.0,2.420648013560739,9.57779985174041
82,2292923,28,,right,saccade,6.0,21.0,,,491.824,565.3969999999998,435.845,445.745,,,
83,2292927,20,,left,saccade,7.0,,,,492.75800000000004,521.318,472.695,447.082,,,
84,2292951,452,4.031446902654866,left,fixation,7.0,,456.37568421052595,385.9273333333329,,,,,1.0,8.88431093588891,36.235608246585215
85,2292955,452,4.03146017699115,right,fixation,6.0,22.0,414.007649122807,409.227315789474,,,,,2.0,3.8684929051123778,17.472684945885586
86,2293407,24,,left,saccade,8.0,,,,455.89599999999996,352.917,391.284,438.10400000000004,,,
87,2293411,20,,right,saccade,7.0,22.0,,,422.398,392.45599999999996,365.06,463.837,,,
88,2293435,264,4.087446969696972,left,fixation,8.0,,400.227701492537,464.906074626866,,,,,2.0,3.650127923248871,7.9185736488776834
89,2293435,268,4.087798507462687,right,fixation,7.0,23.0,368.8205,491.614397058823,,,,,2.0,5.038282750869353,12.663407569011431
90,2293703,20,,left,saccade,9.0,,,,405.23900000000003,468.499,399.73800000000006,369.03,,,
91,2293707,16,,right,saccade,8.0,23.0,,,363.541,491.43300000000005,367.376,417.952,,,
92,2293727,356,4.072769662921348,right,fixation,8.0,24.0,360.351566666667,372.44754444444396,,,,,0.0,,
