,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
310,2020916,100,3.5724,left,fixation,1.0,,819.694538461538,398.806730769231,,,,,0.0,,
312,2021020,32,,left,saccade,1.0,,,,812.507,417.881,490.667,447.769,,,
313,2021020,36,,right,saccade,1.0,80.0,,,828.671,390.055,490.5,437.723,,,
314,2021056,552,3.5866014492753626,left,fixation,2.0,,447.435985611511,460.770805755395,,,,,3.0,4.915187120866968,22.150021005089485
315,2021060,548,3.5866532846715327,right,fixation,1.0,81.0,451.4849420289849,473.579753623189,,,,,1.0,5.558738111198352,20.497612665869166
316,2021612,16,,right,saccade,2.0,81.0,,,451.82,482.31199999999995,512.891,487.30300000000005,,,
317,2021612,20,,left,saccade,2.0,,,,445.935,466.342,518.263,471.56300000000016,,,
318,2021632,192,3.574080846890504,right,fixation,2.0,82.0,527.3040408163259,496.74730612244906,,,,,1.0,3.9031808467225786,6.439770337519784
319,2021636,192,3.574340421164482,left,fixation,3.0,,527.705551020408,475.4914285714289,,,,,0.0,,
321,2021832,40,,left,saccade,3.0,,,,530.219,481.56199999999995,524.814,518.995,,,
323,2022028,24,,right,saccade,3.0,83.0,,,505.543,550.88,503.175,478.26199999999994,,,
324,2022028,100,,left,fixation,4.0,,533.896423076923,489.84334615384597,,,,,2.0,11.03599782362656,26.47096499109546
325,2022056,80,,right,fixation,3.0,84.0,515.756142857143,492.85576190476195,,,,,2.0,7.066897518514053,21.247475733384874
326,2022132,16,,left,saccade,4.0,,,,535.55,496.50300000000004,470.26800000000003,491.949,,,
327,2022140,4,,right,saccade,4.0,84.0,,,497.814,500.184,475.485,499.56800000000004,,,
328,2022148,764,3.5399826227485014,right,fixation,4.0,85.0,459.99690625,505.722354166667,,,,,2.0,7.332403929818188,17.392145111858333
329,2022152,1168,3.533135273972602,left,fixation,5.0,,490.169699658703,489.39058020477796,,,,,5.0,5.0945560564737065,21.37494610329364
330,2022916,4,,right,saccade,5.0,85.0,,,525.015,513.109,525.385,510.333,,,
331,2022924,388,3.5204896907216496,right,fixation,5.0,86.0,546.457908163265,499.596408163265,,,,,1.0,4.776538510144031,18.80364390218015
332,2023316,20,,right,saccade,6.0,86.0,,,546.783,500.772,648.697,496.93,,,
333,2023324,8,,left,saccade,5.0,,,,573.3,488.968,606.038,488.968,,,
334,2023336,631,3.564837579617834,left,fixation,6.0,,659.025591194968,494.884031446541,,,,,1.0,5.16490693150525,16.23412483012247
335,2023340,627,3.5646826923076924,right,fixation,6.0,87.0,652.349981012658,498.682987341772,,,,,0.0,,
336,2023971,20,,left,saccade,6.0,,,,664.791,479.598,741.6410000000003,479.76199999999994,,,
337,2023971,20,,right,saccade,7.0,87.0,,,686.645,497.87300000000016,748.694,499.245,,,
338,2023995,1457,3.4412780821917814,left,fixation,7.0,,795.469249315068,493.310917808219,,,,,3.0,6.724011064017072,29.595121683622626
339,2023995,1457,3.4412780821917814,right,fixation,7.0,88.0,819.548306849315,493.31628219178003,,,,,2.0,6.721908376551824,32.85965793311692
340,2025456,36,,left,saccade,7.0,,,,867.2410000000001,477.048,499.154,475.923,,,
341,2025456,36,,right,saccade,8.0,88.0,,,890.993,501.436,523.118,491.36199999999997,,,
342,2025496,580,3.4763931034482765,right,fixation,8.0,89.0,476.0185342465751,507.825321917808,,,,,1.0,10.15886899326013,31.409291762152144
343,2025496,584,3.4762808219178085,left,fixation,8.0,,450.102013605442,480.26871428571405,,,,,2.0,5.2531754698127555,15.917233524656847
344,2026080,20,,right,saccade,9.0,89.0,,,463.913,518.41,551.9209999999998,518.443,,,
345,2026084,24,,left,saccade,8.0,,,,445.272,486.556,546.487,488.289,,,
