,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
70,2452234,56,,left,saccade,1.0,,,,1321.495,339.904,495.48800000000006,435.654,,,
72,2452294,345,3.382097701149426,left,fixation,1.0,,447.004034482758,456.3009655172409,,,,,2.0,8.740164789622915,28.66296515155377
75,2452454,185,3.378351063829788,right,fixation,1.0,20.0,419.796021276596,397.332957446809,,,,,0.0,,
76,2452643,15,,right,saccade,1.0,20.0,,,425.096,400.801,507.76099999999997,399.139,,,
77,2452643,19,,left,saccade,2.0,,,,416.73,474.279,502.074,478.029,,,
78,2452662,285,3.3173263888888886,right,fixation,2.0,21.0,517.542805555556,401.764694444444,,,,,0.0,,
79,2452666,281,3.316676056338028,left,fixation,2.0,,523.643450704225,476.515549295774,,,,,1.0,3.380653273489538,10.860077393831055
80,2452951,20,,left,saccade,3.0,,,,532.251,492.541,627.423,485.35,,,
81,2452951,20,,right,saccade,2.0,21.0,,,523.196,391.773,622.149,390.80800000000005,,,
82,2452975,323,3.2296875,right,fixation,3.0,22.0,627.822768292683,394.927646341463,,,,,0.0,,
83,2452975,703,3.1981914285714286,left,fixation,3.0,,673.316644067796,466.509881355932,,,,,5.0,5.388051142986642,18.341883726126774
84,2453302,16,,right,saccade,3.0,22.0,,,622.42,397.51,682.1260000000002,398.444,,,
85,2453322,344,3.169075581395348,right,fixation,4.0,23.0,721.115724137931,404.56394252873594,,,,,2.0,5.018656226339716,14.948190950744516
86,2453670,20,,right,saccade,4.0,23.0,,,737.567,389.267,822.797,389.267,,,
87,2453682,0,,left,saccade,4.0,,,,769.2610000000003,463.10400000000004,769.2610000000003,463.10400000000004,,,
88,2453686,236,3.166593220338984,left,fixation,4.0,,822.368566666667,452.7156333333329,,,,,2.0,3.714973708792958,13.88638862478128
90,2453918,16,,right,saccade,5.0,24.0,,,828.903,405.21,769.7460000000003,401.045,,,
91,2453926,0,,left,saccade,5.0,,,,802.895,450.421,802.895,450.421,,,
92,2453930,184,3.1629891304347817,left,fixation,5.0,,746.572574468085,458.50114893617007,,,,,2.0,3.6153209028806494,7.932562521676516
93,2453938,176,3.1626704545454545,right,fixation,5.0,25.0,754.8723777777783,394.789066666667,,,,,1.0,4.4122320157841965,10.900072706179543
94,2454118,20,,left,saccade,6.0,,,,746.334,439.36400000000003,621.596,446.51599999999996,,,
95,2454118,20,,right,saccade,6.0,25.0,,,768.296,397.38800000000003,651.1990000000002,402.486,,,
96,2454142,212,3.187962264150943,left,fixation,6.0,,635.745,460.72692592592597,,,,,1.0,4.2119414796240715,18.007825437847842
97,2454142,212,3.187962264150943,right,fixation,6.0,26.0,639.040148148148,405.38837037037,,,,,0.0,,
98,2454358,20,,left,saccade,7.0,,,,625.071,454.51199999999994,514.015,475.11400000000003,,,
99,2454358,20,,right,saccade,7.0,26.0,,,634.119,394.555,521.9209999999998,413.385,,,
100,2454382,180,3.2151413376136966,left,fixation,7.0,,511.46395652173896,482.883130434783,,,,,0.0,,
101,2454382,180,3.2151413376136966,right,fixation,7.0,27.0,514.711739130435,422.900652173913,,,,,0.0,,
102,2454566,73,,left,saccade,8.0,,,,505.124,487.972,399.616,412.93800000000016,,,
106,2454743,123,3.1187015384615377,left,fixation,8.0,,454.4400625,442.56621875,,,,,1.0,7.9019016030601374,57.4696157025606
107,2454755,115,3.130141333333333,right,fixation,8.0,29.0,454.6665333333329,417.205233333334,,,,,0.0,,
108,2454870,16,,left,saccade,9.0,,,,455.228,454.755,520.8480000000002,459.42400000000004,,,
109,2454874,12,,right,saccade,8.0,29.0,,,463.56699999999995,415.769,512.9490000000002,415.509,,,
110,2454890,176,3.2486022727272728,right,fixation,9.0,30.0,533.543266666666,406.065822222222,,,,,1.0,5.565027303516923,8.511968808683394
111,2454890,180,3.2492999999999994,left,fixation,9.0,,538.9061521739129,471.8964782608701,,,,,2.0,3.233506354418232,8.27346272909949
112,2455070,24,,right,saccade,9.0,30.0,,,528.168,424.29400000000004,669.921,429.5,,,
113,2455074,16,,left,saccade,10.0,,,,550.321,478.47,624.255,465.301,,,
114,2455094,361,3.2652637362637367,left,fixation,10.0,,664.593791208791,463.701593406593,,,,,4.0,4.7933275986462665,14.938063719281962
115,2455098,357,3.2651666666666674,right,fixation,10.0,31.0,680.208244444444,413.796822222222,,,,,1.0,11.713369562171275,57.33024260370779
116,2455458,24,,left,saccade,11.0,,,,693.3910000000003,465.39599999999996,538.396,473.279,,,
117,2455458,24,,right,saccade,10.0,31.0,,,698.86,426.444,534.66,429.66,,,
118,2455486,236,3.2571101694915248,left,fixation,11.0,,512.9117,473.6465833333329,,,,,1.0,3.4039785953759574,5.358958854105855
119,2455486,236,3.2571101694915248,right,fixation,11.0,32.0,515.696366666667,419.3684166666671,,,,,4.0,5.297260811900991,13.031338957888494
120,2455726,64,,left,saccade,12.0,,,,495.467,469.345,1400.359,485.014,,,
121,2455726,64,,right,saccade,11.0,32.0,,,495.32199999999995,406.251,1425.9,447.42699999999996,,,
122,2455794,1140,3.2838986013986022,left,fixation,12.0,,1370.40742307692,454.3689755244751,,,,,8.0,7.014835632379218,22.74755081970624
123,2455794,1144,3.2841341463414637,right,fixation,12.0,33.0,1391.38897212544,406.945954703833,,,,,2.0,11.339445903009718,49.1168820432349
