,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
8,2401510,20,,right,saccade,1.0,3.0,,,1338.5020000000004,167.553,1404.338,134.7,,,
9,2401514,12,,left,saccade,1.0,,,,1385.63,92.205,1437.9720000000002,88.211,,,
10,2401530,404,3.915782178217822,left,fixation,1.0,,1429.11117647059,88.1765784313725,,,,,2.0,3.966935431970623,17.387719984266734
11,2401534,400,3.916635,right,fixation,1.0,4.0,1409.9409009901,79.6178217821782,,,,,4.0,4.573594372944108,20.83122053377281
12,2401938,56,,left,saccade,2.0,,,,1409.95,103.97399999999999,652.984,150.321,,,
13,2401938,56,,right,saccade,2.0,4.0,,,1394.933,74.611,659.3939999999999,145.135,,,
14,2401998,128,3.94615625,left,fixation,2.0,,653.618212121212,180.072181818182,,,,,0.0,,
15,2401998,128,3.94615625,right,fixation,2.0,5.0,635.281818181818,161.468909090909,,,,,1.0,3.8524505224308085,8.282718515076994
16,2402130,32,,right,saccade,3.0,5.0,,,625.322,145.225,939.1569999999999,40.06800000000001,,,
17,2402130,36,,left,saccade,3.0,,,,658.1619999999998,172.58900000000003,934.1610000000001,81.332,,,
18,2402166,480,3.883733333333333,right,fixation,3.0,6.0,957.511611570248,62.378834710743796,,,,,2.0,4.246150899469775,18.152209585405856
19,2402170,472,3.883478813559322,left,fixation,3.0,,963.097865546219,60.0951008403362,,,,,1.0,3.5786748517355744,13.698524665087275
20,2402646,40,,left,saccade,4.0,,,,977.086,61.945,593.205,198.22400000000002,,,
21,2402650,36,,right,saccade,4.0,6.0,,,962.395,55.723,596.582,213.66400000000002,,,
22,2402690,192,3.916354166666667,left,fixation,4.0,,594.968367346939,214.478224489796,,,,,0.0,,
23,2402690,200,3.916129999999999,right,fixation,4.0,7.0,597.494607843137,227.40401960784303,,,,,1.0,9.86974879366236,27.433875136407423
24,2402886,8,,left,saccade,5.0,,,,575.922,243.762,553.622,243.762,,,
25,2402894,0,,right,saccade,5.0,7.0,,,555.966,215.083,555.966,215.083,,,
26,2402898,212,3.9256886792452814,left,fixation,5.0,,529.636777777778,212.32687037037,,,,,1.0,2.983871557594642,6.414586658546343
27,2402898,212,3.9256886792452814,right,fixation,5.0,8.0,526.572148148148,202.388462962963,,,,,0.0,,
28,2403114,24,,right,saccade,6.0,8.0,,,526.289,216.81900000000002,712.581,212.118,,,
29,2403114,28,,left,saccade,6.0,,,,533.0459999999998,213.044,722.863,193.324,,,
30,2403142,780,3.833476923076923,right,fixation,6.0,9.0,669.382994897959,176.67354081632595,,,,,2.0,9.320176654568057,53.49957850920863
31,2403146,772,3.8327305699481866,left,fixation,6.0,,696.1058814432989,200.52088144329892,,,,,2.0,6.25926451899433,46.98211272209464
32,2403922,20,,left,saccade,7.0,,,,654.529,187.235,542.364,191.28400000000002,,,
33,2403926,20,,right,saccade,7.0,9.0,,,603.514,146.839,526.001,183.60299999999998,,,
34,2403946,108,3.95301851851852,left,fixation,7.0,,538.263285714286,220.307142857143,,,,,0.0,,
35,2403950,104,3.952634615384616,right,fixation,7.0,10.0,532.0697407407409,219.866962962963,,,,,0.0,,
36,2404058,24,,left,saccade,8.0,,,,537.769,219.61599999999999,663.625,212.497,,,
37,2404058,24,,right,saccade,8.0,10.0,,,532.351,228.979,659.818,208.101,,,
38,2404086,216,3.922157407407408,right,fixation,8.0,11.0,662.165654545455,186.27685454545502,,,,,0.0,,
39,2404086,224,3.922267857142857,left,fixation,8.0,,681.730140350877,214.264561403509,,,,,0.0,,
40,2404306,20,,right,saccade,9.0,11.0,,,661.998,164.233,734.7610000000003,163.195,,,
41,2404314,12,,left,saccade,9.0,,,,692.752,217.97,739.085,217.97,,,
42,2404330,292,3.915753424657536,left,fixation,9.0,,758.660108108108,196.862189189189,,,,,0.0,,
43,2404330,292,3.915753424657536,right,fixation,9.0,12.0,755.387189189189,183.28879729729698,,,,,0.0,,
44,2404626,32,,right,saccade,10.0,12.0,,,760.9169999999997,183.745,515.026,183.396,,,
45,2404626,36,,left,saccade,10.0,,,,758.9830000000003,190.06900000000002,494.74300000000005,221.92700000000002,,,
46,2404662,163,3.9397000000000006,right,fixation,10.0,13.0,509.744476190476,220.779095238095,,,,,0.0,,
47,2404666,159,3.939435897435899,left,fixation,10.0,,506.406024390244,231.41968292682893,,,,,1.0,2.566353931163824,5.047128688670486
48,2404829,32,,left,saccade,11.0,,,,505.29699999999997,239.15599999999998,776.75,208.338,,,
49,2404829,32,,right,saccade,11.0,13.0,,,523.439,237.983,803.74,181.55900000000003,,,
50,2404865,361,3.990615384615384,left,fixation,11.0,,759.20189010989,182.36265934065892,,,,,1.0,10.853348331275468,55.29059876687896
51,2404865,361,3.990615384615384,right,fixation,11.0,14.0,755.475483516484,160.04643956043898,,,,,3.0,5.55326816462058,22.872584526279024
52,2405230,48,,left,saccade,12.0,,,,724.1669999999997,171.826,1362.346,185.08700000000002,,,
53,2405230,48,,right,saccade,12.0,14.0,,,706.02,179.505,1339.9229999999998,175.143,,,
54,2405282,875,3.9781536697247706,left,fixation,12.0,,1448.6973,168.686704545455,,,,,5.0,5.860073995118248,20.6059095410648
55,2405282,875,3.9781536697247706,right,fixation,12.0,15.0,1426.60029090909,152.026259090909,,,,,4.0,8.019523768647803,26.034753324592298
