,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,2456636,20,,right,saccade,1.0,3.0,,,499.376,230.545,703.215,229.174,,,
11,2456636,24,,left,saccade,1.0,,,,512.786,240.78099999999998,731.814,227.54,,,
12,2456660,208,3.1279134615384616,right,fixation,1.0,4.0,734.446,241.628773584906,,,,,1.0,142.31380311324534,11.730372926723161
13,2456664,204,3.128039215686274,left,fixation,1.0,,751.318,243.95417307692296,,,,,0.0,,
14,2456872,28,,left,saccade,2.0,,,,754.28,266.115,997.015,269.404,,,
15,2456872,28,,right,saccade,2.0,4.0,,,745.192,243.423,984.347,242.907,,,
16,2456904,192,3.1070625,left,fixation,2.0,,990.849897959184,280.064775510204,,,,,0.0,,
17,2456904,192,3.1070625,right,fixation,2.0,5.0,982.3532244897959,257.09163265306097,,,,,0.0,,
18,2457100,28,,left,saccade,3.0,,,,988.171,271.134,1216.141,274.123,,,
19,2457100,28,,right,saccade,3.0,5.0,,,976.3989999999999,271.828,1208.497,274.337,,,
20,2457132,268,3.0607313432835825,left,fixation,3.0,,1214.26186764706,264.939308823529,,,,,0.0,,
21,2457132,268,3.0607313432835825,right,fixation,3.0,6.0,1195.32629411765,276.88570588235297,,,,,0.0,,
22,2457404,24,,left,saccade,4.0,,,,1210.829,265.76599999999996,1421.836,269.493,,,
23,2457404,24,,right,saccade,4.0,6.0,,,1197.932,270.60200000000003,1413.2160000000001,276.651,,,
24,2457432,192,3.005459183673469,left,fixation,4.0,,1429.2428571428602,260.645530612245,,,,,0.0,,
25,2457432,192,3.005459183673469,right,fixation,4.0,7.0,1415.7166938775501,271.08587755102,,,,,0.0,,
