,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,2520264,0,,left,saccade,1.0,,,,421.096,195.37,421.096,195.37,,,
11,2520268,156,3.6108467261904766,left,fixation,1.0,,403.841075,174.3981,,,,,1.0,3.71897761114828,8.465172414073997
12,2520428,40,,left,saccade,2.0,,,,402.664,169.972,400.144,85.3,,,
13,2520432,40,,right,saccade,1.0,3.0,,,418.08,209.708,415.18,45.578,,,
16,2520576,456,3.587923443775101,left,fixation,2.0,,435.872104347826,129.419347826087,,,,,3.0,7.979464659482758,17.05980846871818
17,2520588,4,,right,fixation,1.0,5.0,424.079,106.8395,,,,,0.0,,
18,2520596,0,,right,saccade,2.0,5.0,,,427.343,117.45200000000001,427.343,117.45200000000001,,,
19,2520600,428,3.5873676321138213,right,fixation,2.0,6.0,443.923064814815,144.273851851852,,,,,0.0,,
20,2521032,32,,right,saccade,3.0,6.0,,,446.875,147.684,777.072,211.187,,,
21,2521036,32,,left,saccade,3.0,,,,445.476,139.958,749.1360000000003,218.58700000000002,,,
22,2521068,912,3.765242358078602,right,fixation,3.0,7.0,746.2564235807872,256.150751091703,,,,,6.0,4.59365730147705,20.854303225259645
23,2521072,904,3.765541850220264,left,fixation,3.0,,736.354008810573,274.984321585903,,,,,4.0,5.331481157635152,23.58056140743865
24,2521980,24,,left,saccade,4.0,,,,736.6139999999997,277.36,571.558,332.824,,,
25,2521984,28,,right,saccade,4.0,7.0,,,755.58,270.283,585.8380000000002,303.318,,,
26,2522008,272,3.9035760869565217,left,fixation,4.0,,565.971739130434,349.836144927536,,,,,0.0,,
27,2522016,260,3.9050037878787873,right,fixation,4.0,8.0,582.719681818182,342.436954545455,,,,,1.0,3.866927523528481,14.809157741073609
