,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
75,3185148,92,,left,saccade,1.0,,,,1428.736,308.19599999999997,453.76800000000003,460.334,,,
76,3185148,92,,right,saccade,1.0,19.0,,,1438.4229999999998,313.745,480.246,489.913,,,
77,3185244,156,3.4332564102564103,left,fixation,1.0,,468.101175,471.56645,,,,,1.0,2.485257688405337,8.949298575866178
78,3185244,164,3.4341341463414627,right,fixation,1.0,20.0,489.257571428572,514.944976190476,,,,,2.0,6.204100201396952,9.809927403797396
79,3185404,12,,left,saccade,2.0,,,,468.455,468.819,424.214,461.723,,,
80,3185412,8,,right,saccade,2.0,20.0,,,448.57599999999996,517.563,436.605,513.1080000000002,,,
81,3185420,1280,3.381690625,left,fixation,2.0,,389.13682242990603,422.09606853582494,,,,,4.0,4.111302267530933,11.47558884971384
82,3185424,1276,3.38144827586207,right,fixation,2.0,21.0,392.378503125,447.712562500001,,,,,8.0,5.182169497393781,13.715281365642117
83,3186704,20,,left,saccade,3.0,,,,378.976,417.23800000000006,456.591,533.595,,,
84,3186704,20,,right,saccade,3.0,21.0,,,380.968,449.11699999999996,451.99,566.127,,,
85,3186728,408,3.4493480392156863,left,fixation,3.0,,476.20584466019403,558.7821067961161,,,,,3.0,4.60648225353867,16.231408511686368
86,3186728,408,3.4493480392156863,right,fixation,3.0,22.0,468.36646601941806,581.049941747573,,,,,2.0,4.2993056862841215,14.960111239167414
87,3187140,24,,right,saccade,4.0,22.0,,,467.791,563.539,678.1310000000002,562.346,,,
88,3187140,28,,left,saccade,4.0,,,,470.88,557.908,682.203,565.996,,,
89,3187168,544,3.4764779411764706,right,fixation,4.0,23.0,711.6905693430659,579.900299270073,,,,,1.0,2.8741733352585217,14.188563916055756
90,3187172,540,3.4763407407407416,left,fixation,4.0,,716.093139705882,578.6455661764701,,,,,1.0,2.6131915831029437,6.658456653009115
91,3187716,24,,left,saccade,5.0,,,,724.215,585.0369999999998,491.95599999999996,562.422,,,
92,3187716,24,,right,saccade,5.0,23.0,,,715.313,596.837,484.35699999999997,588.243,,,
93,3187744,232,3.3784913793103453,left,fixation,5.0,,460.205338983051,545.42386440678,,,,,1.0,3.5755277543633026,11.959334304216132
94,3187744,236,3.3781779661016955,right,fixation,5.0,24.0,454.7802,577.023033333334,,,,,0.0,,
95,3187980,24,,left,saccade,6.0,,,,447.99800000000016,524.91,382.464,387.05400000000003,,,
96,3187984,16,,right,saccade,6.0,24.0,,,441.926,573.5,409.346,436.45,,,
97,3188004,1156,3.4107491349480967,right,fixation,6.0,25.0,390.448637931034,448.776193103448,,,,,8.0,3.645080964282736,12.976487690291176
98,3188008,1152,3.410883680555555,left,fixation,6.0,,389.329944636678,411.943335640139,,,,,8.0,3.3709817278652214,11.781961219185586
99,3189164,20,,left,saccade,7.0,,,,379.667,405.897,462.468,539.615,,,
100,3189164,20,,right,saccade,7.0,25.0,,,388.976,461.775,467.311,584.266,,,
101,3189188,251,3.5089274193548388,left,fixation,7.0,,471.83853125,542.219125,,,,,1.0,4.121257096512612,8.542536215902214
102,3189188,255,3.508492063492064,right,fixation,7.0,26.0,477.468661538462,580.523,,,,,1.0,3.820200841869725,10.661689781643457
103,3189443,20,,left,saccade,8.0,,,,475.38199999999995,576.072,413.27,421.851,,,
104,3189447,20,,right,saccade,8.0,26.0,,,472.597,581.154,416.184,487.20599999999996,,,
105,3189467,216,3.4459097466572834,left,fixation,8.0,,398.894181818182,432.425781818182,,,,,1.0,2.9328232747834115,13.835026888300627
106,3189471,212,3.445281523323615,right,fixation,8.0,27.0,397.347611111111,466.367111111111,,,,,2.0,5.724120379399116,27.693209257846735
107,3189687,52,,right,saccade,9.0,27.0,,,397.892,456.405,390.649,403.398,,,
109,3189875,213,3.346396742183112,right,fixation,9.0,28.0,388.806333333333,456.142074074074,,,,,3.0,7.1649925873964655,21.608011435735715
111,3189891,17,,left,saccade,9.0,,,,351.898,342.957,359.61400000000015,391.664,,,
112,3189912,176,3.346396742183112,left,fixation,9.0,,382.709622222222,417.510955555555,,,,,1.0,6.344648333219287,14.784753802481804
113,3190092,16,,left,saccade,10.0,,,,390.22900000000004,430.05199999999996,436.44599999999997,513.3480000000002,,,
114,3190092,16,,right,saccade,10.0,28.0,,,396.711,496.57300000000004,440.162,578.828,,,
115,3190112,455,3.354035398230089,left,fixation,10.0,,465.7497391304351,541.686904347826,,,,,3.0,4.098688269994728,10.695553248367188
116,3190112,455,3.354035398230089,right,fixation,10.0,29.0,466.098269565217,577.720991304348,,,,,1.0,2.7256488014578903,9.772912820648747
117,3190571,24,,right,saccade,11.0,29.0,,,473.56699999999995,557.002,679.778,553.288,,,
118,3190571,28,,left,saccade,11.0,,,,470.284,543.4780000000002,681.3380000000002,547.308,,,
119,3190599,1312,3.4614207317073165,right,fixation,11.0,30.0,713.013039513678,575.969927051672,,,,,3.0,3.752173432086421,7.7975902252317155
120,3190603,1308,3.4618470948012234,left,fixation,11.0,,713.739570121951,572.657307926828,,,,,7.0,2.6619542406225993,7.587044886855433
121,3191915,24,,left,saccade,12.0,,,,708.2239999999997,544.982,909.747,553.8240000000002,,,
122,3191915,24,,right,saccade,12.0,30.0,,,719.966,591.725,916.648,581.648,,,
123,3191943,432,3.641633027522936,right,fixation,12.0,31.0,945.4636146788988,605.771183486238,,,,,3.0,3.3023673634606343,9.102898859282726
124,3191943,436,3.641813636363637,left,fixation,12.0,,936.3827727272741,563.859354545454,,,,,2.0,3.942690578687356,10.83171357512253
