,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,21038164,24,,left,saccade,1.0,,,,496.66900000000004,205.02200000000002,481.395,123.111,,,
11,21038176,8,,right,saccade,1.0,3.0,,,483.292,191.59400000000002,483.06,170.15400000000002,,,
12,21038188,212,3.067169811320755,right,fixation,1.0,4.0,475.113314814815,147.545703703704,,,,,0.0,,
13,21038192,1064,3.0526573033707867,left,fixation,1.0,,499.19913108614196,159.998168539326,,,,,3.0,6.960436861161967,42.533128052739784
14,21038404,4,,right,saccade,2.0,4.0,,,486.783,197.32,487.654,206.37900000000002,,,
15,21038412,276,3.016507142857144,right,fixation,2.0,5.0,490.169071428572,229.117671428572,,,,,0.0,,
16,21038692,16,,right,saccade,3.0,5.0,,,496.599,235.199,498.56800000000004,170.903,,,
17,21038712,540,3.06785925925926,right,fixation,3.0,6.0,494.949838235294,153.777867647059,,,,,3.0,6.455971958694339,18.372917770297512
18,21039256,24,,right,saccade,4.0,6.0,,,514.27,155.221,490.41,243.079,,,
19,21039260,16,,left,saccade,2.0,,,,523.34,151.687,505.296,214.72400000000002,,,
20,21039280,480,3.0802291666666664,left,fixation,2.0,,490.595876033058,241.71584297520698,,,,,2.0,5.144196605915086,19.925107482423357
21,21039284,476,3.080214285714286,right,fixation,4.0,7.0,470.73574166666606,254.606733333334,,,,,0.0,,
22,21039764,32,,right,saccade,5.0,7.0,,,481.843,248.328,766.311,264.32599999999996,,,
23,21039764,36,,left,saccade,3.0,,,,531.036,270.695,775.904,264.373,,,
24,21039800,264,3.039386363636363,right,fixation,5.0,8.0,772.074417910448,258.201746268657,,,,,0.0,,
25,21039804,260,3.039176923076924,left,fixation,3.0,,788.787196969697,249.487515151515,,,,,1.0,6.0351517195326325,14.222513420630007
26,21040068,28,,right,saccade,6.0,8.0,,,772.596,275.715,921.204,258.824,,,
27,21040068,32,,left,saccade,4.0,,,,785.675,246.567,950.45,253.33,,,
28,21040100,160,3.01665,right,fixation,6.0,9.0,943.192853658536,269.461829268293,,,,,1.0,2.8376484102157584,6.986025622626968
29,21040104,160,3.0171,left,fixation,4.0,,959.157609756098,234.706146341463,,,,,0.0,,
30,21040264,32,,right,saccade,7.0,9.0,,,942.6439999999999,262.751,1236.278,269.96299999999997,,,
31,21040268,32,,left,saccade,5.0,,,,963.806,204.08900000000003,1248.847,245.989,,,
32,21040300,232,3.0161724137931034,right,fixation,7.0,10.0,1233.03455932203,264.817661016949,,,,,2.0,3.6538470141737225,9.17673637395048
33,21040304,224,3.0158839285714287,left,fixation,5.0,,1245.9560350877198,244.420350877193,,,,,2.0,5.759124058614832,12.481558035290456
34,21040532,64,,left,saccade,6.0,,,,1220.019,221.955,456.534,226.47799999999998,,,
35,21040536,60,,right,saccade,8.0,10.0,,,1191.1,262.334,466.51599999999996,249.53,,,
36,21040600,324,3.0777804878048776,left,fixation,6.0,,492.9217073170729,231.186280487805,,,,,3.0,6.055229475123747,20.713569302847965
37,21040600,324,3.0777804878048776,right,fixation,8.0,11.0,469.227817073171,234.39456097561,,,,,1.0,7.190324270233649,40.85957378632328
