,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
52,2561297,44,,left,saccade,1.0,,,,1209.786,233.69299999999998,486.94599999999997,371.918,,,
53,2561297,48,,right,saccade,1.0,14.0,,,1197.29,250.812,456.061,377.392,,,
54,2561345,879,2.8784657534246576,left,fixation,1.0,,497.594443438914,398.166135746607,,,,,2.0,6.838937742173719,32.118290655703895
55,2561349,867,2.8786064814814813,right,fixation,1.0,15.0,480.64221559632995,403.542233944954,,,,,2.0,7.733746729237112,40.21645567109663
56,2562220,20,,right,saccade,2.0,15.0,,,449.392,403.411,462.485,506.07099999999997,,,
57,2562228,16,,left,saccade,2.0,,,,467.82599999999996,422.67199999999997,486.673,494.25300000000004,,,
58,2562244,236,2.836891666666667,right,fixation,2.0,16.0,468.985516666667,517.8116666666671,,,,,0.0,,
59,2562248,232,2.837093220338983,left,fixation,2.0,,495.969355932203,494.19154237288086,,,,,1.0,4.284582648546108,13.2381063600502
60,2562484,28,,left,saccade,3.0,,,,525.259,521.2869999999998,719.1360000000003,508.57099999999997,,,
61,2562484,32,,right,saccade,3.0,16.0,,,472.20300000000003,504.79,733.456,509.194,,,
62,2562516,264,2.827092307692308,left,fixation,3.0,,756.873328358209,505.823044776119,,,,,1.0,3.318687725927544,9.802016374195722
63,2562520,260,2.8268984375,right,fixation,3.0,17.0,733.830424242424,524.233393939394,,,,,0.0,,
64,2562784,20,,left,saccade,4.0,,,,765.4810000000001,484.98800000000006,904.4689999999999,483.385,,,
65,2562784,24,,right,saccade,4.0,17.0,,,735.306,514.3240000000002,901.393,512.881,,,
66,2562808,152,2.7829868421052635,left,fixation,4.0,,923.8407948717952,497.10769230769205,,,,,0.0,,
67,2562812,148,2.7821216216216214,right,fixation,4.0,18.0,905.4903947368421,526.659710526316,,,,,0.0,,
68,2562964,24,,left,saccade,5.0,,,,926.562,495.32099999999997,780.557,504.528,,,
69,2562964,24,,right,saccade,5.0,18.0,,,898.922,507.695,756.311,504.934,,,
70,2562992,572,2.7612762237762243,left,fixation,5.0,,749.640236111111,500.7405972222229,,,,,0.0,,
71,2562992,576,2.7613020833333333,right,fixation,5.0,19.0,728.275172413793,504.18724137931,,,,,0.0,,
72,2563568,28,,left,saccade,6.0,,,,745.5989999999997,480.939,573.216,434.602,,,
73,2563572,28,,right,saccade,6.0,19.0,,,708.539,489.264,561.189,425.415,,,
74,2563600,248,2.8166451612903227,left,fixation,6.0,,542.048682539683,406.56941269841286,,,,,1.0,5.007617145132229,9.137773251728307
75,2563604,244,2.8171475409836066,right,fixation,6.0,20.0,533.873822580645,404.3521774193551,,,,,1.0,4.750883572791759,14.230141004220714
76,2563852,20,,right,saccade,7.0,20.0,,,532.3340000000002,410.76599999999996,700.482,472.264,,,
77,2563852,24,,left,saccade,7.0,,,,546.4259999999998,407.781,718.2710000000003,463.23400000000004,,,
78,2563876,292,2.785773648648649,right,fixation,7.0,21.0,715.335743243244,496.125851351351,,,,,2.0,5.626297135203587,11.982173144695926
79,2563880,284,2.78559375,left,fixation,7.0,,734.2932916666672,491.032819444444,,,,,0.0,,
