,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
106,2344447,20,,left,saccade,1.0,,,,562.913,336.845,513.314,424.398,,,
107,2344447,24,,right,saccade,1.0,25.0,,,561.569,322.161,472.29,405.56300000000016,,,
108,2344471,364,3.3668736263736263,left,fixation,1.0,,468.99875,440.43335869565203,,,,,1.0,5.2576771909698286,35.61139173073694
109,2344475,212,3.3579339622641515,right,fixation,1.0,26.0,462.622055555556,415.20464814814795,,,,,0.0,,
110,2344691,4,,right,saccade,2.0,26.0,,,432.68199999999996,432.027,425.50800000000004,433.722,,,
111,2344699,136,3.3803235294117653,right,fixation,2.0,27.0,403.042171428571,452.076028571429,,,,,1.0,4.982447078383151,12.750518420832908
112,2344839,24,,left,saccade,2.0,,,,434.54900000000004,439.173,575.7819999999998,443.20300000000003,,,
113,2344839,24,,right,saccade,3.0,27.0,,,405.209,441.36,573.559,447.814,,,
114,2344867,428,3.3336308411214954,left,fixation,2.0,,618.84187037037,447.78310185185205,,,,,1.0,8.391922334734875,54.104006968061036
115,2344867,428,3.3336308411214954,right,fixation,3.0,28.0,614.059296296297,477.589962962963,,,,,1.0,10.312431799101077,60.81268502541217
116,2345299,24,,left,saccade,3.0,,,,643.9540000000002,439.454,772.695,453.582,,,
117,2345299,24,,right,saccade,4.0,28.0,,,639.964,471.926,775.113,476.292,,,
118,2345327,472,3.4287711864406782,left,fixation,3.0,,818.825352941176,470.931915966387,,,,,3.0,4.873973068070044,22.599608210447673
119,2345327,476,3.4293361344537816,right,fixation,4.0,29.0,804.814075,480.0795083333329,,,,,1.0,8.887203097087886,49.4298443554093
120,2345803,36,,left,saccade,4.0,,,,859.4689999999997,456.004,607.849,488.91,,,
121,2345807,32,,right,saccade,5.0,29.0,,,837.706,473.844,594.003,480.56800000000004,,,
122,2345843,164,3.5268902439024394,right,fixation,5.0,30.0,561.504404761905,475.060119047619,,,,,1.0,3.6091228428032585,12.906862089601828
123,2345843,168,3.52702380952381,left,fixation,4.0,,563.472697674419,469.72358139534896,,,,,1.0,4.567942866080734,25.657757754722052
124,2346011,4,,right,saccade,6.0,30.0,,,532.15,466.5,518.4540000000002,459.374,,,
125,2346015,0,,left,saccade,5.0,,,,525.6030000000002,468.785,525.6030000000002,468.785,,,
126,2346019,196,3.524214285714286,left,fixation,5.0,,496.39114000000006,437.90642,,,,,1.0,4.369801832526908,12.7662637447297
127,2346019,196,3.524214285714286,right,fixation,6.0,31.0,481.83322000000004,444.5787,,,,,4.0,5.4054108384989865,13.089782310664056
128,2346219,52,,right,saccade,7.0,31.0,,,484.985,456.434,1284.606,474.65,,,
129,2346219,56,,left,saccade,6.0,,,,492.691,431.971,1300.258,458.92,,,
130,2346275,972,3.5038401639344263,right,fixation,7.0,32.0,1346.8101557377001,432.76355327868896,,,,,2.0,5.346926334545522,19.91202617777227
131,2346279,968,3.503736625514404,left,fixation,6.0,,1356.5313004115199,439.077333333333,,,,,8.0,3.198630150174947,12.568208758972053
133,2347251,56,,right,saccade,8.0,32.0,,,1369.8410000000001,422.115,680.3689999999998,521.9019999999998,,,
434,2382621,56,,left,saccade,7.0,,,,745.314,743.695,815.6039999999997,461.277,,,
435,2382621,40,,right,saccade,9.0,113.0,,,747.061,738.6310000000003,836.445,495.586,,,
436,2382845,460,3.5436773003033366,right,fixation,8.0,114.0,841.292163793103,445.57949137931,,,,,7.0,4.400020641167534,15.619605922151306
437,2382869,436,3.5436773003033366,left,fixation,7.0,,849.6655181818179,451.719736363636,,,,,5.0,6.4695113184269974,29.230734194099874
438,2383309,20,,left,saccade,8.0,,,,864.418,476.847,786.6619999999997,473.094,,,
439,2383309,20,,right,saccade,10.0,114.0,,,833.414,471.798,753.757,472.281,,,
440,2383333,284,3.3389718309859155,left,fixation,8.0,,748.923958333333,453.668611111111,,,,,1.0,4.517276250377228,13.391426884391329
441,2383333,284,3.3389718309859155,right,fixation,9.0,115.0,732.330694444444,467.759611111111,,,,,2.0,5.439171115120139,16.984241240524494
478,2387972,16,,right,saccade,11.0,123.0,,,448.25699999999995,554.191,456.67900000000003,485.589,,,
480,2387992,284,3.5155633802816904,right,fixation,10.0,124.0,463.58093055555497,466.120972222222,,,,,0.0,,
482,2388280,4,,right,saccade,12.0,124.0,,,429.958,454.435,424.504,454.345,,,
483,2388288,989,3.4330831723720654,right,fixation,11.0,125.0,405.78684677419403,423.749104838709,,,,,5.0,4.412830731593335,14.36232469298561
485,2389281,44,,right,saccade,13.0,125.0,,,382.084,427.426,1018.791,32.055,,,
487,2389437,8,,right,fixation,12.0,126.0,1018.4623333333301,29.7846666666667,,,,,0.0,,
488,2389449,12,,right,saccade,14.0,126.0,,,1017.0210000000001,18.582,1016.602,-25.44,,,
489,2389465,2051,3.5409262456591084,right,fixation,13.0,127.0,948.071789883268,36.063044747081705,,,,,2.0,6.121834826648017,30.693811493257698
