,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
296,3638375,32,,right,saccade,1.0,76.0,,,852.2589999999999,461.55400000000003,435.711,555.9490000000002,,,
297,3638375,36,,left,saccade,1.0,,,,835.9780000000003,452.671,445.087,527.014,,,
298,3638411,153,3.6463636363636382,right,fixation,1.0,77.0,401.417538461538,572.808179487179,,,,,3.0,6.591388322836474,24.502738744461865
299,3638415,249,3.646493333333334,left,fixation,1.0,,437.9926190476191,560.179793650794,,,,,2.0,8.346736004945718,25.11657649586229
300,3638568,16,,right,saccade,2.0,77.0,,,378.654,575.721,391.608,622.703,,,
301,3638588,76,,right,fixation,2.0,78.0,397.87405,635.92755,,,,,1.0,4.50588553696411,10.725549682883369
302,3638668,44,,left,saccade,2.0,,,,424.473,600.481,398.72,584.4119999999998,,,
303,3638668,48,,right,saccade,3.0,78.0,,,398.48199999999997,624.085,380.176,582.399,,,
304,3638800,112,3.341,left,fixation,2.0,,426.321655172414,572.677965517242,,,,,2.0,5.029028261983126,16.92143639159503
305,3638800,120,3.3342500000000004,right,fixation,3.0,79.0,410.067258064516,573.675451612903,,,,,1.0,3.0824702260434798,6.415682348745168
306,3638916,20,,left,saccade,3.0,,,,442.611,587.7180000000002,518.271,588.693,,,
307,3638924,4,,right,saccade,4.0,79.0,,,429.83099999999996,576.043,460.75699999999995,575.82,,,
308,3638932,412,3.3735631067961163,right,fixation,4.0,80.0,496.4479230769229,579.616605769231,,,,,3.0,4.011878505019483,15.085832078428993
309,3638940,408,3.3710931372549022,left,fixation,3.0,,519.834359223301,591.975718446601,,,,,1.0,4.6026273173289125,13.285999586030446
310,3639348,24,,right,saccade,5.0,80.0,,,544.7230000000002,587.72,419.506,604.62,,,
311,3639352,20,,left,saccade,4.0,,,,495.00800000000004,563.615,427.601,557.615,,,
312,3639376,499,3.2735927419354844,left,fixation,4.0,,396.667801587301,573.875214285714,,,,,1.0,3.024889552620964,6.96927119575635
313,3639376,499,3.2735927419354844,right,fixation,5.0,81.0,396.562587301588,599.0013571428569,,,,,7.0,4.070058062987951,15.42102077172282
314,3639879,20,,right,saccade,6.0,81.0,,,395.495,616.365,527.469,601.554,,,
315,3639879,24,,left,saccade,5.0,,,,393.65,618.054,510.43199999999996,592.029,,,
316,3639903,436,3.460353211009174,right,fixation,6.0,82.0,513.585563636364,597.917718181818,,,,,9.0,4.8471324726027625,14.661381418756225
317,3639907,448,3.4654017857142856,left,fixation,5.0,,520.823876106194,595.883867256637,,,,,1.0,6.257903385142474,13.215320238268836
318,3640343,0,,right,saccade,7.0,82.0,,,507.474,631.776,507.474,631.776,,,
319,3640347,8,3.5735,right,fixation,7.0,83.0,512.030333333333,646.4556666666671,,,,,0.0,,
320,3640359,20,,right,saccade,8.0,83.0,,,512.469,657.096,368.533,651.02,,,
