,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
217,7080300,64,,right,saccade,1.0,56.0,,,1329.4720000000002,575.387,478.81300000000016,666.845,,,
218,7080364,320,3.841812030075188,left,fixation,1.0,,456.201160493827,689.193567901234,,,,,2.0,9.148568743329967,31.95156540691446
219,7080368,544,3.8192926311728392,right,fixation,1.0,57.0,440.939372262774,711.019868613139,,,,,4.0,42.61074471755867,39.523606035658524
220,7080688,52,,left,saccade,1.0,,,,436.884,705.02,447.126,684.087,,,
221,7080804,108,3.7455866188769416,left,fixation,2.0,,453.297107142857,698.7335357142848,,,,,1.0,3.217393838359113,7.278393297974559
222,7080916,20,,left,saccade,2.0,,,,449.37,712.78,527.989,716.285,,,
223,7080916,20,,right,saccade,2.0,57.0,,,455.963,729.957,532.45,723.12,,,
224,7080940,100,3.725,left,fixation,3.0,,544.230461538461,710.973692307692,,,,,1.0,2.913254785363659,4.1418449995140785
225,7080940,104,3.725,right,fixation,2.0,58.0,545.63662962963,745.057777777778,,,,,0.0,,
226,7081044,40,,left,saccade,3.0,,,,545.058,710.9069999999997,535.565,671.439,,,
227,7081048,40,,right,saccade,3.0,58.0,,,543.438,734.6080000000003,536.4119999999998,711.692,,,
228,7081296,40,,left,fixation,4.0,,529.408363636363,665.349909090909,,,,,1.0,3.720133450413994,3.3640762476495865
229,7081300,32,,right,fixation,3.0,59.0,540.431888888889,711.3424444444438,,,,,0.0,,
230,7081336,24,,right,saccade,4.0,59.0,,,545.68,714.822,654.221,728.6569999999997,,,
231,7081340,16,,left,saccade,4.0,,,,524.605,665.668,605.496,670.418,,,
232,7081360,300,3.6273257575757576,left,fixation,5.0,,636.2482631578949,710.1889605263161,,,,,2.0,4.978661489401949,23.441459480382605
233,7081364,292,3.626638461538462,right,fixation,4.0,60.0,662.781148648649,744.351243243243,,,,,1.0,7.086465848518759,21.06391649242852
234,7081660,20,,right,saccade,5.0,60.0,,,670.938,758.587,752.965,740.1160000000001,,,
235,7081664,16,,left,saccade,5.0,,,,668.701,734.737,731.635,734.005,,,
236,7081684,316,3.7491835443037966,left,fixation,6.0,,752.2052375,732.531925,,,,,0.0,,
