,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,2695278,16,,right,saccade,1.0,3.0,,,537.245,225.53799999999998,508.781,176.93900000000005,,,
11,2695298,500,3.3275366206939987,right,fixation,1.0,4.0,455.22661111111086,137.741634920635,,,,,3.0,3.710875391730817,15.566781567322192
12,2695802,40,,right,saccade,2.0,4.0,,,471.74199999999996,159.141,450.14599999999996,110.27,,,
13,2695806,44,,left,saccade,1.0,,,,457.148,162.888,412.32,167.635,,,
14,2695906,1141,3.259791005097437,right,fixation,2.0,5.0,475.132199300699,154.57713986014,,,,,7.0,5.7725674461143175,23.248396727630528
15,2695914,912,3.2508145740677388,left,fixation,1.0,,476.838729257642,183.0793930131,,,,,4.0,3.232261448875758,15.510088354906046
16,2696830,16,,left,saccade,2.0,,,,487.027,205.946,434.439,201.514,,,
17,2696850,201,3.2958431372549017,left,fixation,2.0,,414.5310588235289,181.36815686274502,,,,,1.0,4.71328831897412,6.073855859336788
18,2697051,20,,right,saccade,3.0,5.0,,,426.23400000000004,153.467,465.569,224.142,,,
19,2697055,16,,left,saccade,3.0,,,,422.26,186.774,483.30400000000003,222.53799999999998,,,
20,2697075,271,3.404679104477612,left,fixation,3.0,,475.67078260869596,222.35298550724602,,,,,3.0,3.7172141079046486,21.11239684374056
21,2697075,271,3.404679104477612,right,fixation,3.0,6.0,498.8048695652169,243.556956521739,,,,,1.0,2.352050275823217,4.833315735600189
22,2697350,24,,right,saccade,4.0,6.0,,,515.284,256.817,718.7539999999997,248.365,,,
23,2697350,28,,left,saccade,4.0,,,,478.89599999999996,260.108,707.3910000000003,261.35200000000003,,,
24,2697378,220,3.4047818181818186,right,fixation,4.0,7.0,738.3959642857152,254.365660714286,,,,,1.0,3.74480470489158,8.435559258282852
25,2697382,220,3.4036181818181825,left,fixation,4.0,,733.8587321428571,264.788232142857,,,,,1.0,3.7796885710921098,17.805329117991548
26,2697602,28,,right,saccade,5.0,7.0,,,753.628,270.303,958.135,271.475,,,
27,2697606,24,,left,saccade,5.0,,,,739.5089999999999,268.77299999999997,944.632,275.36400000000003,,,
28,2697634,1020,3.3543784313725493,right,fixation,5.0,8.0,977.911949218751,235.01556640625,,,,,3.0,5.909546449077385,22.42418632277604
29,2697634,1024,3.3543828125,left,fixation,5.0,,946.868630350193,266.007155642023,,,,,2.0,4.4823418600721485,20.363391210178648
30,2698658,36,,right,saccade,6.0,8.0,,,980.222,206.588,737.105,264.595,,,
31,2698662,28,,left,saccade,6.0,,,,936.9910000000001,281.443,729.9810000000001,298.934,,,
32,2698694,116,3.366344827586207,left,fixation,6.0,,707.363466666666,307.949133333333,,,,,1.0,4.451975557110687,14.009779619965437
33,2698698,112,3.366446428571429,right,fixation,6.0,9.0,730.723172413793,292.399896551724,,,,,0.0,,
