,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
8,2932130,20,,right,saccade,1.0,3.0,,,468.417,245.64700000000002,399.594,190.412,,,
11,2932154,196,3.4211173469387752,right,fixation,1.0,4.0,381.31167999999997,171.69244,,,,,0.0,,
12,2932354,40,,left,saccade,1.0,,,,396.681,140.657,364.79,114.344,,,
13,2932354,44,,right,saccade,2.0,4.0,,,394.75699999999995,166.55700000000004,303.204,157.095,,,
15,2932518,8,,right,saccade,3.0,5.0,,,326.6620000000001,142.417,336.505,127.554,,,
16,2932530,1060,3.340398602298062,left,fixation,1.0,,405.32,167.04572556391,,,,,1.0,6.5500201377977225,14.589712540005719
17,2932530,1060,3.340398602298062,right,fixation,2.0,6.0,381.594398496241,159.322733082707,,,,,4.0,4.067435524606232,11.685005675607805
18,2933594,16,,left,saccade,2.0,,,,413.048,187.011,411.914,119.67299999999999,,,
19,2933594,20,,right,saccade,4.0,6.0,,,389.23900000000003,177.00099999999995,395.23900000000003,85.17,,,
22,2933758,52,,right,saccade,5.0,7.0,,,412.397,74.941,986.3989999999999,66.411,,,
24,2933814,164,3.2603170731707323,left,fixation,2.0,,1024.8030952381,62.59978571428571,,,,,0.0,,
26,2933982,16,,left,saccade,3.0,,,,1031.2910000000004,53.63399999999999,968.615,53.607,,,
27,2934002,208,3.344067307692308,left,fixation,3.0,,967.545924528302,45.05373584905661,,,,,0.0,,
28,2934214,40,,left,saccade,4.0,,,,970.367,29.357,1416.786,85.37899999999998,,,
29,2934218,40,,right,saccade,6.0,8.0,,,960.438,50.833,1389.43,113.664,,,
30,2934258,272,3.4271231030873888,left,fixation,4.0,,1431.7874057970996,97.7027826086956,,,,,0.0,,
31,2934262,260,3.4277480568212275,right,fixation,3.0,9.0,1401.3223636363598,138.318863636364,,,,,0.0,,
32,2934526,40,,right,saccade,7.0,9.0,,,1404.0870000000002,149.414,1382.094,127.287,,,
33,2934534,40,,left,saccade,5.0,,,,1434.214,111.29,1480.451,121.37200000000001,,,
34,2934650,276,3.4802522762951336,left,fixation,5.0,,1406.3880285714301,116.719857142857,,,,,2.0,9.59348950089414,43.40545939298214
35,2934674,260,3.482671072171072,right,fixation,4.0,10.0,1368.73245454545,146.215742424242,,,,,2.0,4.017195331152024,11.724326483856116
36,2934930,20,,left,saccade,6.0,,,,1354.845,132.36700000000002,1456.691,132.187,,,
37,2934938,16,,right,saccade,8.0,10.0,,,1370.46,157.455,1432.1860000000001,154.239,,,
38,2934954,260,3.542123011363637,left,fixation,6.0,,1469.5385,114.51946969696999,,,,,0.0,,
39,2934958,252,3.5425877039627034,right,fixation,5.0,11.0,1442.43584375,156.17309375,,,,,0.0,,
40,2935214,56,,right,saccade,9.0,11.0,,,1429.8729999999994,160.2,416.24199999999996,241.351,,,
41,2935218,40,,left,saccade,7.0,,,,1483.1,108.745,429.962,194.857,,,
42,2935354,776,3.5652888223875765,right,fixation,6.0,12.0,467.09025641025704,282.777574358974,,,,,4.0,7.193181039370452,24.977150621425878
43,2935358,768,3.5652888223875765,left,fixation,7.0,,476.67359585492204,296.65922797927504,,,,,1.0,9.264598720098151,25.187335587552727
44,2936130,40,,left,saccade,8.0,,,,473.689,307.348,453.99800000000016,329.853,,,
45,2936134,72,,right,saccade,10.0,12.0,,,478.718,291.809,419.14099999999996,250.61700000000002,,,
46,2936290,676,3.471486883245634,right,fixation,7.0,13.0,470.730905882353,304.856135294118,,,,,2.0,4.554122539099229,11.585946898902492
47,2936294,668,3.4717760752688176,left,fixation,8.0,,479.50513690476197,303.09144047619,,,,,0.0,,
48,2936966,24,,left,saccade,9.0,,,,489.64599999999996,313.449,433.005,177.385,,,
49,2936970,20,,right,saccade,11.0,13.0,,,450.42699999999996,274.288,413.538,202.77200000000002,,,
50,2936994,520,3.384876923076924,left,fixation,9.0,,401.169839694656,163.48954198473302,,,,,0.0,,
51,2936994,520,3.384876923076924,right,fixation,8.0,14.0,380.167961832061,177.68546564885503,,,,,1.0,4.504554984802737,7.4153021516321065
52,2937518,24,,left,saccade,10.0,,,,416.709,169.90599999999995,478.041,288.801,,,
53,2937518,28,,right,saccade,12.0,14.0,,,377.62800000000004,182.55200000000002,477.759,293.901,,,
54,2937546,452,3.381566371681416,left,fixation,10.0,,494.81542105263196,302.725140350877,,,,,0.0,,
55,2937550,452,3.38203982300885,right,fixation,9.0,15.0,493.097552631579,310.246885964912,,,,,3.0,4.199584764370772,7.8364309655473265
56,2938002,24,,left,saccade,11.0,,,,492.346,286.81,420.106,188.815,,,
57,2938006,24,,right,saccade,13.0,15.0,,,486.724,291.934,424.68699999999995,215.717,,,
58,2938030,440,3.409668822058196,left,fixation,11.0,,414.799603603603,186.72063963964,,,,,0.0,,
59,2938034,432,3.409784616334341,right,fixation,10.0,16.0,379.729605504587,164.59854128440398,,,,,0.0,,
60,2938470,84,,right,saccade,14.0,16.0,,,379.54,170.213,366.836,140.015,,,
61,2938474,40,,left,saccade,12.0,,,,395.126,156.954,358.469,160.328,,,
62,2938634,0,,left,fixation,12.0,,358.469,160.328,,,,,0.0,,
63,2938638,16,,left,saccade,13.0,,,,358.469,160.328,352.077,94.411,,,
64,2938646,2424,3.3425438898450945,right,fixation,11.0,17.0,392.649062602966,173.63601482701802,,,,,5.0,4.4345298901278865,12.734916816774996
65,2938658,2416,3.3425884879725087,left,fixation,13.0,,401.805902479339,167.145753719008,,,,,1.0,8.747813447434233,20.749352495921414
66,2941074,28,,right,saccade,15.0,17.0,,,393.43199999999996,183.109,451.121,268.719,,,
67,2941078,20,,left,saccade,14.0,,,,414.991,175.342,444.066,245.08599999999998,,,
68,2941102,688,3.3833982558139533,left,fixation,14.0,,481.027947976879,292.051005780347,,,,,0.0,,
69,2941106,684,3.383625730994152,right,fixation,12.0,18.0,489.549470930232,307.102726744186,,,,,0.0,,
70,2941794,20,,left,saccade,15.0,,,,470.726,293.69,426.98800000000006,207.649,,,
71,2941794,28,,right,saccade,16.0,18.0,,,492.17,302.08299999999997,445.806,209.139,,,
72,2941818,628,3.394359798579017,left,fixation,15.0,,398.13782278481006,182.49764556961998,,,,,0.0,,
73,2941826,628,3.3948118565725887,right,fixation,13.0,19.0,402.756651898734,173.108075949367,,,,,5.0,5.2112912130041416,12.002740615650284
74,2942450,40,,left,saccade,16.0,,,,388.48199999999997,165.842,370.538,169.03,,,
75,2942458,88,,right,saccade,17.0,19.0,,,398.04,180.88299999999998,372.339,135.543,,,
76,2942646,12,,left,fixation,16.0,,368.105,165.18599999999995,,,,,0.0,,
77,2942646,1536,3.4141692524682647,right,fixation,14.0,20.0,398.11232467532403,173.901794805195,,,,,2.0,4.784261134676809,13.037430999739714
78,2942662,4,,left,saccade,17.0,,,,365.17900000000003,153.589,365.17900000000003,139.572,,,
79,2942670,1512,3.4141692524682647,left,fixation,17.0,,392.3602559366751,161.98237730870702,,,,,1.0,5.226412007507844,10.805462692545849
