,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
9,20396390,44,,right,saccade,1.0,3.0,,,448.409,149.72899999999996,397.439,127.381,,,
10,20396574,68,,right,fixation,1.0,4.0,403.930555555555,136.349666666667,,,,,0.0,,
12,20396642,52,,left,saccade,1.0,,,,421.82800000000003,142.91,413.772,128.685,,,
13,20396646,40,,right,saccade,2.0,4.0,,,402.208,149.437,379.23900000000003,141.079,,,
14,20396801,68,,right,fixation,2.0,5.0,402.583333333333,149.33155555555598,,,,,0.0,,
15,20396825,40,,left,fixation,1.0,,409.964727272727,150.785909090909,,,,,0.0,,
16,20396869,40,,left,saccade,2.0,,,,408.837,159.32299999999995,424.156,140.965,,,
17,20396873,40,,right,saccade,3.0,5.0,,,417.694,152.782,415.455,150.054,,,
18,20397001,208,3.6057409010117594,right,fixation,3.0,6.0,422.90333962264197,157.754716981132,,,,,0.0,,
19,20397025,184,3.60574090101176,left,fixation,2.0,,444.476063829787,166.887893617021,,,,,0.0,,
20,20397213,24,,right,saccade,4.0,6.0,,,432.584,160.017,706.6030000000003,153.957,,,
21,20397213,28,,left,saccade,3.0,,,,453.125,184.162,707.123,182.65599999999998,,,
22,20397241,320,3.4845187499999994,right,fixation,4.0,7.0,732.96587654321,158.553851851852,,,,,0.0,,
23,20397245,312,3.4844743589743588,left,fixation,3.0,,732.421493670886,179.70913924050598,,,,,0.0,,
24,20397561,28,,left,saccade,4.0,,,,735.413,190.12599999999998,549.075,204.81799999999998,,,
25,20397565,24,,right,saccade,5.0,7.0,,,719.221,164.851,560.873,165.62,,,
26,20397593,468,3.3422179487179484,right,fixation,5.0,8.0,535.980016949153,167.083720338983,,,,,0.0,,
27,20397593,472,3.3421864406779664,left,fixation,4.0,,532.0833361344539,193.259075630252,,,,,0.0,,
28,20398065,20,,right,saccade,6.0,8.0,,,519.02,157.034,657.794,149.907,,,
29,20398069,16,,left,saccade,5.0,,,,547.124,189.50900000000001,617.693,189.28900000000002,,,
30,20398089,376,3.3177021276595746,left,fixation,5.0,,638.613263157895,195.39171578947398,,,,,0.0,,
31,20398089,376,3.3177021276595746,right,fixation,6.0,9.0,653.238284210526,167.915042105263,,,,,0.0,,
32,20398469,24,,right,saccade,7.0,9.0,,,640.354,173.595,479.92,174.75400000000005,,,
33,20398469,32,,left,saccade,6.0,,,,631.832,193.308,459.605,212.081,,,
34,20398497,436,3.3794633027522933,right,fixation,7.0,10.0,444.264709090909,177.17267272727298,,,,,0.0,,
35,20398505,432,3.3803935185185185,left,fixation,6.0,,440.380587155963,219.70175229357798,,,,,0.0,,
36,20398937,16,,right,saccade,8.0,10.0,,,456.783,173.02,517.785,165.472,,,
37,20398941,12,,left,saccade,7.0,,,,461.852,209.40900000000002,507.33,209.40900000000002,,,
38,20398957,468,3.4349572649572653,left,fixation,7.0,,541.206177966102,202.223161016949,,,,,0.0,,
39,20398957,468,3.4349572649572653,right,fixation,8.0,11.0,542.626127118644,177.321533898305,,,,,0.0,,
40,20399429,20,,left,saccade,8.0,,,,540.372,201.86599999999999,645.215,202.898,,,
41,20399429,20,,right,saccade,9.0,11.0,,,535.044,168.139,638.9490000000002,181.622,,,
42,20399453,772,3.4510284974093266,right,fixation,9.0,12.0,643.1247731958763,169.461164948454,,,,,0.0,,
43,20399453,1568,3.43364668367347,left,fixation,8.0,,684.518569974554,193.626521628499,,,,,1.0,7.212525503517396,19.647064539009374
44,20400229,16,,right,saccade,10.0,12.0,,,638.687,145.459,704.63,149.18200000000004,,,
45,20400249,772,3.416966321243524,right,fixation,10.0,13.0,743.5861391752568,164.306711340206,,,,,0.0,,
46,20401025,20,,left,saccade,9.0,,,,739.26,198.123,829.336,194.28799999999998,,,
47,20401025,20,,right,saccade,11.0,13.0,,,770.919,169.98,857.57,157.523,,,
48,20401049,700,3.3551142857142855,right,fixation,11.0,14.0,859.642431818181,153.82080681818198,,,,,0.0,,
49,20401049,704,3.354957386363637,left,fixation,9.0,,836.997915254238,187.10258192090402,,,,,0.0,,
50,20401753,16,,right,saccade,12.0,14.0,,,876.414,160.404,807.067,159.67700000000005,,,
51,20401757,16,,left,saccade,10.0,,,,850.3589999999997,200.65599999999998,772.939,199.85299999999998,,,
52,20401773,352,3.344568181818182,right,fixation,12.0,15.0,779.933561797753,167.196741573034,,,,,0.0,,
53,20401777,352,3.344784090909091,left,fixation,10.0,,755.9230224719099,191.046382022472,,,,,0.0,,
54,20402129,20,,right,saccade,13.0,15.0,,,769.429,166.28400000000005,872.7389999999997,171.17,,,
55,20402133,20,,left,saccade,11.0,,,,771.284,185.36599999999999,837.375,187.44799999999998,,,
56,20402153,432,3.3475275229357795,right,fixation,13.0,16.0,883.67737614679,135.229633027523,,,,,0.0,,
57,20402157,428,3.34738425925926,left,fixation,11.0,,864.835722222223,170.605425925926,,,,,0.0,,
58,20402589,32,,left,saccade,12.0,,,,870.301,177.428,619.496,191.07299999999998,,,
59,20402589,36,,right,saccade,14.0,16.0,,,873.337,128.304,612.06,162.28799999999995,,,
60,20402625,360,3.3537944444444436,left,fixation,12.0,,619.836131868132,194.136021978022,,,,,1.0,7.717089054314608,16.956815650351285
61,20402629,352,3.3535965909090906,right,fixation,14.0,17.0,617.946280898876,163.032606741573,,,,,0.0,,
62,20402985,16,,right,saccade,15.0,17.0,,,646.876,207.625,578.4169999999998,207.625,,,
63,20402989,8,,left,saccade,13.0,,,,621.085,187.732,602.2819999999998,189.495,,,
64,20403001,528,3.3676325757575762,left,fixation,13.0,,552.330413533835,208.494781954887,,,,,0.0,,
65,20403005,536,3.3667574626865666,right,fixation,15.0,18.0,532.400503703703,201.52096296296293,,,,,0.0,,
66,20403533,16,,left,saccade,14.0,,,,536.529,197.937,474.79,206.738,,,
67,20403545,12,,right,saccade,16.0,18.0,,,496.348,213.55700000000002,456.69,200.875,,,
68,20403553,132,3.3061831325301205,left,fixation,14.0,,465.654676470588,215.64888235294103,,,,,0.0,,
69,20403561,124,3.2879718875502006,right,fixation,16.0,19.0,441.18884375,201.3329375,,,,,0.0,,
70,20403689,40,,left,saccade,15.0,,,,451.534,197.227,452.48400000000004,165.9,,,
71,20403689,40,,right,saccade,17.0,19.0,,,449.267,195.94299999999998,421.691,185.03900000000002,,,
72,20403769,304,3.3479244807858506,right,fixation,17.0,20.0,434.195688311688,194.27794805194802,,,,,1.0,12.546820563393755,46.643059558738244
73,20403789,280,3.34792448078585,left,fixation,15.0,,440.03329577464797,188.34812676056305,,,,,0.0,,
74,20404073,40,,left,saccade,16.0,,,,422.825,200.449,449.76099999999997,163.714,,,
75,20404077,40,,right,saccade,18.0,20.0,,,439.33099999999996,203.046,428.6,178.50099999999995,,,
76,20404269,68,,right,fixation,18.0,21.0,440.5556666666671,157.017666666667,,,,,0.0,,
77,20404289,40,,left,fixation,16.0,,453.735181818182,181.908909090909,,,,,0.0,,
78,20404333,40,,left,saccade,17.0,,,,450.858,186.47099999999998,497.608,113.305,,,
79,20404341,40,,right,saccade,19.0,21.0,,,444.283,154.192,435.13300000000004,121.91799999999999,,,
80,20404497,484,3.4744971751412432,right,fixation,19.0,22.0,512.160442622951,142.53596721311501,,,,,1.0,11.445966714427302,33.184386479186216
81,20404529,452,3.4744971751412432,left,fixation,17.0,,531.555526315789,185.410087719298,,,,,0.0,,
82,20404985,20,,left,saccade,18.0,,,,541.355,188.817,647.623,190.435,,,
83,20404985,20,,right,saccade,20.0,22.0,,,556.81,157.028,636.776,157.371,,,
84,20405009,580,3.2972241379310345,left,fixation,18.0,,650.168273972603,196.25297260274,,,,,0.0,,
85,20405009,580,3.2972241379310345,right,fixation,20.0,23.0,655.860178082192,176.09263698630104,,,,,0.0,,
86,20405593,12,,right,saccade,21.0,23.0,,,664.7610000000002,159.27100000000004,714.9760000000001,155.489,,,
