,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,10094733,32,,left,saccade,1.0,,,,433.167,176.104,687.602,261.503,,,
11,10094733,36,,right,saccade,1.0,3.0,,,442.099,193.399,714.0089999999999,267.816,,,
12,10094769,152,3.6529487179487186,left,fixation,1.0,,717.7536410256412,288.176230769231,,,,,1.0,3.6810475713066335,7.380032859005497
13,10094773,148,3.6540789473684216,right,fixation,1.0,4.0,726.177605263158,289.3905,,,,,2.0,4.067385039993065,6.644304495711398
14,10094925,24,,left,saccade,2.0,,,,726.671,300.151,919.71,294.38599999999997,,,
15,10094925,24,,right,saccade,2.0,4.0,,,731.051,303.789,930.302,304.387,,,
16,10094953,260,3.6832,right,fixation,2.0,5.0,950.7929848484848,304.60093939393903,,,,,2.0,3.8746860409598116,9.24034537716228
17,10094953,264,3.6824393939393936,left,fixation,2.0,,945.977,307.837432835821,,,,,1.0,5.217089791146871,14.605109516878011
18,10095217,32,,right,saccade,3.0,5.0,,,944.666,300.733,1172.317,317.175,,,
19,10095221,28,,left,saccade,3.0,,,,962.7739999999999,315.263,1176.992,315.263,,,
20,10095253,932,3.6195600858369104,left,fixation,3.0,,1191.57344017094,309.834961538462,,,,,7.0,3.6184027475897818,9.152915113762312
21,10095253,932,3.6195600858369104,right,fixation,3.0,6.0,1196.13554700855,305.86352564102503,,,,,3.0,3.399977045952335,6.972155208793493
