,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,3041943,12,,right,saccade,1.0,3.0,,,516.683,148.39,465.126,148.41299999999995,,,
11,3041959,192,3.701520833333333,right,fixation,1.0,4.0,454.16,149.61981632653098,,,,,1.0,3.366723700011958,4.283097594031688
12,3042155,16,,left,saccade,1.0,,,,451.85400000000004,147.721,387.975,147.721,,,
13,3042155,20,,right,saccade,2.0,4.0,,,456.121,147.84,393.19800000000004,150.67600000000004,,,
14,3042175,976,3.732275720164609,left,fixation,1.0,,428.98245306122396,145.809289795918,,,,,3.0,6.5405921590653495,25.355943051469797
15,3042179,360,3.718483146067416,right,fixation,2.0,5.0,387.805571428571,151.493318681319,,,,,3.0,4.15220523550364,10.79201156015665
16,3042543,16,,right,saccade,3.0,5.0,,,381.98400000000004,150.445,457.735,146.374,,,
17,3042563,588,3.7405340136054415,right,fixation,3.0,6.0,472.168222972973,158.430722972973,,,,,0.0,,
18,3043155,20,,left,saccade,2.0,,,,455.221,141.545,532.35,139.6,,,
19,3043155,20,,right,saccade,4.0,6.0,,,474.588,152.917,552.262,149.065,,,
20,3043179,592,3.7721107382550336,left,fixation,2.0,,524.051577181208,137.50775167785298,,,,,3.0,3.93441742088222,14.477988099067481
21,3043179,592,3.7721107382550336,right,fixation,4.0,7.0,543.513966442953,141.754,,,,,3.0,3.894847677395058,13.661007217481234
22,3043775,28,,left,saccade,3.0,,,,526.39,148.105,712.0880000000003,200.015,,,
23,3043775,28,,right,saccade,5.0,7.0,,,532.984,134.72799999999998,721.191,217.37400000000002,,,
24,3043807,340,3.8317738095238094,left,fixation,3.0,,714.754430232558,238.88370930232605,,,,,1.0,3.2262453969143525,24.57251906093468
25,3043807,340,3.8317738095238094,right,fixation,5.0,8.0,719.593813953488,248.878151162791,,,,,1.0,3.2901740075564403,12.07225848795491
26,3044151,28,,left,saccade,4.0,,,,723.944,248.729,505.57199999999995,190.65099999999998,,,
27,3044151,32,,right,saccade,6.0,8.0,,,721.19,243.127,527.53,165.312,,,
28,3044183,236,3.9339406779661017,left,fixation,4.0,,506.6199,160.573033333333,,,,,1.0,12.92785234913793,25.753217274740628
29,3044187,368,3.9319076086956533,right,fixation,6.0,9.0,528.387956989248,135.97276344086,,,,,4.0,5.8655446650665475,14.698795199292002
