,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
9,2757861,12,,left,saccade,1.0,,,,531.092,151.259,479.786,167.727,,,
10,2757877,1576,3.674986040609137,left,fixation,1.0,,437.948081012658,185.642481012658,,,,,5.0,8.844720151087069,24.747008335694442
12,2758581,0,,right,saccade,1.0,3.0,,,379.05300000000005,128.872,379.05300000000005,128.872,,,
13,2758585,1443,3.7263041666666665,right,fixation,1.0,4.0,433.5646602209951,144.593102209945,,,,,2.0,11.836196621270867,34.49747158181039
14,2759457,12,,left,saccade,2.0,,,,461.361,207.515,504.903,196.938,,,
15,2759473,555,3.746778985507247,left,fixation,2.0,,511.2201,183.050057142857,,,,,0.0,,
16,2760032,28,,left,saccade,3.0,,,,521.967,176.408,690.0989999999997,215.313,,,
17,2760032,28,,right,saccade,2.0,4.0,,,490.596,129.865,701.5269999999997,175.03599999999997,,,
18,2760064,392,3.725877551020408,left,fixation,3.0,,706.291686868687,252.74885858585893,,,,,1.0,7.7345638550455975,21.21780820443058
19,2760064,392,3.725877551020408,right,fixation,2.0,5.0,706.0154040404041,219.30895959596,,,,,1.0,10.064580854550172,27.702669997673524
20,2760460,20,,right,saccade,3.0,5.0,,,715.482,231.71099999999998,933.68,234.417,,,
21,2760460,24,,left,saccade,4.0,,,,706.4889999999997,254.453,922.8589999999999,249.43,,,
22,2760484,381,3.64528125,right,fixation,3.0,6.0,938.009614583333,242.834364583333,,,,,1.0,6.4749420096073065,19.838264490625146
23,2760488,381,3.643171875,left,fixation,4.0,,941.556125,249.406375,,,,,4.0,5.565863120005488,19.276842909092025
24,2760869,28,,right,saccade,4.0,6.0,,,958.155,241.502,1170.95,246.385,,,
25,2760873,24,,left,saccade,5.0,,,,963.5039999999999,265.595,1172.734,260.548,,,
26,2760901,216,3.5212962962962964,left,fixation,5.0,,1176.8084727272699,259.66974545454497,,,,,1.0,6.540111596482471,20.60829747941348
27,2760901,216,3.5212962962962964,right,fixation,4.0,7.0,1168.35596363636,246.630727272727,,,,,0.0,,
28,2761121,20,,right,saccade,5.0,7.0,,,1170.9460000000001,260.47900000000004,1400.8220000000001,265.14099999999996,,,
29,2761121,24,,left,saccade,6.0,,,,1171.6660000000004,267.86400000000003,1411.509,255.454,,,
30,2761145,196,3.4866020408163267,right,fixation,5.0,8.0,1411.2213,241.85226,,,,,0.0,,
31,2761149,192,3.4865,left,fixation,6.0,,1428.69342857143,246.24351020408199,,,,,1.0,5.059294694476236,11.419667464510542
32,2761345,47,,left,saccade,7.0,,,,1447.2060000000001,238.62900000000002,539.591,268.308,,,
33,2761345,51,,right,saccade,6.0,8.0,,,1427.777,241.8,547.221,222.24099999999999,,,
34,2761396,349,3.4820087108013933,left,fixation,7.0,,501.401,270.64826136363604,,,,,2.0,5.156436079202046,14.033267829685093
35,2761400,341,3.482083234946872,right,fixation,6.0,9.0,494.019093023256,215.712360465116,,,,,3.0,8.240413285773448,17.970739573017273
36,2761745,39,,right,saccade,7.0,9.0,,,481.686,223.165,474.99699999999996,153.451,,,
37,2761749,40,,left,saccade,8.0,,,,475.14300000000003,275.231,431.181,213.05200000000002,,,
38,2761869,491,3.492575375604788,left,fixation,8.0,,424.223887096774,161.48425,,,,,3.0,9.43037651671368,29.08531135892275
39,2761876,480,3.492197812097812,right,fixation,7.0,10.0,424.460760330578,136.412809917355,,,,,1.0,10.239607050837225,33.47654607333316
40,2762360,24,,right,saccade,8.0,10.0,,,403.72,132.732,484.18699999999995,174.112,,,
41,2762364,20,,left,saccade,9.0,,,,404.852,145.466,486.348,179.571,,,
42,2762388,560,3.511414285714286,right,fixation,8.0,11.0,437.01817021276605,157.377829787234,,,,,1.0,8.641885006884909,29.041552179592557
43,2762388,1064,3.517847744360901,left,fixation,9.0,,460.845962546817,167.77704119850202,,,,,2.0,11.487593066812684,34.48249230513617
44,2762952,20,,right,saccade,9.0,11.0,,,393.167,150.121,458.293,138.382,,,
45,2762976,480,3.5256125000000003,right,fixation,9.0,12.0,448.814413223141,133.453752066116,,,,,1.0,6.199904694607983,17.128598074565225
46,2763456,16,,left,saccade,10.0,,,,460.838,161.181,388.77099999999996,177.77,,,
47,2763460,12,,right,saccade,10.0,12.0,,,431.70099999999996,137.245,382.466,146.612,,,
48,2763476,484,3.556814049586777,right,fixation,10.0,13.0,376.3505901639341,134.693295081967,,,,,0.0,,
49,2763476,488,3.5566557377049177,left,fixation,10.0,,399.856601626016,161.63281300813,,,,,0.0,,
50,2763964,20,,right,saccade,11.0,13.0,,,373.819,136.321,475.35,136.589,,,
51,2763968,16,,left,saccade,11.0,,,,409.028,159.92700000000005,467.087,155.001,,,
52,2763988,504,3.539686507936508,right,fixation,11.0,14.0,475.79762204724403,140.905834645669,,,,,0.0,,
53,2763988,520,3.5408038461538465,left,fixation,11.0,,501.49896946564905,162.09449618320602,,,,,3.0,7.730241659226931,18.53576715377938
54,2764496,16,,right,saccade,12.0,14.0,,,501.596,156.489,446.744,152.713,,,
55,2764512,0,,left,saccade,12.0,,,,461.13,174.71599999999995,461.13,174.71599999999995,,,
56,2764516,1364,3.5813167155425214,right,fixation,12.0,15.0,411.560675438596,150.285464912281,,,,,3.0,10.405502790520279,29.731940089615307
57,2764516,1380,3.581472463768116,left,fixation,12.0,,437.986020231214,180.603606936416,,,,,5.0,7.57599182172351,25.229294918964385
58,2765884,16,,right,saccade,13.0,15.0,,,431.417,157.148,484.89099999999996,149.52100000000004,,,
59,2765900,0,,left,saccade,13.0,,,,513.064,173.363,513.064,173.363,,,
60,2765904,488,3.6063483606557374,left,fixation,13.0,,517.600081300813,167.477430894309,,,,,1.0,5.393781823647611,11.964170384945238
61,2765904,488,3.6063483606557374,right,fixation,13.0,16.0,490.515617886179,139.607739837398,,,,,0.0,,
62,2766396,20,,right,saccade,14.0,16.0,,,505.793,152.502,642.79,158.642,,,
63,2766396,24,,left,saccade,14.0,,,,517.284,179.44099999999997,645.563,192.188,,,
64,2766420,376,3.533590425531916,right,fixation,14.0,17.0,685.747052631579,178.174515789474,,,,,1.0,14.881848568156965,43.49077734416808
65,2766424,368,3.5328641304347825,left,fixation,14.0,,689.708193548387,219.364247311828,,,,,2.0,6.6252908381539175,19.28082094648032
66,2766796,28,,left,saccade,15.0,,,,726.825,242.127,469.334,213.894,,,
67,2766800,28,,right,saccade,15.0,17.0,,,709.35,196.74200000000002,475.023,153.472,,,
68,2766828,3444,3.5731447443844564,left,fixation,15.0,,417.883527842227,174.65025754060295,,,,,3.0,11.497021885641404,35.936901179317225
69,2766832,356,3.605814606741573,right,fixation,15.0,18.0,459.615611111111,132.285033333333,,,,,0.0,,
70,2767192,20,,right,saccade,16.0,18.0,,,461.719,129.106,383.35699999999997,135.44299999999998,,,
71,2767216,3056,3.569044323753489,right,fixation,16.0,19.0,392.294930718954,155.73676078431401,,,,,3.0,8.387099445826525,26.586556209516264
72,2770276,40,,left,saccade,16.0,,,,433.71,177.942,443.423,167.65400000000002,,,
73,2770276,40,,right,saccade,17.0,19.0,,,417.11300000000006,146.716,444.75199999999995,152.47,,,
74,2770420,1192,3.4677169011213054,left,fixation,16.0,,426.01092642140406,176.791327759197,,,,,2.0,6.010573276960677,18.020046960793604
75,2770432,432,3.587308252111761,right,fixation,17.0,20.0,439.946412844037,151.41752293578,,,,,0.0,,
76,2770868,20,,right,saccade,18.0,20.0,,,453.18699999999995,148.17600000000004,390.651,156.214,,,
77,2770892,712,3.408612359550562,right,fixation,18.0,21.0,394.95646368715103,161.13387150838003,,,,,0.0,,
78,2771608,20,,right,saccade,19.0,21.0,,,381.298,163.292,490.565,155.266,,,
79,2771616,0,,left,saccade,17.0,,,,424.001,154.25,424.001,154.25,,,
80,2771620,0,,left,fixation,17.0,,447.486,154.25,,,,,0.0,,
81,2771624,0,,left,saccade,18.0,,,,463.06800000000004,154.25,463.06800000000004,154.25,,,
