,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,2210067,12,,right,saccade,1.0,3.0,,,479.18300000000005,144.82,529.565,143.054,,,
11,2210067,20,,left,saccade,1.0,,,,439.70599999999996,137.079,502.689,122.869,,,
12,2210083,1308,3.1962492354740046,right,fixation,1.0,4.0,539.7678475609761,140.23263719512198,,,,,2.0,3.1068127865843187,6.324711796187805
13,2210091,1300,3.196344615384615,left,fixation,1.0,,506.988766871165,125.087478527607,,,,,2.0,3.9373004472437434,10.195678364103477
14,2211395,0,,right,saccade,2.0,4.0,,,535.63,139.56799999999998,535.63,139.56799999999998,,,
15,2211395,12,,left,saccade,2.0,,,,506.25300000000004,134.10299999999998,455.783,131.942,,,
16,2211399,407,3.1992376237623765,right,fixation,2.0,5.0,476.969262135922,154.018427184466,,,,,1.0,3.5718413590814038,9.913354225487918
18,2211810,16,,right,saccade,3.0,5.0,,,483.611,153.82299999999995,547.759,142.69799999999995,,,
19,2211810,20,,left,saccade,3.0,,,,432.19599999999997,116.06299999999999,510.315,105.039,,,
20,2211830,376,3.2651542553191484,right,fixation,3.0,6.0,533.6871052631581,130.190705263158,,,,,1.0,9.746232790730524,45.69338351446522
23,2212210,20,,right,saccade,4.0,6.0,,,506.79699999999997,150.91,411.26099999999997,149.094,,,
25,2212234,192,3.2999907493061977,right,fixation,4.0,7.0,401.21130612244906,139.253265306122,,,,,0.0,,
27,2212430,60,,right,saccade,5.0,7.0,,,402.88599999999997,138.267,483.44800000000004,125.415,,,
28,2212594,244,3.2743415384615377,right,fixation,5.0,8.0,488.18483870967697,154.971532258064,,,,,0.0,,
30,2212842,24,,right,saccade,6.0,8.0,,,496.403,165.67,610.024,161.75799999999995,,,
31,2212846,20,,left,saccade,4.0,,,,444.60400000000004,109.573,585.846,114.08,,,
32,2212870,80,3.2646749999999995,left,fixation,2.0,,592.136952380953,116.422238095238,,,,,0.0,,
33,2212870,80,3.2646749999999995,right,fixation,6.0,9.0,615.550904761905,149.903285714286,,,,,0.0,,
34,2212954,20,,left,saccade,5.0,,,,599.183,124.506,514.755,120.73899999999999,,,
35,2212954,20,,right,saccade,7.0,9.0,,,617.736,149.817,537.605,147.173,,,
36,2212978,284,3.2699577464788727,right,fixation,7.0,10.0,519.661833333333,117.605902777778,,,,,1.0,3.9444158876117936,6.30909161448776
38,2213266,32,,right,saccade,8.0,10.0,,,524.677,108.309,777.135,237.933,,,
39,2213270,28,,left,saccade,6.0,,,,493.966,96.525,745.812,236.412,,,
40,2213302,316,3.150955696202532,left,fixation,3.0,,741.1175999999989,263.9887,,,,,1.0,6.305529046444475,44.16990560324997
41,2213302,316,3.150955696202532,right,fixation,8.0,11.0,761.6756875,281.8689625,,,,,2.0,5.085649701280191,13.146475226153946
42,2213622,24,,left,saccade,7.0,,,,727.6310000000003,267.512,923.578,274.445,,,
43,2213622,24,,right,saccade,9.0,11.0,,,740.855,273.686,951.301,274.719,,,
44,2213650,104,3.142557692307692,left,fixation,4.0,,935.8143703703696,304.909333333333,,,,,1.0,2.516805741190375,5.8209320559511495
45,2213650,104,3.142557692307692,right,fixation,9.0,12.0,957.2958518518519,258.96537037037,,,,,0.0,,
46,2213758,32,,right,saccade,10.0,12.0,,,959.07,254.729,532.031,270.008,,,
47,2213758,36,,left,saccade,8.0,,,,929.89,320.742,512.361,301.911,,,
48,2213794,772,3.128862694300518,right,fixation,10.0,13.0,503.153608247423,250.070226804124,,,,,2.0,3.2095614886815182,10.968194786242476
49,2213798,764,3.129020942408377,left,fixation,5.0,,468.500776041667,249.160760416666,,,,,4.0,3.9740039029390575,14.65257411525176
50,2214566,28,,left,saccade,9.0,,,,463.097,257.002,532.431,120.92200000000001,,,
51,2214570,20,,right,saccade,11.0,13.0,,,491.55699999999996,246.676,579.111,140.981,,,
52,2214594,740,3.105989189189189,right,fixation,11.0,14.0,550.932204301075,143.965709677419,,,,,2.0,5.807879589276048,17.260309469342054
53,2214598,736,3.1060407608695657,left,fixation,6.0,,508.497027027027,117.198097297297,,,,,3.0,4.355321515249038,20.277467278687848
54,2215338,20,,right,saccade,12.0,14.0,,,539.655,144.875,516.2909999999998,253.513,,,
55,2215338,24,,left,saccade,10.0,,,,504.543,137.623,475.841,261.51599999999996,,,
56,2215362,1044,3.0914118773946364,right,fixation,12.0,15.0,501.00634732824403,253.83761450381698,,,,,1.0,10.038927993067787,35.790466286428874
57,2215366,1040,3.0913711538461537,left,fixation,7.0,,457.594360153257,244.89000766283505,,,,,1.0,11.334923907993375,28.619379622905864
58,2216410,56,,right,saccade,13.0,15.0,,,501.079,235.32,1472.486,232.213,,,
59,2216410,60,,left,saccade,11.0,,,,459.42800000000005,202.297,1472.485,202.49,,,
60,2216470,244,3.1027661290322586,right,fixation,13.0,16.0,1478.67546774194,235.51390322580602,,,,,0.0,,
61,2216474,240,3.1034016393442623,left,fixation,8.0,,1496.0997540983599,170.45562295082,,,,,3.0,3.2106491529809413,13.730466723931293
