,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
54,2879039,16,,left,saccade,1.0,,,,538.4490000000002,263.907,490.015,302.22,,,
55,2879039,16,,right,saccade,1.0,14.0,,,501.126,242.14,451.74,281.778,,,
56,2879059,608,3.884878289473684,right,fixation,1.0,15.0,434.33560130719,312.254281045751,,,,,1.0,3.0265240054484184,7.887622518858227
57,2879059,616,3.884136363636363,left,fixation,1.0,,466.4618,309.337761290323,,,,,1.0,3.34447907420239,9.947457212775497
58,2879671,28,,right,saccade,2.0,15.0,,,429.463,313.20599999999996,581.3580000000002,332.2580000000001,,,
59,2879679,20,,left,saccade,2.0,,,,459.087,306.185,567.675,297.971,,,
60,2879703,332,3.8370602409638552,left,fixation,2.0,,567.7967142857141,298.14380952381,,,,,1.0,4.294737509764444,24.380407810370976
61,2879703,332,3.8370602409638552,right,fixation,2.0,16.0,557.130190476191,334.043059523809,,,,,2.0,4.081944820750822,12.202402994218414
62,2880039,20,,right,saccade,3.0,16.0,,,537.3,320.508,654.047,323.267,,,
63,2880039,24,,left,saccade,3.0,,,,550.597,331.898,649.941,322.097,,,
64,2880063,296,3.8066013513513512,right,fixation,3.0,17.0,648.441653333333,312.253213333333,,,,,0.0,,
65,2880067,296,3.8059459459459455,left,fixation,3.0,,669.416706666667,311.983146666667,,,,,0.0,,
66,2880363,20,,right,saccade,4.0,17.0,,,647.172,310.247,771.922,328.69699999999995,,,
67,2880367,20,,left,saccade,4.0,,,,671.559,314.70099999999996,783.038,322.348,,,
68,2880387,256,3.806546875,right,fixation,4.0,18.0,766.1922923076918,315.836584615385,,,,,2.0,6.1096159420208735,28.232177541892252
69,2880391,252,3.806238095238095,left,fixation,4.0,,786.6574375,317.713734375,,,,,0.0,,
70,2880647,20,,left,saccade,5.0,,,,785.671,305.4890000000001,857.931,301.064,,,
71,2880647,20,,right,saccade,5.0,18.0,,,763.66,344.366,850.961,342.425,,,
72,2880671,100,3.82762,left,fixation,5.0,,878.795576923077,320.496576923077,,,,,0.0,,
73,2880671,100,3.82762,right,fixation,5.0,19.0,852.7897307692308,332.81792307692297,,,,,0.0,,
74,2880775,40,,left,saccade,6.0,,,,881.799,337.439,486.772,335.27099999999996,,,
75,2880775,40,,right,saccade,6.0,19.0,,,851.965,324.782,491.712,326.76599999999996,,,
76,2880819,392,3.7997244897959184,right,fixation,6.0,20.0,439.22043434343396,309.166595959596,,,,,1.0,5.38293739772048,32.78153091300037
77,2880819,396,3.7994747474747466,left,fixation,6.0,,449.11332000000004,307.88797,,,,,2.0,7.3765901697289635,22.285120401380787
78,2881215,28,,right,saccade,7.0,20.0,,,408.52099999999996,298.788,612.927,300.061,,,
79,2881219,28,,left,saccade,7.0,,,,433.555,325.573,597.194,314.897,,,
80,2881247,464,3.7514655172413796,right,fixation,7.0,21.0,627.404128205128,322.495623931624,,,,,1.0,6.10109637688177,23.679766405097784
81,2881251,460,3.751295652173912,left,fixation,7.0,,632.493275862069,307.05327586206903,,,,,1.0,4.447095996890039,13.451373907523413
82,2881715,44,,right,saccade,8.0,21.0,,,638.26,327.666,1326.626,281.726,,,
83,2881715,48,,left,saccade,8.0,,,,643.6759999999998,293.517,1323.32,259.48400000000004,,,
86,2882179,44,,right,saccade,9.0,22.0,,,1338.361,258.447,826.2719999999997,281.043,,,
87,2882179,48,,left,saccade,9.0,,,,1335.7060000000001,262.005,792.5939999999997,267.95,,,
88,2882227,276,3.6962463768115934,right,fixation,8.0,23.0,818.2438571428571,306.307185714286,,,,,5.0,7.276750765465517,28.69943359105893
89,2882231,140,3.691614285714286,left,fixation,8.0,,786.18825,271.218027777778,,,,,0.0,,
90,2882375,8,,left,saccade,10.0,,,,797.335,262.603,825.2669999999997,268.061,,,
91,2882387,116,3.700603448275862,left,fixation,9.0,,850.126266666667,281.7978,,,,,0.0,,
92,2882507,48,,right,saccade,10.0,23.0,,,849.847,322.637,1367.566,298.65,,,
93,2882507,56,,left,saccade,11.0,,,,850.8919999999997,303.775,1371.715,272.689,,,
