,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
78,1988912,52,,left,saccade,1.0,,,,1444.4879999999994,428.945,433.67699999999996,646.989,,,
79,1988916,60,,right,saccade,1.0,19.0,,,1429.894,459.285,451.22900000000004,666.2410000000001,,,
80,1988968,416,3.308788461538462,left,fixation,1.0,,449.761942857143,661.696314285714,,,,,0.0,,
81,1988980,712,3.2562528089887643,right,fixation,1.0,20.0,416.226351955307,621.235083798883,,,,,3.0,7.4318958286830625,24.14773625830409
82,1989388,4,,left,saccade,2.0,,,,413.61800000000005,649.354,405.13,649.068,,,
83,1989396,292,3.1843561643835616,left,fixation,2.0,,394.215878378379,614.805459459459,,,,,0.0,,
84,1989692,20,,left,saccade,3.0,,,,390.69,591.96,471.445,596.613,,,
85,1989696,16,,right,saccade,2.0,20.0,,,399.656,600.1,478.63800000000003,599.134,,,
86,1989716,300,3.1308466666666663,left,fixation,3.0,,498.06136842105286,586.736184210526,,,,,0.0,,
87,1989716,300,3.1308466666666663,right,fixation,2.0,21.0,501.865210526315,594.7658947368419,,,,,0.0,,
88,1990020,20,,right,saccade,3.0,21.0,,,493.913,606.51,485.837,732.847,,,
89,1990020,24,,left,saccade,4.0,,,,492.652,591.766,490.506,696.732,,,
90,1990044,316,3.2142658227848098,right,fixation,3.0,22.0,487.1372125,749.6981375,,,,,0.0,,
91,1990048,312,3.214807692307692,left,fixation,4.0,,495.00850632911397,718.820227848101,,,,,0.0,,
92,1990364,24,,left,saccade,5.0,,,,508.05699999999996,721.58,465.126,590.867,,,
93,1990364,24,,right,saccade,4.0,22.0,,,491.394,750.1210000000003,445.79900000000004,590.245,,,
94,1990392,352,3.1934022253787875,left,fixation,5.0,,424.96366292134803,588.0886292134829,,,,,0.0,,
95,1990392,356,3.193402225378788,right,fixation,4.0,23.0,400.807188888889,586.069411111111,,,,,0.0,,
96,1990748,40,,left,saccade,6.0,,,,392.704,593.626,443.671,577.976,,,
99,1990904,408,3.2256667165071766,left,fixation,6.0,,498.08259223300996,606.768038834951,,,,,1.0,9.814713208296551,25.01664208082289
100,1990984,0,,right,saccade,5.0,24.0,,,474.35699999999997,575.826,474.35699999999997,575.826,,,
101,1990988,324,3.2256667165071766,right,fixation,5.0,25.0,501.04674390243895,584.704951219513,,,,,0.0,,
102,1991316,24,,left,saccade,7.0,,,,517.5,632.004,490.475,758.6560000000003,,,
103,1991316,24,,right,saccade,6.0,25.0,,,514.428,619.922,490.384,780.453,,,
104,1991344,412,3.27740291262136,left,fixation,7.0,,492.566,768.266798076923,,,,,0.0,,
105,1991344,412,3.27740291262136,right,fixation,6.0,26.0,493.899125,776.2643653846153,,,,,0.0,,
106,1991760,24,,left,saccade,8.0,,,,500.837,769.885,673.895,767.934,,,
107,1991760,24,,right,saccade,7.0,26.0,,,512.47,779.2239999999997,666.534,774.905,,,
108,1991788,1064,3.3576094339622635,right,fixation,7.0,27.0,705.842449438202,724.070026217229,,,,,2.0,7.5078250784647445,20.165170393454307
109,1991788,1068,3.3577048872180453,left,fixation,8.0,,690.8575597014931,710.70329477612,,,,,1.0,10.1791904529672,29.167494527298828
110,1992856,24,,right,saccade,8.0,27.0,,,716.704,718.198,560.444,657.878,,,
111,1992860,20,,left,saccade,9.0,,,,688.61,686.35,521.877,641.533,,,
112,1992884,408,3.3098413461538465,left,fixation,9.0,,517.8226213592241,637.855805825242,,,,,0.0,,
113,1992884,408,3.3098413461538465,right,fixation,8.0,28.0,521.2202038834951,629.063194174757,,,,,1.0,5.835189061966124,15.216938522580733
