,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,3411488,0,,right,saccade,1.0,3.0,,,438.32,190.25599999999997,438.32,190.25599999999997,,,
11,3411488,8,,left,saccade,1.0,,,,423.116,178.34400000000005,418.10699999999997,170.983,,,
12,3411492,317,3.5516235339506173,right,fixation,1.0,4.0,404.5351,154.5829125,,,,,1.0,5.174800116912729,16.01906317485515
13,3411500,305,3.551570592948718,left,fixation,1.0,,398.806701298701,145.224714285714,,,,,0.0,,
14,3411809,40,,left,saccade,2.0,,,,392.097,144.399,369.786,118.98700000000001,,,
15,3411813,40,,right,saccade,2.0,4.0,,,403.251,157.791,353.702,154.80100000000004,,,
16,3411996,108,3.5145,right,fixation,2.0,5.0,368.8028571428569,151.918464285714,,,,,0.0,,
17,3412012,876,3.54683137254902,left,fixation,2.0,,406.92139090909103,130.5749,,,,,3.0,9.517963221920905,30.89325935688861
18,3412108,16,,right,saccade,3.0,5.0,,,368.577,154.026,425.608,138.322,,,
19,3412128,760,3.5478710526315784,right,fixation,3.0,6.0,405.893282722513,154.444916230367,,,,,1.0,13.04307398690116,48.02045465215839
20,3412892,24,,left,saccade,3.0,,,,406.07099999999997,144.166,475.691,227.18200000000002,,,
21,3412892,24,,right,saccade,4.0,6.0,,,399.898,161.64,476.464,251.96,,,
22,3412920,508,3.514913385826772,left,fixation,3.0,,479.1335,250.05659375,,,,,0.0,,
23,3412920,512,3.5154765625,right,fixation,4.0,7.0,470.78735658914803,258.385550387597,,,,,1.0,3.334679603133633,6.443397007790258
24,3413432,20,,left,saccade,4.0,,,,464.162,243.53099999999998,419.349,189.30700000000002,,,
25,3413436,16,,right,saccade,5.0,7.0,,,442.245,240.38099999999997,422.81699999999995,198.77200000000002,,,
26,3413456,1548,3.6755786082474233,left,fixation,4.0,,400.348698453609,148.404180412371,,,,,1.0,5.100541520814773,16.084939446575447
27,3413456,1548,3.6755786082474233,right,fixation,5.0,8.0,381.5192396907209,154.595837628866,,,,,0.0,,
28,3415008,28,,right,saccade,6.0,8.0,,,390.829,152.844,478.397,211.528,,,
29,3415008,40,,left,saccade,5.0,,,,410.39,121.971,472.79400000000004,253.547,,,
30,3415040,1860,3.606978494623657,right,fixation,6.0,9.0,470.751476394849,249.159536480687,,,,,4.0,4.579550726262097,14.145304659971249
31,3415052,1840,3.6065206521739133,left,fixation,5.0,,479.264605206074,256.24709978308,,,,,1.0,5.876122044152748,15.87591877656227
32,3416896,24,,left,saccade,6.0,,,,480.024,298.35,408.034,192.483,,,
33,3416904,20,,right,saccade,7.0,9.0,,,436.866,240.521,389.49,167.176,,,
34,3416924,752,3.7023723404255318,left,fixation,6.0,,388.15841269841286,164.037560846561,,,,,0.0,,
35,3416928,752,3.7024840425531917,right,fixation,7.0,10.0,367.109211640211,169.59908994709,,,,,1.0,4.763617874053294,12.890011055076732
36,3417680,24,,left,saccade,7.0,,,,360.095,124.62,438.416,250.91099999999997,,,
37,3417684,20,,right,saccade,8.0,10.0,,,387.29,190.16400000000002,439.647,247.33,,,
38,3417708,812,3.5930985221674883,left,fixation,7.0,,465.003372549019,277.06410784313704,,,,,2.0,6.045108389432372,19.00182029297083
39,3417708,824,3.591893203883496,right,fixation,8.0,11.0,450.27299516908204,266.09315942029,,,,,1.0,4.220309009881737,11.111987041029126
40,3418524,24,,left,saccade,8.0,,,,464.356,270.29900000000004,405.41900000000004,190.847,,,
41,3418536,20,,right,saccade,9.0,11.0,,,459.34,253.889,429.901,191.24400000000003,,,
