,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
85,2507985,16,,right,saccade,1.0,22.0,,,433.778,354.38800000000015,425.222,413.589,,,
86,2507989,16,,left,saccade,1.0,,,,394.293,362.30800000000005,369.251,408.135,,,
87,2508005,745,3.192320855614973,right,fixation,1.0,23.0,417.796620320855,412.535171122995,,,,,3.0,9.676291889053607,19.07616654673447
88,2508009,2524,3.1880063391442155,left,fixation,1.0,,341.54952056962003,421.961060126582,,,,,3.0,11.427731079718844,37.63527759932983
89,2508754,16,,right,saccade,2.0,23.0,,,466.79,425.616,412.157,443.728,,,
90,2508774,1755,3.1865696347031967,right,fixation,2.0,24.0,395.381181818181,433.636756818182,,,,,2.0,7.70251742366192,22.313814392346973
91,2510533,28,,right,saccade,3.0,24.0,,,401.431,430.57300000000004,566.93,520.207,,,
92,2510537,24,,left,saccade,2.0,,,,339.15,424.55,500.25,515.381,,,
93,2510565,132,3.163818181818182,left,fixation,2.0,,533.880794117647,540.7880588235299,,,,,1.0,5.17960557271394,11.143785039204676
94,2510565,132,3.163818181818182,right,fixation,3.0,25.0,577.471823529412,536.218235294118,,,,,0.0,,
95,2510701,20,,left,saccade,3.0,,,,548.205,549.784,644.469,551.198,,,
96,2510701,20,,right,saccade,4.0,25.0,,,586.937,539.887,707.192,544.08,,,
97,2510725,1353,3.1093522058823524,left,fixation,3.0,,685.185103244838,530.628710914454,,,,,0.0,,
98,2510725,1353,3.1093522058823524,right,fixation,4.0,26.0,721.941513274336,524.082079646018,,,,,3.0,6.043673579076343,18.41848715573036
