,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
8,2118648,0,,right,saccade,1.0,3.0,,,532.293,231.49,532.293,231.49,,,
9,2118652,241,3.2019999999999995,right,fixation,1.0,4.0,515.470032786885,226.393344262295,,,,,2.0,6.599487742519077,16.529512422631758
11,2118897,32,,right,saccade,2.0,4.0,,,510.356,262.14599999999996,450.63300000000004,193.578,,,
13,2118933,0,,left,saccade,1.0,,,,387.57199999999995,184.73,387.57199999999995,184.73,,,
14,2118933,168,3.197809523809524,right,fixation,2.0,5.0,431.997046511628,151.710837209302,,,,,0.0,,
15,2118937,128,3.196484375,left,fixation,1.0,,389.382818181818,158.814242424242,,,,,0.0,,
16,2119069,8,,left,saccade,2.0,,,,386.69300000000004,163.918,369.316,156.513,,,
17,2119081,16,3.203875,left,fixation,2.0,,357.38599999999997,137.7312,,,,,0.0,,
18,2119101,24,,left,saccade,3.0,,,,353.965,124.066,501.236,119.24700000000001,,,
19,2119105,20,,right,saccade,3.0,5.0,,,424.585,125.029,515.255,132.47799999999998,,,
21,2119129,507,3.1597222222222223,right,fixation,3.0,6.0,528.3028515625,142.032984375,,,,,0.0,,
22,2119640,20,,left,saccade,4.0,,,,517.076,124.66,433.93699999999995,142.71,,,
23,2119640,20,,right,saccade,4.0,6.0,,,522.339,145.205,459.19599999999997,143.67600000000004,,,
24,2119664,260,3.113269230769231,left,fixation,3.0,,426.34980303030295,169.97842424242398,,,,,2.0,9.66243601675776,26.119943633541602
25,2119664,576,3.09309375,right,fixation,4.0,7.0,410.783193103448,135.765531034483,,,,,3.0,8.14361417536877,20.857516705087846
26,2119928,0,,left,saccade,5.0,,,,447.55199999999996,210.575,447.55199999999996,210.575,,,
27,2119932,4,3.0855,left,fixation,4.0,,442.769,214.0405,,,,,0.0,,
