,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,1970601,56,,right,saccade,1.0,3.0,,,357.57199999999995,135.94299999999998,976.76,33.87,,,
11,1970605,48,,left,saccade,1.0,,,,490.88699999999994,240.548,1025.8319999999999,135.702,,,
13,1970661,151,3.407351351351351,right,fixation,1.0,4.0,997.735487179487,57.4039487179487,,,,,0.0,,
18,1970940,44,,right,saccade,2.0,5.0,,,508.645,-40.361999999999995,982.0010000000001,19.342,,,
20,1970988,308,3.476246753246754,right,fixation,2.0,6.0,990.173128205128,63.475756410256395,,,,,1.0,5.016033207514583,11.080392637447472
22,1971300,48,,left,saccade,2.0,,,,1028.715,98.14399999999999,448.36800000000005,191.613,,,
24,1971352,301,3.4613552631578948,left,fixation,1.0,,435.56510526315805,229.10792105263096,,,,,0.0,,
26,1971657,20,,left,saccade,3.0,,,,439.278,233.515,545.124,230.64700000000002,,,
27,1971657,20,,right,saccade,3.0,7.0,,,358.208,168.27,466.848,168.27,,,
28,1971681,476,3.4721638655462184,left,fixation,2.0,,542.506375000001,215.905525,,,,,2.0,5.106672187397852,10.848808483125401
29,1971681,764,3.466502617801047,right,fixation,3.0,8.0,416.93740625,159.262125,,,,,4.0,7.6357093002043985,25.44984023345334
30,1972161,12,,left,saccade,4.0,,,,497.751,225.06900000000002,455.347,222.94299999999998,,,
31,1972177,272,3.4576764705882366,left,fixation,3.0,,430.49728985507204,219.293,,,,,0.0,,
32,1972449,16,,right,saccade,4.0,8.0,,,355.084,186.058,404.62199999999996,186.3,,,
33,1972453,16,,left,saccade,5.0,,,,435.29900000000004,218.726,501.035,221.18599999999998,,,
34,1972469,539,3.448007462686568,right,fixation,4.0,9.0,438.962698529412,166.773757352941,,,,,1.0,8.669829943545603,26.300436593334307
35,1972473,535,3.4478120300751884,left,fixation,4.0,,522.3143481481479,222.340651851852,,,,,0.0,,
36,1973012,24,,left,saccade,6.0,,,,507.952,216.666,633.942,213.204,,,
37,1973012,24,,right,saccade,5.0,9.0,,,422.67,163.261,547.183,164.74400000000003,,,
38,1973040,276,3.4952028985507244,left,fixation,5.0,,648.0,220.097528571429,,,,,0.0,,
39,1973040,276,3.4952028985507244,right,fixation,5.0,10.0,555.918871428571,159.815028571429,,,,,0.0,,
40,1973320,20,,left,saccade,7.0,,,,664.873,224.84099999999998,756.9760000000001,227.798,,,
41,1973320,20,,right,saccade,6.0,10.0,,,564.732,181.169,676.8969999999998,179.979,,,
42,1973344,393,3.5138585858585865,left,fixation,6.0,,781.3110202020198,223.161181818182,,,,,0.0,,
43,1973344,396,3.5138585858585865,right,fixation,6.0,11.0,690.35821,175.73695,,,,,0.0,,
44,1973740,20,,left,saccade,8.0,,,,790.9939999999997,216.68599999999998,865.663,216.761,,,
45,1973744,12,,right,saccade,7.0,11.0,,,723.184,163.502,765.049,163.502,,,
46,1973760,184,3.5428043478260864,right,fixation,7.0,12.0,803.020744680851,198.44893617021302,,,,,0.0,,
47,1973764,180,3.5429555555555554,left,fixation,7.0,,882.0269782608699,224.281956521739,,,,,0.0,,
48,1973948,32,,left,saccade,9.0,,,,883.778,214.801,607.4119999999998,215.185,,,
49,1973948,32,,right,saccade,8.0,12.0,,,793.5219999999997,201.301,534.931,193.36599999999999,,,
50,1973984,152,3.47642105263158,left,fixation,8.0,,590.561692307692,227.570897435897,,,,,0.0,,
51,1973984,152,3.47642105263158,right,fixation,8.0,13.0,517.008461538461,190.63056410256402,,,,,0.0,,
52,1974140,20,,left,saccade,10.0,,,,609.523,245.887,703.664,248.218,,,
53,1974140,20,,right,saccade,9.0,13.0,,,515.281,183.322,608.427,175.739,,,
54,1974164,180,3.4759555555555566,right,fixation,9.0,14.0,616.237065217391,167.983,,,,,0.0,,
55,1974164,504,3.4709682539682536,left,fixation,9.0,,750.100188976378,230.55115748031503,,,,,1.0,10.430362692106613,46.769461628289136
56,1974348,0,,right,saccade,10.0,14.0,,,651.146,174.429,651.146,174.429,,,
57,1974352,316,3.467886075949367,right,fixation,10.0,15.0,673.008125,156.7575875,,,,,0.0,,
58,1974672,52,,left,saccade,11.0,,,,777.6,240.645,1394.3729999999994,205.47799999999998,,,
59,1974672,52,,right,saccade,11.0,15.0,,,675.505,151.611,1362.395,147.281,,,
60,1974728,180,3.377544444444444,right,fixation,11.0,16.0,1387.66302173913,190.472347826087,,,,,1.0,7.569344606884916,16.46522984959518
61,1974728,684,3.3709502923976613,left,fixation,10.0,,1498.19183139535,147.013244186047,,,,,2.0,8.408636199876382,29.245380641434068
62,1974912,8,,right,saccade,12.0,16.0,,,1409.759,188.15900000000002,1444.148,179.71,,,
63,1974924,980,3.3696930894308945,right,fixation,12.0,17.0,1486.9740284552802,179.254345528456,,,,,1.0,5.7466509498045015,15.007293060375725
64,1975416,24,,left,saccade,12.0,,,,1487.922,208.808,1549.646,164.051,,,
65,1975444,460,3.3754741379310347,left,fixation,11.0,,1576.27125,109.11430172413799,,,,,0.0,,
