,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
8,2198553,40,,left,saccade,1.0,,,,422.583,581.128,399.157,175.541,,,
10,2198597,732,3.318739393939394,left,fixation,1.0,,417.8494945652169,170.16821739130398,,,,,2.0,8.521217336659612,39.92278823083214
12,2199333,40,,left,saccade,2.0,,,,413.222,221.579,388.994,162.165,,,
13,2199337,44,,right,saccade,1.0,3.0,,,376.718,193.232,379.159,157.614,,,
14,2199433,1276,3.2989725011529134,right,fixation,1.0,4.0,404.27688125,182.81414375,,,,,5.0,7.5029089562069675,22.704547856715433
15,2199441,1268,3.2989725011529134,left,fixation,2.0,,411.57366666666604,165.072669811321,,,,,4.0,6.5330578217181206,19.969260403763837
16,2200713,24,,left,saccade,3.0,,,,401.01,201.415,452.94199999999995,284.21,,,
17,2200713,24,,right,saccade,2.0,4.0,,,370.441,202.234,469.009,284.978,,,
18,2200741,316,3.263,left,fixation,3.0,,496.7479,316.2636125,,,,,0.0,,
19,2200741,324,3.263882716049383,right,fixation,2.0,5.0,476.000768292683,287.56606097561,,,,,1.0,6.648593355824309,13.860628593249329
20,2201061,20,,left,saccade,4.0,,,,490.917,299.555,409.349,193.77900000000002,,,
21,2201069,16,,right,saccade,3.0,5.0,,,453.096,243.53,423.87199999999996,198.687,,,
22,2201085,520,3.3004615384615383,left,fixation,4.0,,410.302549618321,169.835557251908,,,,,1.0,6.415108005499389,24.270487922577896
23,2201089,520,3.3006461538461536,right,fixation,3.0,6.0,412.358633587786,196.957549618321,,,,,3.0,9.466068079773006,31.19674642173865
24,2201609,8,,left,saccade,5.0,,,,420.14099999999996,154.737,442.106,160.359,,,
25,2201613,4,,right,saccade,4.0,6.0,,,419.87300000000016,164.512,423.103,165.916,,,
26,2201621,1260,3.3608349206349213,left,fixation,5.0,,424.212139240507,164.448044303797,,,,,2.0,9.777998931799557,29.12070963813595
27,2201621,1260,3.3608349206349213,right,fixation,4.0,7.0,417.54149683544296,195.287731012658,,,,,4.0,8.446942393680137,23.155085832030288
28,2202885,24,,right,saccade,5.0,7.0,,,420.12300000000016,155.879,487.86300000000006,219.463,,,
29,2202885,28,,left,saccade,6.0,,,,454.82300000000004,151.736,505.684,273.774,,,
30,2202913,263,3.3636846153846154,right,fixation,5.0,8.0,506.02541791044797,277.263626865672,,,,,1.0,8.236739877254546,39.41343477800429
31,2202917,259,3.363328125,left,fixation,6.0,,528.9998030303029,308.873681818182,,,,,1.0,7.0715342708951505,24.32615812248207
32,2203180,28,,left,saccade,7.0,,,,516.263,324.372,744.898,295.282,,,
33,2203180,28,,right,saccade,6.0,8.0,,,481.464,285.884,778.317,288.608,,,
34,2203212,184,3.3311413043478257,left,fixation,7.0,,774.2039361702133,268.900957446809,,,,,0.0,,
35,2203212,184,3.3311413043478257,right,fixation,6.0,9.0,785.308127659575,316.976127659574,,,,,1.0,7.328905428355428,13.740380489637095
36,2203400,24,,right,saccade,7.0,9.0,,,771.942,279.673,959.168,281.788,,,
37,2203400,28,,left,saccade,8.0,,,,784.209,263.793,963.3380000000001,268.82099999999997,,,
38,2203428,253,3.3091640625,right,fixation,7.0,10.0,970.90475,306.955828125,,,,,0.0,,
39,2203432,253,3.3085546875,left,fixation,8.0,,979.508390625,283.532875,,,,,0.0,,
40,2203685,24,,right,saccade,8.0,10.0,,,967.007,301.906,1191.401,314.129,,,
41,2203689,24,,left,saccade,9.0,,,,994.082,278.075,1194.389,278.149,,,
42,2203713,251,3.293870967741935,right,fixation,8.0,11.0,1207.18775,305.7733125,,,,,0.0,,
43,2203717,247,3.2938360655737706,left,fixation,9.0,,1207.18304761905,267.529793650794,,,,,0.0,,
44,2203968,24,,right,saccade,9.0,11.0,,,1210.988,306.823,1411.6889999999999,300.222,,,
45,2203968,28,,left,saccade,10.0,,,,1205.356,276.006,1425.3120000000001,275.274,,,
46,2203996,1465,3.33625340599455,right,fixation,9.0,12.0,1430.89284468665,275.431871934605,,,,,0.0,,
47,2204000,1461,3.3363592896174867,left,fixation,10.0,,1446.11525136612,260.020267759563,,,,,4.0,6.041604388948975,24.44246434347033
