,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
316,2448567,28,,left,saccade,1.0,,,,804.81,413.829,596.206,550.595,,,
317,2448567,28,,right,saccade,1.0,79.0,,,776.0369999999997,413.157,579.941,537.984,,,
318,2448599,196,2.9597346938775506,right,fixation,1.0,80.0,569.8770400000002,559.70186,,,,,1.0,3.2779353639143065,6.590999013806659
319,2448599,200,2.9597600000000006,left,fixation,1.0,,580.121156862745,583.600274509804,,,,,2.0,4.506203816667087,34.910368727248674
320,2448799,20,,right,saccade,2.0,80.0,,,568.8290000000002,567.095,466.665,578.818,,,
321,2448803,20,,left,saccade,2.0,,,,574.518,580.486,494.602,591.063,,,
322,2448823,452,2.9491283185840707,right,fixation,2.0,81.0,427.443228070175,590.162789473684,,,,,6.0,2.580498581338352,10.551607289716284
323,2448827,452,2.9492433628318584,left,fixation,2.0,,452.252061403509,602.593280701754,,,,,2.0,3.4172775404458213,20.49661040071589
324,2449279,20,,right,saccade,3.0,81.0,,,405.333,579.995,499.591,584.139,,,
325,2449283,16,,left,saccade,3.0,,,,444.658,597.884,495.07199999999995,600.558,,,
326,2449303,468,2.9336452991452986,right,fixation,3.0,82.0,521.3633305084751,583.3740847457631,,,,,4.0,1.9732436308503936,5.904256563513807
327,2449303,472,2.9337457627118644,left,fixation,3.0,,549.276731092437,598.899378151261,,,,,1.0,2.8489985472481782,17.716724358639258
328,2449775,20,,right,saccade,4.0,82.0,,,523.217,581.763,616.362,580.306,,,
329,2449779,16,,left,saccade,4.0,,,,561.7080000000002,599.67,624.5830000000002,594.244,,,
330,2449799,396,2.947111111111111,right,fixation,4.0,83.0,630.8254900000002,576.4854799999998,,,,,3.0,1.6080451412483994,4.506813167935871
331,2449799,400,2.94698,left,fixation,4.0,,662.270861386138,585.534861386138,,,,,1.0,2.976475119816887,11.100922889561918
332,2450199,24,,right,saccade,5.0,83.0,,,638.126,579.009,752.7260000000001,584.355,,,
333,2450203,16,,left,saccade,5.0,,,,660.388,588.062,732.5169999999997,582.493,,,
334,2450223,476,2.870987394957984,left,fixation,5.0,,763.708966666667,596.0013,,,,,2.0,2.6295242341521736,19.108177921862193
335,2450227,476,2.870970588235294,right,fixation,5.0,84.0,761.286458333333,601.743575,,,,,2.0,3.603479782250805,21.45147398720929
336,2450703,24,,left,saccade,6.0,,,,722.45,566.312,833.2239999999997,560.771,,,
337,2450707,20,,right,saccade,6.0,84.0,,,743.8539999999997,583.15,838.877,587.464,,,
338,2450731,1064,2.8523872180451133,left,fixation,6.0,,849.438621722846,559.58106741573,,,,,6.0,3.623992437407205,13.50558580331105
339,2450731,1068,2.852288389513108,right,fixation,6.0,85.0,854.02970522388,608.0387835820901,,,,,5.0,3.290008858759653,19.29485673574377
340,2451799,48,,left,saccade,7.0,,,,850.505,577.6,471.115,584.104,,,
341,2451803,48,,right,saccade,7.0,85.0,,,838.2339999999997,588.17,436.593,588.538,,,
342,2451851,679,2.7989416405915213,left,fixation,7.0,,434.01982456140297,585.684093567251,,,,,3.0,2.3722297522364553,12.821129314809493
343,2451855,675,2.7988144690463908,right,fixation,7.0,86.0,426.134841176471,599.760023529411,,,,,4.0,2.218217796483532,6.66471075916153
344,2452534,48,,left,saccade,8.0,,,,407.67400000000004,593.013,367.185,601.38,,,
346,2452806,36,,left,fixation,8.0,,372.9215,585.9448,,,,,1.0,116.41798003613722,681.2691878090483
354,2453382,24,,right,saccade,8.0,89.0,,,880.533,549.304,747.163,557.515,,,
355,2453386,20,,left,saccade,9.0,,,,854.8839999999999,584.092,734.89,581.9580000000002,,,
356,2453410,460,2.8832478260869565,right,fixation,8.0,90.0,733.7346465517239,575.972094827586,,,,,2.0,1.9714459648619087,5.891347277269797
357,2453410,464,2.8836939655172418,left,fixation,9.0,,727.7822564102562,567.285957264957,,,,,1.0,4.104334582013394,27.35562737354054
358,2453874,20,,right,saccade,9.0,90.0,,,751.408,585.331,626.7180000000002,592.606,,,
359,2453878,20,,left,saccade,10.0,,,,723.635,558.9780000000002,631.7919999999998,570.759,,,
360,2453898,844,2.9764715639810437,right,fixation,9.0,91.0,618.8862783018869,597.206037735849,,,,,11.0,3.0575669143524427,10.43485897930441
361,2453902,844,2.9766919431279626,left,fixation,10.0,,624.337641509434,578.180636792453,,,,,3.0,2.30911894445668,7.074547892963303
362,2454746,20,,right,saccade,10.0,91.0,,,607.785,596.712,522.7769999999998,601.028,,,
363,2454750,20,,left,saccade,11.0,,,,617.039,563.3330000000002,526.97,576.154,,,
364,2454770,468,3.002247863247863,right,fixation,10.0,92.0,514.245186440678,604.66563559322,,,,,3.0,2.273555753642474,7.431482595047977
365,2454774,837,2.981114285714286,left,fixation,11.0,,506.130128571429,595.725776190476,,,,,5.0,4.219178407586,26.482017585036957
366,2455242,16,,right,saccade,11.0,92.0,,,522.7230000000002,610.775,459.686,606.981,,,
367,2455262,345,2.952172413793104,right,fixation,11.0,93.0,432.50655172413803,596.036149425287,,,,,2.0,2.3572300980767746,7.4313751562372765
368,2455611,32,,right,saccade,12.0,93.0,,,431.93699999999995,602.44,646.067,603.596,,,
369,2455615,28,,left,saccade,12.0,,,,466.42699999999996,603.025,652.711,596.988,,,
370,2455647,800,2.8811725,right,fixation,12.0,94.0,656.201328358209,597.651313432836,,,,,6.0,3.340446288561538,16.898179407565618
371,2455647,804,2.880997512437811,left,fixation,12.0,,663.185846534654,601.168633663366,,,,,4.0,3.7573700222964335,19.556353803306422
372,2456451,20,,right,saccade,13.0,94.0,,,634.7230000000002,593.651,543.4580000000002,599.4780000000002,,,
373,2456455,20,,left,saccade,13.0,,,,642.385,618.4490000000002,564.033,615.84,,,
374,2456475,164,2.852987804878049,right,fixation,13.0,95.0,535.937904761905,596.938904761904,,,,,2.0,2.229469531025484,4.851421688026829
375,2456479,164,2.853353658536585,left,fixation,13.0,,552.335952380952,609.7197380952381,,,,,2.0,3.937284653054393,15.53930578181954
376,2456643,36,,right,saccade,14.0,95.0,,,533.418,609.481,750.562,608.865,,,
377,2456647,36,,left,saccade,14.0,,,,560.53,618.515,753.566,584.794,,,
378,2456683,259,2.8397421875000006,right,fixation,14.0,96.0,765.570181818182,602.344560606061,,,,,2.0,2.6050454688017504,9.386228054538387
379,2456687,383,2.8397736842105266,left,fixation,14.0,,796.430701030928,584.133659793814,,,,,3.0,5.454022202393037,31.887005217127637
380,2456946,8,,right,saccade,15.0,96.0,,,793.686,588.082,819.543,592.48,,,
381,2456958,116,2.8396379310344826,right,fixation,15.0,97.0,838.977666666667,597.4556,,,,,1.0,4.256580265372143,7.990091989457903
382,2457074,44,,left,saccade,15.0,,,,865.2769999999997,581.405,487.0,593.471,,,
