,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,3790078,4,,left,saccade,1.0,,,,397.806,101.21,392.574,101.21,,,
12,3790974,4,,right,saccade,1.0,3.0,,,431.37800000000004,167.66299999999995,433.224,165.50599999999997,,,
13,3790982,700,3.435988571428572,right,fixation,1.0,4.0,425.28377272727204,151.136801136364,,,,,7.0,3.8287324838899774,14.041612617866821
14,3791686,4,,right,saccade,2.0,4.0,,,381.499,151.246,383.67,158.95,,,
15,3791694,188,3.4235744680851066,right,fixation,2.0,5.0,400.532645833333,217.9191875,,,,,1.0,4.618605564573693,16.6378532870079
16,3791882,12,,left,saccade,2.0,,,,404.80199999999996,134.507,438.82199999999995,111.934,,,
17,3791886,12,,right,saccade,3.0,5.0,,,435.4,221.618,449.222,189.81,,,
19,3791902,760,3.4513552631578954,right,fixation,3.0,6.0,426.13886910994796,159.746120418848,,,,,5.0,5.2634703978731325,17.896608609943915
20,3792662,28,,left,saccade,3.0,,,,409.665,73.505,513.127,256.741,,,
21,3792666,28,,right,saccade,4.0,6.0,,,404.08099999999996,173.365,494.358,303.258,,,
22,3792694,300,3.443217105263158,left,fixation,1.0,,509.352684210526,255.11976315789505,,,,,1.0,7.291044828722716,31.94395216625521
23,3792698,292,3.44327027027027,right,fixation,4.0,7.0,488.43786486486505,332.009905405405,,,,,2.0,6.466894401585339,33.79275673482291
24,3792994,48,,right,saccade,5.0,7.0,,,468.897,332.381,950.3430000000001,303.786,,,
25,3792998,44,,left,saccade,4.0,,,,501.287,248.731,962.4739999999999,247.965,,,
26,3793046,312,3.430298701298702,left,fixation,2.0,,974.293303797468,257.981544303798,,,,,0.0,,
27,3793046,316,3.4301602564102565,right,fixation,5.0,8.0,955.192675,309.38375,,,,,0.0,,
28,3793362,28,,left,saccade,5.0,,,,981.028,274.61,1173.484,282.932,,,
29,3793366,28,,right,saccade,6.0,8.0,,,959.11,311.64599999999996,1173.542,304.329,,,
30,3793394,424,3.393655660377358,left,fixation,3.0,,1189.87211214953,280.327514018691,,,,,0.0,,
31,3793398,416,3.393692307692308,right,fixation,6.0,9.0,1189.73890476191,294.14060952381,,,,,2.0,2.7701002036343327,6.191691998349023
32,3793818,28,,right,saccade,7.0,9.0,,,1186.861,294.361,1397.58,302.493,,,
33,3793822,24,,left,saccade,6.0,,,,1187.912,262.552,1397.2320000000002,279.485,,,
34,3793850,192,3.3593437499999994,left,fixation,4.0,,1401.51975510204,293.189510204082,,,,,0.0,,
35,3793850,192,3.3593437499999994,right,fixation,7.0,10.0,1417.8387959183701,299.791693877551,,,,,1.0,2.6660637860169194,5.415351973787142
36,3794046,64,,left,saccade,7.0,,,,1405.605,293.361,502.03,168.832,,,
37,3794046,64,,right,saccade,8.0,10.0,,,1427.132,297.1690000000001,513.02,185.912,,,
38,3794114,196,3.3974693877551014,left,fixation,5.0,,497.52442,134.47722,,,,,1.0,2.4654907670121564,9.058313584768412
39,3794114,196,3.3974693877551014,right,fixation,8.0,11.0,499.44424000000004,188.09923999999998,,,,,1.0,3.844198666678,16.47297872274471
40,3794314,56,,left,saccade,8.0,,,,499.43,128.317,1393.7579999999994,246.1,,,
41,3794314,56,,right,saccade,9.0,11.0,,,499.24300000000005,194.308,1432.3239999999994,260.056,,,
42,3794374,928,3.336320815450643,left,fixation,6.0,,1410.5318669527899,276.38992703862704,,,,,7.0,4.292662919669779,11.526058645809044
43,3794374,928,3.336320815450643,right,fixation,9.0,12.0,1442.6959656652402,260.986442060086,,,,,9.0,2.85161384181568,10.587361519604752
