,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
428,2292981,28,,right,saccade,1.0,108.0,,,753.555,602.264,437.57,742.62,,,
429,2292981,32,,left,saccade,1.0,,,,757.571,601.345,500.49699999999996,696.569,,,
430,2293013,412,3.4070242718446613,right,fixation,1.0,109.0,414.70772115384597,747.712490384616,,,,,3.0,3.715500866808902,18.300704527823147
431,2293017,408,3.4071764705882366,left,fixation,1.0,,472.200165048544,717.4394466019411,,,,,0.0,,
432,2293429,28,,left,saccade,2.0,,,,462.333,727.48,655.246,728.3489999999997,,,
433,2293429,28,,right,saccade,2.0,109.0,,,395.587,753.3430000000003,607.052,757.09,,,
434,2293461,540,3.4079777777777776,left,fixation,2.0,,664.427169117647,739.923948529412,,,,,0.0,,
435,2293461,540,3.4079777777777776,right,fixation,2.0,110.0,624.421801470588,760.239860294117,,,,,1.0,2.252325575932572,6.8201487520434805
436,2294005,20,,left,saccade,3.0,,,,660.6010000000001,738.795,744.696,738.2719999999997,,,
437,2294005,20,,right,saccade,3.0,110.0,,,633.192,764.956,729.9789999999997,757.398,,,
438,2294029,296,3.377337837837838,left,fixation,3.0,,742.501173333333,739.4691733333342,,,,,0.0,,
439,2294029,296,3.377337837837838,right,fixation,3.0,111.0,734.190533333333,749.801106666666,,,,,0.0,,
440,2294329,20,,left,saccade,4.0,,,,750.2139999999997,744.255,872.715,747.703,,,
441,2294329,20,,right,saccade,4.0,111.0,,,733.818,755.863,846.441,756.915,,,
442,2294353,360,3.3877055555555566,left,fixation,4.0,,862.261131868131,750.1314395604401,,,,,0.0,,
443,2294353,360,3.3877055555555566,right,fixation,4.0,112.0,845.881725274725,745.8924725274719,,,,,0.0,,
444,2294717,28,,left,saccade,5.0,,,,850.492,743.4889999999997,588.443,740.64,,,
445,2294717,32,,right,saccade,5.0,112.0,,,839.078,751.485,539.376,759.079,,,
446,2294749,352,3.377931818181818,left,fixation,5.0,,569.2894494382019,721.846011235956,,,,,0.0,,
447,2294753,344,3.3778604651162785,right,fixation,5.0,113.0,518.049988505747,758.4509080459779,,,,,2.0,2.078093807252164,4.985453934097978
448,2295101,20,,right,saccade,6.0,113.0,,,507.642,750.617,605.217,751.931,,,
449,2295105,16,,left,saccade,6.0,,,,572.063,716.074,634.995,718.567,,,
450,2295125,424,3.3906037735849046,left,fixation,6.0,,656.023224299066,732.4059719626172,,,,,0.0,,
451,2295125,424,3.3906037735849046,right,fixation,6.0,114.0,612.169682242991,759.8460654205611,,,,,1.0,2.7136327639858933,6.370000706436388
452,2295553,20,,left,saccade,7.0,,,,660.7389999999998,730.948,758.2719999999997,739.9839999999997,,,
453,2295553,20,,right,saccade,7.0,114.0,,,615.781,756.768,724.27,763.939,,,
454,2295577,436,3.4301972477064218,right,fixation,7.0,115.0,733.466572727272,757.9538,,,,,4.0,2.5911423063689916,6.577094057376156
455,2295577,440,3.4301454545454546,left,fixation,7.0,,761.936837837838,742.21545945946,,,,,0.0,,
456,2296017,24,,right,saccade,8.0,115.0,,,737.245,763.9110000000003,610.592,764.0880000000003,,,
457,2296021,20,,left,saccade,8.0,,,,760.188,747.623,628.971,736.3860000000003,,,
458,2296045,384,3.445984375,right,fixation,8.0,116.0,609.1089587628869,774.162144329897,,,,,4.0,3.918810491903933,9.51512498521527
459,2296045,388,3.4459381443298964,left,fixation,8.0,,647.2550102040809,728.9722653061218,,,,,2.0,3.0547343385366905,9.70601366913389
460,2296433,20,,right,saccade,9.0,116.0,,,627.007,768.96,526.388,761.1619999999997,,,
461,2296437,16,,left,saccade,9.0,,,,657.97,732.5269999999997,601.839,726.7560000000003,,,
462,2296457,332,3.4267891566265063,right,fixation,9.0,117.0,522.977428571429,753.79475,,,,,1.0,3.3711230654222724,12.964606742975269
463,2296457,336,3.4268273809523815,left,fixation,9.0,,577.027647058823,717.021388235294,,,,,2.0,4.916647625337951,12.891423854382658
464,2296793,20,,right,saccade,10.0,117.0,,,522.505,742.172,420.725,747.687,,,
465,2296797,16,,left,saccade,10.0,,,,559.611,703.6039999999997,490.341,720.8969999999997,,,
466,2296817,444,3.3973873873873885,right,fixation,10.0,118.0,409.132544642857,754.964607142858,,,,,2.0,2.5753609945493707,5.94791231692813
467,2296817,448,3.3974776785714287,left,fixation,10.0,,460.062654867257,741.2527168141589,,,,,0.0,,
468,2297265,20,,right,saccade,11.0,118.0,,,397.92800000000005,748.908,509.689,753.775,,,
469,2297269,16,,left,saccade,11.0,,,,460.514,735.625,536.89,730.302,,,
470,2297289,652,3.4656104294478536,left,fixation,11.0,,566.154512195122,723.3186890243901,,,,,3.0,3.5228502601024374,13.198698681789406
471,2297289,652,3.4656104294478536,right,fixation,11.0,119.0,516.261256097561,758.8999207317081,,,,,2.0,2.8376170161390606,6.529056623356084
473,2297945,52,,left,saccade,12.0,,,,569.482,721.681,582.6419999999998,115.83200000000001,,,
476,2298128,36,,left,saccade,13.0,,,,595.122,60.95399999999999,936.05,63.81100000000001,,,
478,2298168,281,3.5654849199516736,right,fixation,12.0,121.0,974.861690140845,52.2005492957746,,,,,3.0,4.948407944563857,12.518629030554225
479,2298168,285,3.5654849199516736,left,fixation,12.0,,946.358847222222,44.060180555555604,,,,,0.0,,
480,2298453,59,,right,saccade,12.0,121.0,,,988.653,42.968,465.92199999999997,814.863,,,
481,2298457,47,,left,saccade,14.0,,,,964.0060000000001,37.512,573.479,797.0889999999997,,,
482,2298600,300,3.614358980051136,left,fixation,13.0,,569.4095,729.285,,,,,1.0,9.411941708394851,46.32184613117237
483,2298608,292,3.614358980051136,right,fixation,13.0,122.0,517.4143378378379,765.230243243243,,,,,2.0,6.807056800748973,40.92134647497526
484,2298904,24,,left,saccade,15.0,,,,572.701,725.175,448.63800000000003,860.69,,,
485,2298904,24,,right,saccade,13.0,122.0,,,519.611,769.515,383.19199999999995,879.337,,,
488,2299116,25,,right,saccade,14.0,123.0,,,379.881,876.247,543.8480000000002,748.94,,,
489,2299116,29,,left,saccade,16.0,,,,432.852,856.865,581.788,723.0260000000003,,,
490,2299145,1352,3.616603550295858,right,fixation,14.0,124.0,520.312156342183,742.6043244837759,,,,,3.0,6.1690634313568005,24.10178781327991
491,2299149,1348,3.6166068249258165,left,fixation,14.0,,570.058674556214,716.250869822485,,,,,20.0,5.616840445104371,17.527036601703838
492,2300501,20,,left,saccade,17.0,,,,552.299,704.831,474.34,729.533,,,
493,2300501,20,,right,saccade,15.0,124.0,,,530.734,743.439,409.119,748.935,,,
494,2300525,307,3.6430789473684215,left,fixation,15.0,,465.744923076923,738.959448717949,,,,,1.0,2.9808841389762213,5.734359946846709
495,2300525,307,3.6430789473684215,right,fixation,15.0,125.0,409.040884615385,752.781205128205,,,,,3.0,2.734947071717857,7.870278402325886
496,2300836,16,,left,saccade,18.0,,,,460.74800000000016,740.117,531.78,731.841,,,
497,2300836,20,,right,saccade,16.0,125.0,,,410.76300000000003,741.8739999999997,512.999,742.675,,,
498,2300856,432,3.5575648148148145,left,fixation,16.0,,552.266256880734,736.888605504587,,,,,3.0,4.997938107614736,18.876458327251328
499,2300860,428,3.557014018691589,right,fixation,16.0,126.0,516.753842592592,750.27925,,,,,6.0,2.824766531096377,10.895289082862126
500,2301292,16,,left,saccade,19.0,,,,565.987,753.988,649.058,753.7230000000003,,,
501,2301292,20,,right,saccade,17.0,126.0,,,516.7280000000002,753.305,608.15,756.709,,,
502,2301312,500,3.531456,left,fixation,17.0,,658.673968253969,738.810912698413,,,,,0.0,,
503,2301316,496,3.5315120967741933,right,fixation,17.0,127.0,606.451872,768.246168000001,,,,,1.0,2.593207714395426,10.727382905443562
504,2301816,20,,left,saccade,20.0,,,,660.495,742.679,543.5930000000002,743.193,,,
505,2301816,20,,right,saccade,18.0,127.0,,,611.524,771.38,490.481,772.5989999999997,,,
506,2301840,464,3.5633275862068965,left,fixation,18.0,,555.403068376068,708.8950683760678,,,,,6.0,4.901169378289056,14.525105123228427
507,2301840,464,3.5633275862068965,right,fixation,18.0,128.0,500.43541025640997,762.570948717949,,,,,3.0,3.4279052922543016,9.819582436513702
508,2302308,20,,left,saccade,21.0,,,,576.81,698.2130000000003,464.476,708.827,,,
509,2302308,20,,right,saccade,19.0,128.0,,,519.263,758.3839999999999,402.291,760.8710000000003,,,
