,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
62,2386364,385,3.4970822222222213,right,fixation,1.0,18.0,435.10327835051595,670.975804123711,,,,,0.0,,
63,2386372,377,3.4961581699346405,left,fixation,1.0,,432.230989473685,652.5146,,,,,0.0,,
64,2386753,64,,left,saccade,1.0,,,,440.77,682.105,383.082,664.922,,,
65,2386753,40,,right,saccade,1.0,18.0,,,430.6,703.7669999999997,423.152,689.8580000000003,,,
66,2386893,699,3.474216082862524,right,fixation,2.0,19.0,404.041659090909,712.527022727273,,,,,0.0,,
67,2386905,691,3.473409913954358,left,fixation,2.0,,375.859729885057,698.649804597701,,,,,2.0,7.855337287563638,18.88845542184281
68,2387596,32,,right,saccade,2.0,19.0,,,420.213,744.198,639.447,797.0169999999997,,,
69,2387600,28,,left,saccade,2.0,,,,373.13800000000003,726.707,614.1659999999998,776.341,,,
70,2387632,184,3.367076086956522,right,fixation,3.0,20.0,644.177085106383,816.0784468085112,,,,,0.0,,
71,2387632,188,3.3672553191489367,left,fixation,3.0,,629.9863125,791.299791666666,,,,,0.0,,
72,2387820,24,,right,saccade,3.0,20.0,,,649.2959999999998,820.46,496.431,823.547,,,
73,2387824,24,,left,saccade,3.0,,,,628.251,800.887,478.288,804.914,,,
74,2387848,168,3.3726585365853663,right,fixation,4.0,21.0,496.298744186047,821.086697674418,,,,,0.0,,
75,2387852,164,3.3726875,left,fixation,4.0,,474.30202380952403,796.5232857142862,,,,,0.0,,
76,2388020,24,,left,saccade,4.0,,,,477.84,816.924,356.686,682.329,,,
77,2388020,24,,right,saccade,4.0,21.0,,,487.47,810.643,434.78,704.826,,,
78,2388048,588,3.4876088435374157,right,fixation,5.0,22.0,413.13397972973,699.430635135135,,,,,5.0,11.060096047230342,33.47615794689083
79,2388048,592,3.4882060810810813,left,fixation,5.0,,403.417986577181,679.001530201342,,,,,1.0,11.564850513036857,29.47783591107059
80,2388640,32,,right,saccade,5.0,22.0,,,397.527,743.322,728.779,787.538,,,
81,2388644,32,,left,saccade,5.0,,,,385.639,696.118,720.817,771.209,,,
82,2388676,268,3.6508432835820894,right,fixation,6.0,23.0,721.789661764706,819.4067205882359,,,,,0.0,,
83,2388680,264,3.6515681818181824,left,fixation,6.0,,741.0192537313429,803.278179104477,,,,,2.0,6.9104699848124955,23.641450545209235
84,2388948,24,,right,saccade,6.0,23.0,,,705.2460000000003,846.387,509.16900000000004,842.372,,,
85,2388948,28,,left,saccade,6.0,,,,724.574,827.71,475.904,827.71,,,
86,2388976,576,3.5854270833333337,right,fixation,7.0,24.0,493.5322,825.343089655173,,,,,0.0,,
87,2388980,572,3.584947552447552,left,fixation,7.0,,487.54669444444505,816.756361111112,,,,,0.0,,
88,2389556,44,,right,saccade,7.0,24.0,,,500.18300000000005,823.257,1214.675,814.117,,,
89,2389556,48,,left,saccade,7.0,,,,496.21,810.198,1185.075,803.405,,,
90,2389604,308,3.5908493589743578,right,fixation,8.0,25.0,1216.31230769231,807.502692307692,,,,,0.0,,
91,2389608,308,3.590926282051282,left,fixation,8.0,,1197.5208974359,790.5138076923082,,,,,1.0,10.558571653453406,55.97700022330586
