,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
42,13940452,720,3.3984916666666662,left,fixation,1.0,,459.93873480662995,360.27921546961306,,,,,4.0,5.084825817736778,22.878161027403873
43,13940452,720,3.3984916666666662,right,fixation,1.0,12.0,467.829453038674,384.720585635359,,,,,7.0,4.815141060686169,16.363143057339858
44,13941176,20,,left,saccade,1.0,,,,499.61699999999996,391.333,483.585,487.642,,,
45,13941176,20,,right,saccade,1.0,12.0,,,515.067,408.51199999999994,493.084,490.17199999999997,,,
46,13941200,192,3.375875,left,fixation,2.0,,458.62381632653086,499.205551020408,,,,,1.0,3.702505416756497,11.064840034993795
47,13941200,192,3.375875,right,fixation,2.0,13.0,476.3500408163269,507.19928571428596,,,,,2.0,4.5272232835944415,11.132687890857609
48,13941396,28,,left,saccade,2.0,,,,475.7,519.446,687.3660000000001,527.226,,,
49,13941396,28,,right,saccade,2.0,13.0,,,470.579,501.911,725.6619999999997,478.37699999999995,,,
50,13941428,504,3.3921626984126987,left,fixation,3.0,,720.8189133858258,513.229015748031,,,,,1.0,4.215709364323485,6.884863469960855
51,13941428,512,3.3922656250000003,right,fixation,3.0,14.0,723.7105426356592,474.95451162790704,,,,,3.0,3.6993803561271874,7.858101188468066
52,13941936,32,,left,saccade,3.0,,,,720.207,483.715,608.031,394.349,,,
53,13941944,36,,right,saccade,3.0,14.0,,,714.073,451.907,591.38,425.99800000000016,,,
54,13941972,248,3.3181370967741937,left,fixation,4.0,,553.6957142857141,395.04065079365097,,,,,1.0,3.8189479935942594,8.993545296488985
55,13941984,236,3.31607627118644,right,fixation,4.0,15.0,550.8641,395.765516666667,,,,,1.0,4.3434178681975535,10.607841344967307
56,13942224,24,,left,saccade,4.0,,,,536.794,409.082,691.7560000000003,463.101,,,
57,13942224,24,,right,saccade,4.0,15.0,,,533.129,386.452,702.9939999999997,414.63800000000003,,,
