,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
110,19914613,40,,right,saccade,1.0,27.0,,,738.43,485.055,458.11400000000003,666.9860000000001,,,
111,19914617,32,,left,saccade,1.0,,,,739.7919999999997,466.724,485.43300000000005,665.052,,,
112,19914653,136,2.7406857142857146,left,fixation,1.0,,469.0644,678.672257142857,,,,,2.0,4.051298492939837,16.79512833309903
113,19914657,756,2.7632079510703362,right,fixation,1.0,28.0,397.4186736842109,630.430152631579,,,,,6.0,5.072085839500784,18.411295349703988
114,19914793,4,,left,saccade,2.0,,,,456.591,667.2280000000002,451.001,655.688,,,
115,19914801,608,2.7698260869565217,left,fixation,2.0,,422.401784313725,621.079921568627,,,,,5.0,3.040408044381265,10.12090679722064
116,19915413,52,,left,saccade,3.0,,,,399.06800000000004,625.535,478.298,719.171,,,
117,19915417,44,,right,saccade,2.0,28.0,,,371.471,623.394,421.616,725.209,,,
118,19915613,252,2.7556027397260268,right,fixation,2.0,29.0,445.0325625,748.7860625,,,,,2.0,3.9989685030761,11.199421151056868
119,19915625,240,2.7556027397260268,left,fixation,3.0,,490.598295081967,747.059213114754,,,,,4.0,3.124362284300496,10.780978541199325
120,19915869,20,,left,saccade,4.0,,,,491.311,744.068,426.968,628.83,,,
121,19915869,24,,right,saccade,3.0,29.0,,,463.85400000000004,758.682,400.069,660.4830000000002,,,
122,19915893,440,2.7944036697247707,left,fixation,4.0,,410.949072072072,621.120459459459,,,,,3.0,2.731190167422754,8.715166461590812
123,19915897,424,2.794957142857143,right,fixation,3.0,30.0,382.86104672897204,632.652093457944,,,,,2.0,2.776160229280657,7.898908567944821
124,19916325,16,,right,saccade,4.0,30.0,,,386.81,625.169,443.529,616.055,,,
125,19916337,0,,left,saccade,5.0,,,,455.426,615.543,455.426,615.543,,,
126,19916341,436,2.7711318181818188,left,fixation,5.0,,457.653281818182,607.039845454545,,,,,5.0,2.6450165310948055,6.79583950420051
127,19916345,432,2.771022935779817,right,fixation,4.0,31.0,449.608,617.347165137615,,,,,1.0,3.0521015938020364,8.721799126327102
128,19916781,20,,left,saccade,6.0,,,,464.149,619.207,539.688,611.052,,,
129,19916781,20,,right,saccade,5.0,31.0,,,447.57099999999997,611.484,522.323,602.161,,,
