,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
181,2752729,56,,right,saccade,1.0,47.0,,,1338.766,559.69,549.66,667.7810000000002,,,
182,2752785,120,3.7005666666666666,left,fixation,1.0,,558.7388387096779,679.684516129032,,,,,1.0,6.108129319012282,25.643954004794026
183,2752789,112,3.700589285714286,right,fixation,1.0,48.0,526.6236896551719,689.088413793104,,,,,1.0,5.572354621502295,17.944436603025316
184,2752905,24,,right,saccade,2.0,48.0,,,523.476,687.336,408.981,712.674,,,
185,2752909,20,,left,saccade,1.0,,,,552.187,668.664,449.42900000000003,710.565,,,
186,2752933,364,3.730190217391304,left,fixation,2.0,,446.41821739130404,722.3449021739128,,,,,2.0,3.4713381661700566,9.423756859847137
187,2752933,364,3.730190217391304,right,fixation,2.0,49.0,418.872619565217,724.9505108695648,,,,,2.0,4.632534438852816,16.343028741143595
188,2753301,20,,left,saccade,2.0,,,,461.225,725.27,545.13,730.543,,,
189,2753301,20,,right,saccade,3.0,49.0,,,449.26300000000003,726.418,529.41,735.539,,,
190,2753325,408,3.7098970588235294,left,fixation,3.0,,557.723048543689,741.28040776699,,,,,0.0,,
191,2753325,408,3.7098970588235294,right,fixation,3.0,50.0,545.012922330097,749.104174757281,,,,,2.0,3.62555758026286,9.905329013631553
192,2753737,20,,left,saccade,3.0,,,,559.165,749.688,654.75,744.315,,,
193,2753737,20,,right,saccade,4.0,50.0,,,560.395,749.923,667.041,741.051,,,
194,2753761,340,3.753764705882352,left,fixation,4.0,,671.465988372093,735.95588372093,,,,,0.0,,
195,2753761,340,3.753764705882352,right,fixation,4.0,51.0,666.981709302326,748.197581395349,,,,,0.0,,
196,2754105,16,,left,saccade,4.0,,,,670.692,737.075,743.041,736.2239999999997,,,
197,2754105,16,,right,saccade,5.0,51.0,,,678.627,757.195,747.005,755.453,,,
198,2754125,264,3.8031742424242414,left,fixation,5.0,,758.910507462686,747.8574626865669,,,,,1.0,4.752074710645397,8.181740462762152
199,2754125,264,3.8031742424242414,right,fixation,5.0,52.0,757.252985074626,763.2665373134331,,,,,0.0,,
200,2754393,20,,left,saccade,5.0,,,,757.063,761.4760000000001,880.775,766.815,,,
201,2754393,20,,right,saccade,6.0,52.0,,,770.365,759.9639999999997,869.216,754.8539999999997,,,
202,2754417,452,3.8809867256637167,left,fixation,6.0,,884.959482456141,749.422447368421,,,,,0.0,,
203,2754417,452,3.8809867256637167,right,fixation,6.0,53.0,866.257561403509,748.825675438596,,,,,0.0,,
204,2754873,28,,left,saccade,6.0,,,,874.0110000000003,745.7810000000003,574.599,747.4010000000003,,,
205,2754873,28,,right,saccade,7.0,53.0,,,848.421,755.488,564.815,757.4739999999997,,,
206,2754905,324,3.7872716049382724,left,fixation,7.0,,546.642243902439,737.376670731707,,,,,1.0,8.344993450832941,27.45308350622935
207,2754905,324,3.7872716049382724,right,fixation,7.0,54.0,534.094865853658,748.537219512195,,,,,1.0,12.44408629407741,31.796952385409536
208,2755233,20,,left,saccade,7.0,,,,538.054,746.035,473.662,748.345,,,
209,2755233,20,,right,saccade,8.0,54.0,,,529.394,752.2669999999997,454.639,754.42,,,
210,2755257,524,3.785896946564885,right,fixation,8.0,55.0,445.09992424242404,745.5548106060602,,,,,1.0,4.970053476126322,11.507230466102556
211,2755257,528,3.785814393939394,left,fixation,8.0,,466.856827067669,739.5751954887219,,,,,0.0,,
