,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
296,2143067,56,,left,saccade,1.0,,,,1165.306,445.80199999999996,454.901,616.025,,,
297,2143071,56,,right,saccade,1.0,75.0,,,1160.948,499.906,456.499,625.64,,,
298,2143127,632,3.2560126582278475,left,fixation,1.0,,470.46883018867896,598.538383647799,,,,,1.0,11.032445046065002,74.45295591848587
299,2143131,628,3.25593949044586,right,fixation,1.0,76.0,486.459601265823,629.677069620253,,,,,1.0,9.03704042323099,51.884447187957925
300,2143763,20,,left,saccade,2.0,,,,496.39300000000003,586.135,396.44699999999995,589.128,,,
301,2143763,20,,right,saccade,2.0,76.0,,,511.57599999999996,612.217,408.944,622.123,,,
302,2143787,432,3.2035449219337235,left,fixation,2.0,,393.125339449541,586.545816513762,,,,,2.0,3.295502448190549,8.35381870169828
303,2143787,436,3.2035449219337235,right,fixation,2.0,77.0,401.140036363636,623.014063636364,,,,,0.0,,
304,2144223,40,,left,saccade,3.0,,,,379.85,605.974,354.86300000000006,571.705,,,
305,2144227,68,,right,saccade,3.0,77.0,,,402.413,642.395,371.675,627.706,,,
306,2144347,196,3.2241702127659573,right,fixation,3.0,78.0,389.42012,623.55126,,,,,0.0,,
307,2144351,776,3.278696165191741,left,fixation,3.0,,449.993646153846,606.7988,,,,,8.0,5.402470557526821,25.33262531413126
308,2144547,12,,right,saccade,4.0,78.0,,,395.19,637.67,445.631,636.386,,,
309,2144563,564,3.2895390070921984,right,fixation,4.0,79.0,478.887570422535,618.679492957747,,,,,2.0,7.8791310789787365,23.984805853354324
310,2145131,20,,left,saccade,4.0,,,,489.32300000000004,595.4169999999998,477.08099999999996,709.5160000000003,,,
311,2145131,20,,right,saccade,5.0,79.0,,,512.14,621.606,491.44199999999995,718.9889999999997,,,
312,2145155,180,3.3326777777777776,left,fixation,4.0,,465.233934782609,699.5259347826089,,,,,0.0,,
313,2145155,180,3.3326777777777776,right,fixation,5.0,80.0,483.76726086956495,726.663217391304,,,,,1.0,2.7795319200261783,8.464721672919941
314,2145339,20,,left,saccade,5.0,,,,467.591,694.845,467.219,599.663,,,
315,2145339,20,,right,saccade,6.0,80.0,,,485.004,729.4680000000003,484.18,617.3340000000002,,,
316,2145363,1008,3.371186507936508,right,fixation,6.0,81.0,437.214841897233,620.265118577075,,,,,4.0,4.1968724767492995,22.91671560361537
317,2145363,1012,3.3712727272727268,left,fixation,5.0,,426.009417322835,613.184055118111,,,,,6.0,3.778717233865001,11.85716331396239
318,2146375,16,,right,saccade,7.0,81.0,,,417.298,619.053,489.415,619.68,,,
319,2146379,16,,left,saccade,6.0,,,,407.319,620.303,471.226,618.319,,,
320,2146395,155,3.39324,right,fixation,7.0,82.0,503.863925,617.231075,,,,,1.0,4.544040899292633,10.417932664401283
321,2146399,147,3.392782608695652,left,fixation,6.0,,483.382289473684,614.146105263158,,,,,0.0,,
322,2146550,44,,left,saccade,7.0,,,,481.592,618.755,383.202,606.066,,,
323,2146554,72,,right,saccade,8.0,82.0,,,513.8480000000002,613.524,438.17,605.405,,,
324,2146690,481,3.3740706125425377,right,fixation,8.0,83.0,460.21669421487604,616.858628099173,,,,,3.0,7.777303208766037,24.921723414270712
325,2146690,2173,3.330850149608378,left,fixation,7.0,,440.455531250001,614.58559742647,,,,,12.0,5.940242893330375,25.61749346535244
326,2147175,4,,right,saccade,9.0,83.0,,,499.0,620.369,504.406,621.239,,,
327,2147183,1684,3.321163895486936,right,fixation,9.0,84.0,449.549699052133,616.060030805687,,,,,5.0,7.985684836496086,34.55417025176958
328,2148867,12,,left,saccade,8.0,,,,440.35900000000004,602.908,397.00699999999995,602.936,,,
329,2148871,12,,right,saccade,10.0,84.0,,,443.17400000000004,615.556,403.21,620.685,,,
330,2148883,240,3.3270166666666667,left,fixation,8.0,,387.159393442623,612.840983606557,,,,,1.0,8.571215556215522,18.71975579434734
331,2148887,224,3.3281875,right,fixation,10.0,85.0,398.870403508772,625.0561754385959,,,,,0.0,,
332,2149115,16,,right,saccade,11.0,85.0,,,400.827,616.625,463.62199999999996,612.5,,,
333,2149127,4,,left,saccade,9.0,,,,418.649,597.2090000000002,429.093,597.193,,,
334,2149135,268,3.2985074626865667,left,fixation,9.0,,458.686352941176,597.602647058823,,,,,2.0,8.061561033714197,18.8762794620988
335,2149135,268,3.2985074626865667,right,fixation,11.0,86.0,473.83533823529405,614.467382352942,,,,,2.0,7.292297795896971,15.632860611378105
336,2149407,0,,left,saccade,10.0,,,,492.251,616.427,492.251,616.427,,,
337,2149407,0,,right,saccade,12.0,86.0,,,509.022,627.031,509.022,627.031,,,
338,2149411,687,3.313704678362573,left,fixation,10.0,,500.697052023122,629.5555606936409,,,,,1.0,2.587596750740809,7.1607366241189885
339,2149411,1211,3.3132748344370864,right,fixation,12.0,87.0,475.706105263158,629.871444078948,,,,,4.0,4.4232044781720505,20.909262921371752
340,2150102,8,,left,saccade,11.0,,,,489.046,631.251,466.164,630.3340000000002,,,
341,2150114,512,3.3132109375,left,fixation,11.0,,415.210007751938,597.1001705426361,,,,,5.0,4.095698512744304,18.219328552542862
342,2150626,16,,right,saccade,13.0,87.0,,,408.856,624.447,487.75,620.359,,,
343,2150630,16,,left,saccade,12.0,,,,400.63199999999995,605.063,472.54400000000004,606.352,,,
344,2150646,148,3.3453243243243254,right,fixation,13.0,88.0,493.278421052632,613.1184736842109,,,,,0.0,,
345,2150650,144,3.3457222222222223,left,fixation,12.0,,480.17659459459503,604.370621621621,,,,,0.0,,
346,2150798,20,,left,saccade,13.0,,,,485.041,612.349,473.69300000000004,729.582,,,
347,2150798,24,,right,saccade,14.0,88.0,,,493.24,618.882,483.972,747.977,,,
