,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
54,19738721,40,,left,saccade,1.0,,,,1204.413,242.003,886.053,511.731,,,
55,19738725,36,,right,saccade,1.0,15.0,,,1168.529,234.174,878.1260000000003,473.30300000000005,,,
56,19738765,148,3.7987083333333334,left,fixation,1.0,,872.990157894737,513.759078947368,,,,,0.0,,
57,19738765,152,3.7995,right,fixation,1.0,15.0,848.738794871795,488.179948717949,,,,,0.0,,
58,19738917,36,,left,saccade,2.0,,,,870.7289999999997,515.663,530.6659999999998,502.42800000000005,,,
59,19738921,32,,right,saccade,2.0,16.0,,,838.814,486.17400000000004,511.918,476.95599999999996,,,
60,19738957,332,3.8170476190476186,left,fixation,2.0,,512.094297619048,457.059630952381,,,,,1.0,14.116882589848087,36.316994644381005
61,19738957,336,3.8170529411764713,right,fixation,2.0,16.0,473.143094117647,447.6685176470591,,,,,2.0,7.693864623773508,17.62836801575741
94,19742313,24,,left,saccade,3.0,,,,472.89,239.71200000000002,479.46,479.835,,,
95,19742313,24,,right,saccade,3.0,25.0,,,450.95099999999996,214.77,454.50699999999995,455.92,,,
96,19742341,168,3.7916190476190472,right,fixation,3.0,25.0,468.12711627907004,465.98086046511594,,,,,0.0,,
97,19742341,568,3.7735387323943663,left,fixation,3.0,,479.238405594406,466.903608391608,,,,,1.0,8.540703496915366,24.741609587898704
98,19742513,16,,right,saccade,4.0,26.0,,,475.94800000000004,473.965,475.281,401.61199999999997,,,
99,19742533,372,3.764741935483871,right,fixation,4.0,26.0,449.798404255319,386.24798936170197,,,,,1.0,6.3161924997932495,26.72183680063928
100,19742909,20,,right,saccade,5.0,27.0,,,413.59,369.17,443.045,463.962,,,
101,19742913,16,,left,saccade,4.0,,,,438.93199999999996,449.475,466.309,495.392,,,
102,19742933,212,3.69504716981132,left,fixation,4.0,,481.801,519.2925555555561,,,,,0.0,,
103,19742933,212,3.69504716981132,right,fixation,5.0,27.0,470.544222222222,490.267351851852,,,,,0.0,,
104,19743149,16,,left,saccade,5.0,,,,484.74300000000005,512.612,494.746,454.449,,,
105,19743149,20,,right,saccade,6.0,28.0,,,476.23,481.538,488.54900000000004,393.61199999999997,,,
106,19743169,1688,3.705885071090047,left,fixation,5.0,,514.946319148936,427.70819858156096,,,,,2.0,10.174477870907136,30.797788177907208
