,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,3392320,40,,right,saccade,1.0,3.0,,,423.92400000000004,202.354,413.32,202.077,,,
11,3392324,40,,left,saccade,1.0,,,,427.87199999999996,208.641,409.462,190.648,,,
12,3392416,132,3.351066666666667,left,fixation,1.0,,415.4813823529409,205.204,,,,,1.0,3.0285119787703665,13.348312327781375
13,3392424,120,3.353153846153845,right,fixation,1.0,4.0,413.6064193548391,214.486870967742,,,,,3.0,3.2938774894303613,9.153599634861683
14,3392548,24,,right,saccade,2.0,4.0,,,406.27099999999996,204.17700000000002,488.135,296.488,,,
15,3392552,20,,left,saccade,2.0,,,,416.37199999999996,222.486,499.23800000000006,283.036,,,
16,3392576,244,3.3112276782062446,left,fixation,2.0,,497.938016129032,305.26541935483897,,,,,2.0,2.4247227750019387,5.990964047434952
17,3392576,244,3.3112276782062446,right,fixation,2.0,5.0,491.490822580645,306.666838709677,,,,,2.0,2.2765329117245083,10.502169195965461
18,3392824,40,,right,saccade,3.0,5.0,,,501.51099999999997,310.435,445.084,155.498,,,
19,3392824,44,,left,saccade,3.0,,,,498.523,315.855,432.07099999999997,145.358,,,
20,3392928,480,3.376088116557054,left,fixation,3.0,,420.247446280992,171.746768595041,,,,,2.0,2.4383497757675583,6.8730118035004555
21,3392932,472,3.3760881165570535,right,fixation,3.0,6.0,412.56171428571406,169.003630252101,,,,,6.0,3.4140738990119397,12.768895818984321
22,3393408,40,,right,saccade,4.0,6.0,,,401.61199999999997,168.696,387.159,170.15400000000002,,,
23,3393412,40,,left,saccade,4.0,,,,412.25699999999995,186.155,401.93,176.975,,,
24,3393536,252,3.5100441176470585,left,fixation,4.0,,420.4409375,173.88784375,,,,,5.0,2.847146316458739,10.683669725350963
25,3393552,236,3.5100441176470585,right,fixation,4.0,7.0,406.992933333333,181.3523,,,,,3.0,4.456367395624153,18.221843188368545
26,3393792,24,,left,saccade,5.0,,,,415.06300000000016,181.84799999999998,464.43300000000005,303.94,,,
27,3393792,24,,right,saccade,5.0,7.0,,,419.434,180.08,474.251,311.457,,,
28,3393820,316,3.6030632911392413,left,fixation,5.0,,483.1133375,309.3735375,,,,,3.0,2.8753511176716486,8.574607611041124
29,3393820,316,3.6030632911392413,right,fixation,5.0,8.0,473.5266625,306.880125,,,,,3.0,3.116216628835905,11.336647201901787
30,3394140,24,,right,saccade,6.0,8.0,,,466.348,319.629,708.082,289.5370000000001,,,
31,3394140,28,,left,saccade,6.0,,,,476.445,313.659,705.15,300.445,,,
32,3394168,244,3.630911290322581,right,fixation,6.0,9.0,700.7535161290317,307.137806451613,,,,,5.0,4.825072630662676,19.123349088883177
33,3394172,236,3.6306355932203394,left,fixation,6.0,,721.40155,307.069866666667,,,,,4.0,2.5846150004334505,8.552416095830232
34,3394412,36,,left,saccade,7.0,,,,725.875,310.086,403.68699999999995,206.06099999999998,,,
35,3394416,32,,right,saccade,7.0,9.0,,,698.387,298.905,419.289,212.05700000000002,,,
36,3394452,260,3.6448749949292116,right,fixation,7.0,10.0,390.31642424242403,187.64596969696998,,,,,3.0,2.6667288791052504,10.24993285443392
37,3394452,268,3.6448749949292116,left,fixation,7.0,,406.04575,183.53599999999997,,,,,2.0,1.9871103789562827,7.118266137302258
38,3394716,40,,right,saccade,8.0,10.0,,,382.286,186.077,358.89300000000014,178.959,,,
