,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
120,10063626,56,,left,saccade,1.0,,,,1310.6680000000001,275.88599999999997,568.771,393.723,,,
121,10063630,52,,right,saccade,1.0,30.0,,,1318.068,308.362,577.929,431.76199999999994,,,
122,10063686,156,3.0607564102564107,right,fixation,1.0,31.0,558.5927,448.31185,,,,,0.0,,
123,10063686,172,3.0608604651162787,left,fixation,1.0,,545.568704545455,420.54015909090896,,,,,0.0,,
124,10063846,24,,right,saccade,2.0,31.0,,,562.965,444.861,457.264,490.051,,,
125,10063862,8,,left,saccade,2.0,,,,498.55300000000005,440.75800000000004,477.031,453.594,,,
126,10063874,328,3.0863765432098766,left,fixation,2.0,,450.83253012048203,481.20356626506,,,,,0.0,,
127,10063874,332,3.0856524390243902,right,fixation,2.0,32.0,459.954964285714,499.694404761905,,,,,0.0,,
128,10064206,20,,left,saccade,3.0,,,,445.358,482.045,537.934,466.145,,,
129,10064210,20,,right,saccade,3.0,32.0,,,468.93300000000005,504.04900000000004,581.124,490.671,,,
130,10064230,212,2.9831226415094343,left,fixation,3.0,,575.618074074074,465.959481481481,,,,,0.0,,
131,10064234,200,2.9831500000000006,right,fixation,3.0,33.0,585.351627450981,485.241666666667,,,,,0.0,,
132,10064438,20,,right,saccade,4.0,33.0,,,575.02,486.52099999999996,649.623,487.009,,,
133,10064446,0,,left,saccade,4.0,,,,609.451,468.689,609.451,468.689,,,
134,10064450,0,,left,fixation,4.0,,630.252,468.361,,,,,0.0,,
135,10064454,4,,left,saccade,5.0,,,,650.383,467.86800000000005,653.977,465.594,,,
136,10064462,192,2.95428125,left,fixation,5.0,,676.7970612244901,462.812387755102,,,,,0.0,,
137,10064462,192,2.95428125,right,fixation,4.0,34.0,656.853795918367,479.664040816327,,,,,1.0,4.481968695661415,10.498138882678195
138,10064658,20,,left,saccade,6.0,,,,679.6469999999998,470.81,768.6519999999997,470.491,,,
139,10064658,20,,right,saccade,5.0,34.0,,,663.959,476.29900000000004,775.778,468.477,,,
140,10064682,348,2.891619318181818,left,fixation,6.0,,779.3441477272729,460.852693181818,,,,,0.0,,
141,10064682,352,2.8913483146067422,right,fixation,5.0,35.0,774.138370786517,484.181831460674,,,,,1.0,4.410317681931263,9.296787455890332
142,10065034,20,,left,saccade,7.0,,,,786.1030000000003,453.097,852.7280000000003,449.04900000000004,,,
143,10065038,20,,right,saccade,6.0,35.0,,,787.9889999999997,491.914,864.961,490.64599999999996,,,
144,10065058,248,2.8536935483870964,left,fixation,7.0,,865.891476190476,449.092523809523,,,,,0.0,,
145,10065062,244,2.853467213114754,right,fixation,6.0,36.0,869.064483870968,482.405129032258,,,,,0.0,,
146,10065310,32,,left,saccade,8.0,,,,855.09,451.68699999999995,505.332,460.43699999999995,,,
147,10065310,32,,right,saccade,7.0,36.0,,,868.6260000000003,475.032,496.26,494.671,,,
148,10065346,148,2.916918918918919,right,fixation,7.0,37.0,488.60831578947403,485.4207368421049,,,,,0.0,,
149,10065346,384,2.9341979166666667,left,fixation,8.0,,454.241092783505,453.36261855670097,,,,,2.0,7.061687802218231,21.783375446217104
150,10065498,16,,right,saccade,8.0,37.0,,,494.12699999999995,488.65,432.659,491.853,,,
151,10065518,212,2.947481132075472,right,fixation,8.0,38.0,406.31735185185204,467.2808333333329,,,,,2.0,5.674348558582821,15.156660975227867
153,10065734,48,,right,saccade,9.0,38.0,,,389.727,452.56800000000004,1042.524,404.648,,,
155,10065786,132,2.8971363636363634,right,fixation,9.0,39.0,1048.3290294117598,417.44023529411794,,,,,0.0,,
156,10065922,36,,left,saccade,9.0,,,,1057.833,400.54400000000004,1539.943,402.191,,,
157,10065922,40,,right,saccade,10.0,39.0,,,1042.639,429.324,1548.01,425.93800000000016,,,
158,10065962,20,2.9025000000000003,left,fixation,9.0,,1541.3648333333301,398.6195,,,,,0.0,,
159,10065966,16,2.9035,right,fixation,10.0,40.0,1549.5610000000001,423.105,,,,,0.0,,
161,10065986,28,,right,saccade,11.0,40.0,,,1548.989,420.725,1335.594,417.349,,,
163,10066018,840,2.9068148584905664,right,fixation,11.0,41.0,1367.2452369668301,424.9413412322271,,,,,3.0,164.660505059416,507.69716898790665
