,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
208,20571078,36,,left,saccade,1.0,,,,730.1160000000001,535.63,419.38199999999995,670.454,,,
209,20571078,36,,right,saccade,1.0,52.0,,,706.518,532.316,405.645,675.41,,,
210,20571118,1428,3.811670868347339,left,fixation,1.0,,417.920561452515,685.053583798883,,,,,3.0,5.085790592066429,14.176396428389285
211,20571118,1428,3.811670868347339,right,fixation,1.0,53.0,406.12012011173204,664.604240223463,,,,,1.0,5.641810569311937,15.237738316430116
212,20572550,20,,left,saccade,2.0,,,,427.526,691.1669999999997,464.406,765.683,,,
213,20572550,20,,right,saccade,2.0,53.0,,,408.269,667.6619999999998,449.954,748.063,,,
214,20572574,380,3.9444210526315793,left,fixation,2.0,,497.982635416667,794.3166979166672,,,,,1.0,5.913813633726098,11.62894341718125
215,20572574,384,3.9455937500000013,right,fixation,2.0,54.0,480.96887628866,771.2287525773199,,,,,0.0,,
216,20572958,24,,left,saccade,3.0,,,,507.26,806.044,428.353,688.1310000000003,,,
217,20572962,24,,right,saccade,3.0,54.0,,,492.51099999999997,779.942,424.659,662.335,,,
218,20572986,1052,4.062694895591647,left,fixation,3.0,,425.585143939394,677.125859848486,,,,,4.0,69.35638818944717,208.63712866417748
219,20572990,768,4.0548175487465175,right,fixation,3.0,55.0,411.06747668393797,669.7385077720211,,,,,4.0,71.24059224278031,217.0155762329683
220,20573762,80,,right,saccade,4.0,55.0,,,428.38599999999997,695.117,444.222,768.808,,,
221,20574034,0,,right,fixation,4.0,56.0,444.222,768.808,,,,,0.0,,
222,20574038,68,,right,saccade,5.0,56.0,,,444.222,759.779,523.534,747.518,,,
223,20574042,20,,left,saccade,4.0,,,,460.42400000000004,725.508,514.336,787.312,,,
224,20574066,372,4.234559139784946,left,fixation,4.0,,508.77912765957495,785.1029680851068,,,,,1.0,6.490316952113264,24.944626054523244
225,20574406,32,4.187375,right,fixation,5.0,57.0,507.372888888889,762.895444444444,,,,,0.0,,
226,20574442,24,,right,saccade,6.0,57.0,,,496.191,772.127,683.798,787.554,,,
227,20574442,28,,left,saccade,5.0,,,,501.314,786.02,714.028,791.955,,,
228,20574470,376,4.135787234042553,right,fixation,6.0,58.0,744.639936842104,807.107147368421,,,,,2.0,6.633124393437244,25.416102264904914
229,20574474,372,4.136381720430108,left,fixation,5.0,,740.383723404256,795.8289574468089,,,,,0.0,,
230,20574850,24,,right,saccade,7.0,58.0,,,753.002,801.535,963.68,807.072,,,
231,20574850,28,,left,saccade,6.0,,,,757.59,799.168,967.548,798.556,,,
232,20574878,367,4.223626373626373,right,fixation,7.0,59.0,968.5455806451599,810.094827956989,,,,,0.0,,
233,20574882,367,4.2242417582417575,left,fixation,6.0,,979.421569892473,791.314634408602,,,,,0.0,,
234,20575249,28,,right,saccade,8.0,59.0,,,964.8639999999999,813.275,1162.829,812.6419999999997,,,
235,20575253,24,,left,saccade,7.0,,,,993.082,787.955,1184.094,795.773,,,
236,20575281,517,4.110529594017094,left,fixation,7.0,,1191.28343846154,799.56936923077,,,,,0.0,,
237,20575281,521,4.110529594017094,right,fixation,8.0,60.0,1195.58990076336,797.9507709923662,,,,,0.0,,
238,20575802,40,,left,saccade,8.0,,,,1186.984,802.528,1456.761,818.0210000000003,,,
239,20575806,40,,right,saccade,9.0,60.0,,,1200.489,783.3539999999997,1489.991,899.922,,,
240,20575918,4,,left,fixation,8.0,,1456.761,818.0210000000003,,,,,0.0,,
242,20575926,12,,left,saccade,9.0,,,,1455.309,808.6189999999997,1445.7079999999999,750.6030000000003,,,
243,20575930,20,,right,saccade,10.0,61.0,,,1489.991,899.922,1485.845,758.207,,,
244,20575942,432,4.1072414814814815,left,fixation,9.0,,1453.9282201834899,791.141330275229,,,,,2.0,7.9217467638498755,40.020214699840274
245,20575954,424,4.107765535595475,right,fixation,9.0,62.0,1469.70454205608,786.933803738317,,,,,1.0,7.021300073506475,16.852707378934728
246,20576378,52,,left,saccade,10.0,,,,1460.815,815.069,847.097,712.363,,,
247,20576382,52,,right,saccade,11.0,62.0,,,1458.255,820.8560000000001,810.905,702.748,,,
248,20576434,40,4.255250000000001,left,fixation,10.0,,841.951,707.187636363636,,,,,0.0,,
249,20576438,40,4.258,right,fixation,10.0,63.0,810.514909090909,693.616272727273,,,,,0.0,,
250,20576478,40,,left,saccade,11.0,,,,839.11,712.323,427.56300000000016,682.038,,,
251,20576482,32,,right,saccade,12.0,63.0,,,808.7080000000003,692.4169999999997,419.38699999999994,680.472,,,
252,20576518,1107,4.042746,right,fixation,11.0,64.0,418.476881294964,668.8015251798561,,,,,2.0,5.146224068229009,13.595239975857409
253,20576522,1103,4.0419417670682725,left,fixation,11.0,,428.1812202166069,674.590797833935,,,,,2.0,8.50319228574621,35.4321036205799
254,20577629,64,,left,saccade,12.0,,,,419.788,652.5790000000002,850.112,779.6460000000003,,,
255,20577629,64,,right,saccade,13.0,64.0,,,421.202,655.0409999999998,917.784,765.096,,,
256,20577781,124,4.03075,left,fixation,12.0,,891.1861875,783.02346875,,,,,1.0,6.910655542550045,25.686551500736677
257,20577797,100,4.126,right,fixation,12.0,65.0,878.9360384615379,774.343153846154,,,,,1.0,6.351797164757572,14.788393962834432
258,20577901,24,,right,saccade,14.0,65.0,,,868.3660000000001,798.1419999999997,988.018,796.436,,,
259,20577909,20,,left,saccade,13.0,,,,908.51,792.043,992.85,796.971,,,
260,20577929,220,3.9909,right,fixation,13.0,66.0,973.825803571429,793.314821428571,,,,,0.0,,
261,20577933,216,3.9920092592592598,left,fixation,13.0,,992.089709090909,801.387690909091,,,,,0.0,,
262,20578153,24,,left,saccade,14.0,,,,986.007,807.948,773.8989999999999,805.8910000000003,,,
263,20578153,24,,right,saccade,15.0,66.0,,,974.9010000000001,787.64,771.955,795.4839999999997,,,
264,20578181,1216,4.047728618421053,left,fixation,14.0,,767.318370491802,813.251986885246,,,,,1.0,5.567553754168499,20.750358864366692
265,20578181,1216,4.047728618421053,right,fixation,14.0,67.0,743.354891803279,793.133527868852,,,,,1.0,6.862289774152943,21.49649555160089
266,20579401,36,,left,saccade,15.0,,,,753.8430000000003,814.3480000000003,481.29699999999997,663.459,,,
