,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
316,2043225,48,,left,saccade,1.0,,,,960.672,42.695,557.896,542.1,,,
317,2043225,56,,right,saccade,1.0,78.0,,,989.232,85.081,573.427,548.03,,,
318,2043277,180,3.6451777777777776,left,fixation,1.0,,549.6812826086959,572.7843260869561,,,,,0.0,,
319,2043285,561,3.6613014184397166,right,fixation,1.0,79.0,492.359113475177,579.718113475177,,,,,3.0,7.887891287931879,25.548272547716174
320,2043461,20,,left,saccade,2.0,,,,558.2330000000002,583.952,481.65,598.207,,,
321,2043485,361,3.6711703296703297,left,fixation,2.0,,441.977406593406,600.2372857142859,,,,,1.0,8.081089671435278,30.61498410909275
322,2043850,24,,right,saccade,2.0,79.0,,,438.3,596.1990000000002,579.659,592.73,,,
323,2043850,28,,left,saccade,3.0,,,,421.556,608.742,582.073,615.185,,,
324,2043878,320,3.6902875,right,fixation,2.0,80.0,619.445098765432,599.841172839506,,,,,1.0,4.9820632523082615,9.25676973895324
325,2043882,316,3.6901265822784817,left,fixation,3.0,,610.004875,619.560575,,,,,1.0,5.804226568247985,17.566377458087445
326,2044202,20,,left,saccade,4.0,,,,623.737,597.602,519.455,599.901,,,
327,2044202,20,,right,saccade,3.0,80.0,,,641.15,605.117,556.43,606.986,,,
328,2044226,132,3.664151515151516,right,fixation,3.0,81.0,530.611088235294,612.498382352941,,,,,0.0,,
329,2044226,136,3.6632647058823533,left,fixation,4.0,,524.864914285714,617.255971428571,,,,,0.0,,
334,2044769,28,,left,saccade,5.0,,,,462.962,761.362,409.74699999999996,653.231,,,
336,2044793,712,3.636756578947368,right,fixation,4.0,83.0,414.465396648045,615.453134078212,,,,,1.0,4.475136894243814,10.17858580550364
337,2044801,696,3.6367933333333333,left,fixation,5.0,,415.98718285714205,609.378622857143,,,,,2.0,6.021027708340388,21.15970421828105
338,2045501,68,,left,saccade,6.0,,,,417.731,611.8240000000002,380.629,530.7180000000002,,,
339,2045509,40,,right,saccade,4.0,83.0,,,397.69199999999995,610.999,391.093,591.008,,,
341,2045669,68,,left,fixation,6.0,,433.862277777778,568.613222222222,,,,,1.0,8.943457835510578,59.95144179250406
450,2059581,52,,left,saccade,7.0,,,,1408.751,431.656,558.56,585.181,,,
451,2059581,52,,right,saccade,5.0,112.0,,,1395.656,425.095,587.974,566.857,,,
452,2059637,200,3.65518,left,fixation,7.0,,561.129392156863,589.698274509804,,,,,0.0,,
453,2059637,200,3.65518,right,fixation,5.0,113.0,559.737392156863,574.509901960784,,,,,0.0,,
454,2059841,20,,left,saccade,8.0,,,,563.413,596.2869999999998,454.29699999999997,603.854,,,
455,2059841,20,,right,saccade,6.0,113.0,,,556.9490000000002,599.818,467.74199999999996,603.062,,,
456,2059865,480,3.6426,left,fixation,8.0,,434.91452892562006,618.154685950413,,,,,1.0,5.387121948581545,19.03215237433748
457,2059865,480,3.6426,right,fixation,6.0,114.0,428.85553719008203,605.657966942149,,,,,4.0,5.309621277593936,12.886066353436554
458,2060349,19,,left,saccade,9.0,,,,429.034,628.881,543.903,631.419,,,
459,2060349,23,,right,saccade,7.0,114.0,,,417.841,623.408,569.4069999999998,599.98,,,
460,2060372,469,3.63525,left,fixation,9.0,,542.299347457627,616.830305084746,,,,,1.0,6.775482639635332,17.19039758120791
461,2060376,201,3.6390294117647057,right,fixation,7.0,115.0,577.2540784313729,603.684215686274,,,,,0.0,,
462,2060581,12,,right,saccade,8.0,115.0,,,576.1080000000002,608.256,538.993,620.91,,,
463,2060597,240,3.6312583333333337,right,fixation,8.0,116.0,525.122196721312,617.701901639344,,,,,1.0,6.078511671362412,12.29613378261647
464,2060841,20,,right,saccade,9.0,116.0,,,514.663,606.309,609.994,609.842,,,
465,2060845,20,,left,saccade,10.0,,,,522.0980000000002,617.555,608.648,616.756,,,
466,2060865,259,3.653515625,right,fixation,9.0,117.0,633.17853030303,596.484954545455,,,,,1.0,6.6335113250826625,17.72221301079513
467,2060869,255,3.653563492063492,left,fixation,10.0,,638.779353846154,612.875215384616,,,,,0.0,,
468,2061128,20,,left,saccade,11.0,,,,649.148,605.382,739.263,613.567,,,
469,2061128,20,,right,saccade,10.0,117.0,,,638.379,597.495,739.23,610.877,,,
470,2061152,236,3.687550847457628,left,fixation,11.0,,754.194033333334,615.852816666667,,,,,0.0,,
471,2061152,928,3.7208879310344822,right,fixation,10.0,118.0,816.91778111588,621.113403433476,,,,,2.0,9.983442748548613,30.280990060688595
472,2061392,16,,left,saccade,12.0,,,,758.398,620.4540000000002,841.711,627.914,,,
473,2061412,672,3.733252976190476,left,fixation,12.0,,852.698201183432,627.482952662721,,,,,0.0,,
474,2062084,20,,right,saccade,11.0,118.0,,,846.0319999999997,605.681,745.4110000000003,626.161,,,
475,2062088,20,,left,saccade,13.0,,,,840.0,625.616,736.046,624.94,,,
476,2062108,420,3.716600000000001,right,fixation,11.0,119.0,728.183150943396,635.237924528302,,,,,2.0,4.825153338946693,13.233078842789176
477,2062112,412,3.716466019417476,left,fixation,13.0,,730.564211538461,620.0688365384617,,,,,1.0,3.7229158972205787,8.139558833253853
478,2062528,20,,left,saccade,14.0,,,,744.2639999999999,622.258,648.4780000000002,620.977,,,
