,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
202,3111289,60,,left,saccade,1.0,,,,1433.4460000000001,514.9590000000002,466.77099999999996,753.789,,,
203,3111289,64,,right,saccade,1.0,49.0,,,1417.516,529.863,464.425,744.172,,,
204,3111353,168,3.8009166666666663,left,fixation,1.0,,463.90779069767405,780.415255813954,,,,,1.0,8.195051496346915,12.813449964783109
205,3111357,168,3.800523809523809,right,fixation,1.0,50.0,462.6048372093029,761.780837209302,,,,,0.0,,
206,3111525,20,,left,saccade,2.0,,,,459.50699999999995,774.2539999999997,407.691,720.762,,,
207,3111529,16,,right,saccade,2.0,50.0,,,455.505,760.9860000000001,403.98900000000003,716.085,,,
208,3111549,520,3.7406522026523854,left,fixation,2.0,,383.73458778626,697.612534351145,,,,,1.0,4.606005319145852,13.010423705629348
209,3111549,520,3.7406522026523854,right,fixation,2.0,51.0,383.324198473283,703.0993816793901,,,,,2.0,4.851083562841897,23.966731867799172
210,3112073,60,,left,saccade,3.0,,,,372.365,700.046,355.409,779.14,,,
211,3112073,40,,right,saccade,3.0,51.0,,,354.115,688.94,350.595,909.102,,,
213,3112229,40,,right,saccade,4.0,52.0,,,359.444,909.102,414.116,722.831,,,
214,3112249,12,,left,fixation,3.0,,344.1035,775.2325,,,,,0.0,,
215,3112265,4,,left,saccade,4.0,,,,339.916,770.7819999999997,338.584,735.988,,,
216,3112273,1392,3.8449896899327087,left,fixation,4.0,,383.603624641834,696.185363896848,,,,,4.0,7.795027009411017,27.7260823672292
217,3112273,1392,3.8449896899327087,right,fixation,3.0,53.0,383.26887965616,689.632659025787,,,,,1.0,11.683737516784193,33.94487828818939
218,3113669,20,,left,saccade,5.0,,,,394.093,699.812,439.35,780.164,,,
219,3113669,20,,right,saccade,5.0,53.0,,,375.348,690.547,436.83,781.7230000000003,,,
220,3113693,244,3.8579016393442624,left,fixation,5.0,,467.6315806451609,813.3590806451607,,,,,2.0,6.548863073801433,17.17210180007009
221,3113693,244,3.8579016393442624,right,fixation,4.0,54.0,464.5405806451609,793.889580645161,,,,,0.0,,
222,3113941,36,,left,saccade,6.0,,,,471.324,813.673,758.931,801.16,,,
223,3113941,36,,right,saccade,6.0,54.0,,,461.74199999999996,800.039,749.9939999999997,792.5139999999999,,,
224,3113981,775,3.9848264248704655,left,fixation,6.0,,731.2945641025633,807.041282051282,,,,,4.0,5.210431169474081,16.790219000847813
225,3113981,775,3.9848264248704655,right,fixation,5.0,55.0,728.6639589743588,789.9756769230769,,,,,2.0,5.351740777490232,16.610652371862937
226,3114760,32,,left,saccade,7.0,,,,716.565,801.5010000000003,413.959,713.3480000000003,,,
227,3114760,36,,right,saccade,7.0,55.0,,,724.135,801.1239999999997,432.50300000000004,712.868,,,
228,3114796,1376,3.9561642441860463,left,fixation,7.0,,391.801869565217,681.614820289855,,,,,0.0,,
229,3114800,1372,3.9560072886297375,right,fixation,6.0,56.0,382.218284883721,700.2646424418599,,,,,3.0,3.916373170235346,10.787323279091646
230,3116176,20,,left,saccade,8.0,,,,403.914,682.512,439.24300000000005,775.921,,,
231,3116176,20,,right,saccade,8.0,56.0,,,385.376,705.2689999999999,436.606,780.508,,,
232,3116200,480,3.8319041666666656,right,fixation,7.0,57.0,475.1670165289251,805.264834710743,,,,,1.0,4.192653097979844,6.927468873982767
233,3116200,484,3.8317685950413214,left,fixation,8.0,,468.989327868853,802.761860655738,,,,,1.0,4.896310459020259,11.199725443063333
