,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
120,2582959,148,2.6976065051020406,right,fixation,1.0,32.0,417.72323684210505,703.6286315789481,,,,,0.0,,
128,2583791,40,,left,saccade,1.0,,,,1428.961,545.939,366.30400000000003,760.709,,,
129,2583803,40,,right,saccade,1.0,33.0,,,1401.921,558.482,354.04699999999997,744.1519999999997,,,
130,2583959,120,2.638,right,fixation,2.0,34.0,391.04196774193497,783.58535483871,,,,,1.0,23.253367972307924,79.33815319882369
131,2583995,84,2.638,left,fixation,1.0,,375.71972727272697,759.963772727273,,,,,1.0,11.092515395777236,21.777486930313987
132,2584083,16,,left,saccade,2.0,,,,389.152,773.495,386.86800000000005,711.535,,,
133,2584083,16,,right,saccade,2.0,34.0,,,403.941,788.2080000000003,407.996,733.78,,,
134,2584103,1668,2.7591474820143884,left,fixation,2.0,,394.762007177033,693.1494688995219,,,,,3.0,4.917070474088676,19.38256195618771
135,2584103,1668,2.7591474820143884,right,fixation,3.0,35.0,418.453588516747,705.5711291866029,,,,,2.0,3.8932794338331416,10.291295942647825
136,2585775,44,,left,saccade,3.0,,,,379.98800000000006,669.546,-63.101000000000006,844.437,,,
137,2585775,44,,right,saccade,3.0,35.0,,,416.311,702.676,-35.711999999999996,810.5110000000003,,,
144,2586151,3804,2.7663720696965,right,fixation,4.0,37.0,408.43992962184797,714.3324369747902,,,,,8.0,5.427812832129934,18.99422917277454
146,2586231,16,,left,saccade,4.0,,,,352.13,651.014,367.69599999999997,681.555,,,
147,2586251,3700,2.766387148033126,left,fixation,3.0,,404.137798056155,711.799934125271,,,,,5.0,4.473312009166703,16.53002265090118
148,2589955,20,,left,saccade,5.0,,,,398.066,735.7130000000003,451.724,795.648,,,
149,2589959,24,,right,saccade,4.0,37.0,,,410.845,751.602,468.539,816.541,,,
150,2589979,2492,2.7353738091781965,left,fixation,4.0,,476.05219070512703,850.970766025642,,,,,2.0,5.305046656138813,16.044662843142067
151,2589987,2492,2.7352768278488204,right,fixation,5.0,38.0,485.6916410256411,853.253137820513,,,,,6.0,5.501942065091451,17.82476058272074
152,2592475,56,,left,saccade,6.0,,,,463.61699999999996,864.915,704.075,727.7280000000003,,,
153,2592483,56,,right,saccade,5.0,38.0,,,462.76800000000003,864.857,714.191,781.5419999999997,,,
154,2592643,751,2.6786210191082804,right,fixation,6.0,39.0,721.862523809524,812.45762962963,,,,,2.0,5.068453046137316,11.824343365441203
155,2592659,4,,left,fixation,5.0,,704.075,727.7280000000003,,,,,0.0,,
156,2592667,20,,left,saccade,7.0,,,,710.8939999999999,727.7280000000003,722.305,798.145,,,
157,2592690,704,2.6786210191082804,left,fixation,6.0,,731.3298305084752,826.461638418079,,,,,0.0,,
158,2593398,40,,left,saccade,8.0,,,,733.35,857.048,942.929,855.815,,,
159,2593398,40,,right,saccade,6.0,39.0,,,716.332,817.253,948.143,811.275,,,
160,2593442,832,2.660163461538461,left,fixation,7.0,,963.7032296650708,825.5732583732048,,,,,0.0,,
161,2593442,832,2.660163461538461,right,fixation,7.0,40.0,970.3523875598088,819.96166507177,,,,,1.0,6.998345504871493,22.61926658846387
162,2594278,24,,left,saccade,9.0,,,,980.576,815.1139999999997,1121.218,819.637,,,
163,2594278,24,,right,saccade,7.0,40.0,,,985.9780000000001,841.173,1135.178,834.738,,,
164,2594306,1437,2.6715763888888886,right,fixation,8.0,41.0,1192.8920861111098,814.447711111111,,,,,1.0,10.259122295682893,41.24614001333953
165,2594306,1441,2.6715498614958446,left,fixation,8.0,,1191.1099750692501,843.230983379501,,,,,2.0,4.96558990564848,25.50890562434936
166,2595747,32,,right,saccade,8.0,41.0,,,1188.624,818.5360000000003,1389.524,827.2260000000001,,,
167,2595751,28,,left,saccade,10.0,,,,1202.569,850.32,1374.8310000000001,856.862,,,
168,2595782,1956,2.708481595092025,left,fixation,9.0,,1419.8285081632598,841.414775510204,,,,,1.0,3.679334397837628,9.275475459511238
169,2595782,1956,2.708481595092025,right,fixation,9.0,42.0,1419.90365714286,832.384055102041,,,,,6.0,4.5122216883151145,11.288466382501733
170,2597742,72,,left,saccade,11.0,,,,1424.829,864.671,500.50199999999995,880.405,,,
171,2597742,72,,right,saccade,9.0,42.0,,,1406.207,853.1189999999997,521.399,898.302,,,
173,2597818,1176,2.7570991525423727,left,fixation,10.0,,479.724545762712,825.004345762712,,,,,0.0,,
174,2597978,16,,right,saccade,10.0,43.0,,,517.825,895.9830000000003,508.23,847.263,,,
175,2597998,996,2.761971,right,fixation,10.0,44.0,490.458928,791.356892,,,,,0.0,,
