,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
338,7270790,20,,right,saccade,1.0,84.0,,,460.29400000000004,320.758,440.934,396.019,,,
339,7270794,16,,left,saccade,1.0,,,,426.35699999999997,351.084,421.80699999999996,409.904,,,
340,7270814,900,3.257553333333333,left,fixation,1.0,,421.14558407079596,452.214097345133,,,,,0.0,,
341,7270814,900,3.257553333333333,right,fixation,1.0,85.0,449.7055044247789,439.848907079646,,,,,4.0,5.0023364843587945,21.612575803873693
342,7271718,20,,left,saccade,2.0,,,,419.218,467.32099999999997,527.409,465.256,,,
343,7271718,20,,right,saccade,2.0,85.0,,,477.23800000000006,474.295,553.762,469.591,,,
344,7271742,284,3.2926056338028173,left,fixation,2.0,,542.086180555555,482.01006944444504,,,,,0.0,,
345,7271742,284,3.2926056338028173,right,fixation,2.0,86.0,562.773875,475.020277777778,,,,,0.0,,
346,7272030,20,,left,saccade,3.0,,,,544.355,492.985,647.822,490.38699999999994,,,
347,7272030,20,,right,saccade,3.0,86.0,,,564.913,486.55699999999996,680.778,485.10900000000004,,,
348,7272054,396,3.2702020202020203,left,fixation,3.0,,648.57231,471.83362,,,,,1.0,3.8816525296722353,7.237565612828531
349,7272054,396,3.2702020202020203,right,fixation,3.0,87.0,683.24793,475.22625999999997,,,,,1.0,3.440298166180096,10.862236694161988
350,7272454,16,,right,saccade,4.0,87.0,,,683.8860000000002,473.333,751.325,469.806,,,
351,7272454,20,,left,saccade,4.0,,,,641.94,462.51199999999994,720.33,451.333,,,
352,7272474,236,3.2242711864406783,right,fixation,4.0,88.0,776.1679333333328,477.745766666667,,,,,0.0,,
353,7272478,232,3.2233534482758635,left,fixation,4.0,,739.024372881356,469.826305084746,,,,,1.0,5.650801423003847,14.177768689042681
354,7272714,24,,left,saccade,5.0,,,,730.924,482.793,596.072,484.00800000000004,,,
