,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
119,1233121,76,,left,saccade,1.0,,,,1454.236,312.927,444.973,373.477,,,
120,1233269,104,,left,fixation,1.0,,481.882925925926,370.850037037037,,,,,0.0,,
122,1233369,20,,right,saccade,1.0,30.0,,,469.76800000000003,353.96,394.374,384.087,,,
123,1233377,16,,left,saccade,2.0,,,,469.01099999999997,368.44300000000004,435.16,417.38199999999995,,,
124,1233393,528,3.648044059011165,right,fixation,1.0,31.0,396.994578947368,421.86857894736886,,,,,2.0,3.6926421656073485,9.891746137330149
125,1233397,524,3.648290076335878,left,fixation,2.0,,408.89574242424203,420.590962121212,,,,,0.0,,
126,1233925,24,,left,saccade,3.0,,,,401.645,410.819,464.494,498.389,,,
127,1233925,24,,right,saccade,2.0,31.0,,,397.536,449.131,473.38800000000003,552.92,,,
128,1233953,260,3.6475964265456606,right,fixation,2.0,32.0,472.211045454545,564.749409090909,,,,,2.0,3.3148998555333744,9.478008297401953
129,1233953,268,3.6475964265456606,left,fixation,3.0,,483.690573529412,529.559764705882,,,,,0.0,,
130,1234217,56,,right,saccade,3.0,32.0,,,477.045,579.774,392.149,407.62300000000016,,,
131,1234225,44,,left,saccade,4.0,,,,474.54,541.884,359.751,425.148,,,
132,1234353,1288,3.6725526663993593,left,fixation,4.0,,400.59659752322,415.32526315789397,,,,,4.0,5.809938742929617,18.584616837790218
133,1234377,1260,3.6725684195702897,right,fixation,3.0,33.0,381.44143354430395,442.588151898734,,,,,11.0,4.522557586867709,16.156655465145146
134,1235641,24,,right,saccade,4.0,33.0,,,401.777,463.25,467.85699999999997,555.5269999999998,,,
135,1235645,24,,left,saccade,5.0,,,,423.966,429.33,475.695,530.85,,,
136,1235669,292,3.6837604166666655,right,fixation,4.0,34.0,470.409310810811,569.813135135135,,,,,4.0,3.2212820581963726,9.827636432454288
137,1235673,292,3.683904255319149,left,fixation,5.0,,484.73778378378404,535.858310810811,,,,,0.0,,
138,1235965,44,,right,saccade,5.0,34.0,,,470.15,548.3240000000002,708.45,514.0880000000002,,,
139,1235969,68,,left,saccade,6.0,,,,468.499,537.563,630.738,507.082,,,
140,1236117,324,3.6921062635911768,left,fixation,6.0,,687.413975609756,547.755573170732,,,,,2.0,4.934486560359086,16.733153534947807
141,1236133,312,3.6921132323771735,right,fixation,5.0,35.0,706.033278481013,552.226632911392,,,,,2.0,3.4198060743025467,10.581604246756497
142,1236445,36,,left,saccade,7.0,,,,718.675,566.525,443.454,455.668,,,
143,1236449,40,,right,saccade,6.0,35.0,,,717.448,569.514,417.897,459.94300000000004,,,
144,1236485,672,3.616053571428572,left,fixation,7.0,,409.970680473373,414.8525147929,,,,,0.0,,
145,1236493,660,3.6151515151515152,right,fixation,6.0,36.0,393.054475903614,437.167740963856,,,,,5.0,3.6842200449666183,14.94225159782905
146,1237157,28,,right,saccade,7.0,36.0,,,381.191,438.176,576.965,525.14,,,
147,1237161,28,,left,saccade,8.0,,,,412.874,430.59,559.499,487.329,,,
148,1237189,108,3.6653333333333333,right,fixation,7.0,37.0,571.878071428572,541.3764642857141,,,,,0.0,,
149,1237193,112,3.667482142857143,left,fixation,8.0,,561.2007931034481,497.28210344827596,,,,,0.0,,
150,1237301,20,,right,saccade,8.0,37.0,,,572.815,542.874,489.37,565.366,,,
151,1237309,12,,left,saccade,9.0,,,,545.535,508.57800000000003,508.05199999999996,532.056,,,
152,1237325,388,3.679368674336416,right,fixation,8.0,38.0,487.47871428571403,578.140959183674,,,,,4.0,3.581024574744715,16.053543676724573
153,1237325,396,3.679368674336416,left,fixation,9.0,,492.13005999999996,545.49509,,,,,1.0,4.367718022288305,12.816496323098551
154,1237717,52,,right,saccade,9.0,38.0,,,490.969,577.2180000000002,533.7669999999998,538.868,,,
155,1237725,64,,left,saccade,10.0,,,,481.436,555.328,451.185,496.80400000000003,,,
156,1237857,28,,left,fixation,10.0,,476.94,503.669625,,,,,1.0,9.249707052418222,12.878223247016598
157,1237881,4,,right,fixation,9.0,39.0,539.6075,539.444,,,,,0.0,,
158,1237889,28,,right,saccade,10.0,39.0,,,546.13,539.444,749.8660000000001,541.534,,,
159,1237889,32,,left,saccade,11.0,,,,493.55,519.26,712.23,537.119,,,
160,1237921,204,3.6620437275985664,right,fixation,10.0,40.0,740.5664230769231,552.770519230769,,,,,1.0,2.1894795170440857,6.367624125213531
161,1237925,200,3.662043727598565,left,fixation,11.0,,729.626352941176,550.534431372549,,,,,0.0,,
162,1238129,36,,left,saccade,12.0,,,,732.829,558.164,415.824,456.13300000000004,,,
163,1238129,40,,right,saccade,11.0,40.0,,,734.945,551.849,409.57599999999996,478.411,,,
164,1238169,432,3.6633379629629625,left,fixation,12.0,,388.92266972477097,416.01794495412804,,,,,1.0,5.067330496534739,11.736672185930644
165,1238173,428,3.6631355140186916,right,fixation,11.0,41.0,389.115111111111,443.3133240740741,,,,,1.0,5.289310378279726,17.732190220048906
166,1238605,36,,right,saccade,12.0,41.0,,,401.144,447.834,693.289,527.646,,,
167,1238605,40,,left,saccade,13.0,,,,392.725,422.215,659.482,497.475,,,
168,1238645,1196,3.5595334448160534,right,fixation,12.0,42.0,720.06038,563.2336433333339,,,,,8.0,5.379984625917427,19.06531501320385
169,1238649,1196,3.5594565217391314,left,fixation,13.0,,708.996843333333,536.746756666667,,,,,3.0,7.767501934607449,26.415156714071077
170,1239845,28,,right,saccade,13.0,42.0,,,728.653,534.819,1022.3439999999999,571.303,,,
171,1239849,28,,left,saccade,14.0,,,,714.243,524.7230000000002,981.283,543.418,,,
172,1239877,328,3.604598939554613,right,fixation,13.0,43.0,985.372795180722,586.49656626506,,,,,1.0,7.843063208976482,49.337429898607425
173,1239881,332,3.604521044679473,left,fixation,14.0,,959.4815,553.859809523809,,,,,1.0,8.067685336851229,40.84257965653002
174,1240209,40,,right,saccade,14.0,43.0,,,952.831,581.1990000000002,1203.0430000000001,575.638,,,
175,1240217,44,,left,saccade,15.0,,,,930.6239999999999,561.803,1140.65,511.13800000000003,,,
176,1240337,332,3.527167938067765,left,fixation,15.0,,1172.65896428571,538.10269047619,,,,,4.0,5.4714121187303135,16.787138301979205
177,1240345,320,3.526778079818976,right,fixation,14.0,44.0,1182.3151728395098,579.413592592592,,,,,3.0,3.5725792026118355,14.087451846059134
178,1240669,28,,right,saccade,15.0,44.0,,,1200.23,571.4,1409.675,569.331,,,
179,1240673,28,,left,saccade,16.0,,,,1191.6680000000001,563.886,1406.444,552.7769999999998,,,
180,1240701,380,3.4907473684210526,right,fixation,15.0,45.0,1416.8287604166699,552.763447916667,,,,,1.0,3.159571142664098,7.862656675704589
181,1240705,376,3.4902978723404248,left,fixation,16.0,,1425.10773684211,531.10412631579,,,,,0.0,,
182,1241085,52,,left,saccade,17.0,,,,1428.606,519.465,754.1080000000003,481.38699999999994,,,
183,1241085,52,,right,saccade,16.0,45.0,,,1412.193,549.705,773.375,507.19599999999997,,,
184,1241141,1300,3.5257669230769224,left,fixation,17.0,,729.2969294478529,504.7001226993869,,,,,3.0,100.6748924281534,303.4383109086429
185,1241141,1304,3.5258013803680983,right,fixation,16.0,46.0,730.5389724770648,537.978972477064,,,,,10.0,33.64017044666697,106.66443457950622
186,1242445,16,,left,saccade,18.0,,,,729.677,539.948,728.677,476.101,,,
187,1242449,8,,right,saccade,17.0,46.0,,,731.4739999999997,569.339,731.4739999999997,542.235,,,
188,1242461,364,3.5598736263736273,right,fixation,17.0,47.0,718.020195652174,516.318739130435,,,,,1.0,4.039435415032896,19.82778303290613
189,1242465,360,3.5602055555555565,left,fixation,18.0,,720.2474065934067,471.024538461538,,,,,0.0,,
190,1242829,36,,left,saccade,19.0,,,,727.33,496.656,412.80400000000003,425.29699999999997,,,
191,1242829,40,,right,saccade,18.0,47.0,,,725.943,521.429,393.606,435.43300000000005,,,
192,1242869,239,3.5785074626865665,left,fixation,19.0,,374.768737704918,390.662967213115,,,,,1.0,3.7196655502283593,11.264616549177394
