,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
130,3025133,52,,left,saccade,1.0,,,,1462.495,487.716,441.723,618.153,,,
131,3025133,52,,right,saccade,1.0,33.0,,,1447.5539999999999,506.50699999999995,433.486,653.75,,,
132,3025189,156,3.833051282051282,left,fixation,1.0,,424.7153,635.046525,,,,,0.0,,
133,3025189,600,3.811146666666666,right,fixation,1.0,34.0,473.745543046358,632.866569536424,,,,,3.0,10.68501157099909,36.84935167314987
134,3025349,8,,left,saccade,2.0,,,,417.398,616.702,445.329,600.5169999999998,,,
135,3025361,208,3.809442307692308,left,fixation,2.0,,468.508849056604,609.098150943396,,,,,1.0,2.572934554593684,6.259539919195403
136,3025573,4,,left,saccade,3.0,,,,493.06199999999995,604.217,501.449,602.188,,,
137,3025581,208,3.7960576923076923,left,fixation,3.0,,517.438132075472,591.3206037735849,,,,,0.0,,
138,3025793,24,,left,saccade,4.0,,,,521.552,599.031,498.074,725.903,,,
139,3025793,24,,right,saccade,2.0,34.0,,,525.952,613.668,517.489,743.655,,,
140,3025821,96,3.774270833333333,right,fixation,2.0,35.0,493.65624,738.725,,,,,0.0,,
141,3025821,100,3.77494,left,fixation,4.0,,485.43034615384596,727.261730769231,,,,,0.0,,
142,3025921,36,,right,saccade,3.0,35.0,,,477.181,733.5239999999999,942.664,727.7760000000003,,,
143,3025925,32,,left,saccade,5.0,,,,486.70099999999996,724.936,925.888,709.6310000000003,,,
144,3025961,224,3.8784642857142857,left,fixation,5.0,,948.5299122807021,709.69501754386,,,,,1.0,3.3311420505753246,13.756913207547612
145,3025961,224,3.8784642857142857,right,fixation,3.0,36.0,955.80201754386,717.719649122807,,,,,0.0,,
146,3026189,32,,left,saccade,6.0,,,,973.717,716.7869999999997,1150.925,711.5039999999997,,,
147,3026189,32,,right,saccade,4.0,36.0,,,977.217,733.995,1173.085,728.3889999999999,,,
148,3026225,64,3.868766666666668,left,fixation,6.0,,1164.26005882353,716.221176470588,,,,,1.0,3.604712521285337,11.05491135197381
149,3026225,64,3.868766666666668,right,fixation,4.0,37.0,1177.19911764706,730.1514117647058,,,,,0.0,,
150,3026293,24,,right,saccade,5.0,37.0,,,1184.246,727.118,1414.932,715.7239999999997,,,
151,3026293,28,,left,saccade,7.0,,,,1172.406,720.204,1408.9920000000006,712.564,,,
152,3026321,272,3.843941176470589,right,fixation,5.0,38.0,1425.48023188406,721.778188405798,,,,,0.0,,
153,3026325,268,3.843805970149253,left,fixation,7.0,,1418.25452941176,718.8765882352942,,,,,0.0,,
154,3026597,52,,left,saccade,8.0,,,,1425.878,713.091,599.476,619.123,,,
155,3026597,52,,right,saccade,6.0,38.0,,,1417.872,733.5830000000003,595.996,636.011,,,
156,3026653,120,3.8687166666666655,right,fixation,6.0,39.0,590.087129032258,622.977322580645,,,,,1.0,6.070845824741196,8.649216900968566
157,3026653,384,3.841677083333334,left,fixation,8.0,,543.22818556701,602.659855670103,,,,,2.0,7.779811474452346,38.05720639152294
158,3026777,16,,right,saccade,7.0,39.0,,,598.035,622.63,523.86,617.09,,,
159,3026797,240,3.8256666666666654,right,fixation,7.0,40.0,525.337918032787,624.129655737705,,,,,0.0,,
160,3027041,36,,left,saccade,9.0,,,,512.6659999999998,600.6709999999998,958.796,688.0210000000003,,,
161,3027041,36,,right,saccade,8.0,40.0,,,529.476,632.3580000000002,979.176,717.0980000000003,,,
162,3027081,272,3.87095652173913,right,fixation,8.0,41.0,990.616275362319,730.180072463768,,,,,0.0,,
163,3027081,276,3.8710500000000008,left,fixation,9.0,,976.822171428571,712.405714285714,,,,,2.0,2.795487634250276,6.935444102322714
164,3027357,36,,right,saccade,9.0,41.0,,,999.503,734.058,1404.41,717.1160000000001,,,
165,3027361,32,,left,saccade,10.0,,,,983.0980000000001,714.505,1411.171,688.48,,,
166,3027397,1296,3.8147876923076933,left,fixation,10.0,,1448.3912092307694,677.681283076923,,,,,3.0,4.196177534873142,17.305144967801454
167,3027397,1296,3.8147876923076933,right,fixation,9.0,42.0,1446.08155384615,685.610015384615,,,,,1.0,5.011701646036848,11.83515851182398
