,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
54,2595032,132,4.0421969696969695,right,fixation,1.0,14.0,475.0024705882351,413.18923529411796,,,,,0.0,,
61,2595472,48,,right,saccade,1.0,15.0,,,1216.556,259.275,458.43699999999995,382.474,,,
62,2595524,576,4.001131944444444,right,fixation,2.0,16.0,423.180855172414,413.308117241379,,,,,2.0,9.537853112051323,33.965374419536666
63,2595524,1472,3.932710597826087,left,fixation,1.0,,443.96355013550203,362.634756097561,,,,,7.0,8.04315362344287,27.213770001876405
64,2596104,20,,right,saccade,2.0,16.0,,,388.89300000000003,397.621,461.86199999999997,416.15,,,
65,2596128,864,3.8855879629629633,right,fixation,3.0,17.0,510.20060829493104,446.94877419354896,,,,,3.0,5.2990949567657895,19.94453126186647
66,2596996,24,,right,saccade,3.0,17.0,,,544.04,407.24699999999996,511.75300000000004,502.861,,,
67,2597000,24,,left,saccade,1.0,,,,536.211,357.173,468.445,431.694,,,
68,2597024,164,3.995926829268292,right,fixation,4.0,18.0,494.816261904762,527.205904761905,,,,,0.0,,
69,2597028,164,3.996182926829268,left,fixation,2.0,,471.862071428571,452.85076190476195,,,,,0.0,,
70,2597192,28,,right,saccade,4.0,18.0,,,487.39099999999996,532.852,707.566,535.2130000000002,,,
71,2597196,24,,left,saccade,2.0,,,,485.764,480.33,664.788,484.934,,,
72,2597224,256,4.092835937499999,left,fixation,3.0,,669.420984615384,465.138492307693,,,,,0.0,,
73,2597224,256,4.092835937499999,right,fixation,5.0,19.0,696.170938461538,535.764061538462,,,,,0.0,,
74,2597484,24,,right,saccade,5.0,19.0,,,687.058,524.1419999999998,943.4110000000001,519.919,,,
75,2597484,28,,left,saccade,3.0,,,,677.2280000000002,460.648,902.309,477.61,,,
76,2597512,404,4.10540099009901,right,fixation,6.0,20.0,966.2246372549021,521.151990196079,,,,,0.0,,
77,2597516,400,4.1051199999999985,left,fixation,4.0,,919.289128712872,492.2726336633661,,,,,1.0,5.450417692964266,14.921240062407751
78,2597920,32,,left,saccade,4.0,,,,927.705,517.982,1206.626,518.813,,,
79,2597920,36,,right,saccade,6.0,20.0,,,984.073,531.241,1301.993,488.94199999999995,,,
80,2597956,568,3.920588028169015,left,fixation,5.0,,1174.45203496504,515.657916083916,,,,,1.0,4.390728520922733,9.849371401262234
81,2597960,560,3.920232142857144,right,fixation,7.0,21.0,1255.14227659575,507.1466453900711,,,,,2.0,5.838989621176696,20.376287885678405
82,2598524,32,,right,saccade,7.0,21.0,,,1233.1019999999999,491.79699999999997,1503.497,469.31800000000004,,,
83,2598528,28,,left,saccade,5.0,,,,1145.43,522.698,1375.274,523.6469999999998,,,
84,2598560,268,3.8189029850746254,left,fixation,6.0,,1388.06082352941,520.171911764706,,,,,0.0,,
85,2598560,272,3.818573529411765,right,fixation,8.0,22.0,1479.57633333333,485.710391304348,,,,,1.0,3.9816311356025804,7.6689196110011055
86,2598832,52,,left,saccade,6.0,,,,1404.128,514.117,672.6160000000001,493.30800000000005,,,
87,2598836,56,,right,saccade,8.0,22.0,,,1479.433,491.717,706.2860000000003,545.844,,,
88,2598888,848,3.994518867924528,left,fixation,7.0,,679.042408450704,479.71080281690087,,,,,0.0,,
89,2598896,840,3.9955761904761897,right,fixation,9.0,23.0,713.93671563981,544.76744549763,,,,,0.0,,
90,2599740,31,,left,saccade,7.0,,,,674.738,475.219,417.405,368.025,,,
91,2599740,35,,right,saccade,9.0,23.0,,,715.63,551.071,461.023,439.334,,,
92,2599775,589,3.939608108108108,left,fixation,8.0,,449.456898648648,358.299047297298,,,,,1.0,10.14155571700471,39.64432251911997
93,2599779,585,3.939455782312925,right,fixation,10.0,24.0,479.80514965986396,416.11525170068,,,,,2.0,9.304131581191973,26.25631887061786
94,2600368,32,,right,saccade,10.0,24.0,,,506.871,438.82099999999997,726.275,525.365,,,
95,2600368,36,,left,saccade,8.0,,,,489.245,376.24,673.095,483.166,,,
96,2600404,999,4.01972,right,fixation,11.0,25.0,711.0656135458162,524.766211155379,,,,,0.0,,
97,2600408,995,4.019793172690764,left,fixation,9.0,,689.933708,465.43647999999996,,,,,0.0,,
