,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
70,2088111,24,,left,saccade,1.0,,,,658.176,169.79,495.472,275.536,,,
71,2088111,24,,right,saccade,1.0,18.0,,,676.824,144.036,502.286,278.959,,,
72,2088139,384,3.609645833333333,left,fixation,1.0,,480.200092783505,308.41981443299,,,,,5.0,3.7421435912754055,8.756308605293745
73,2088139,384,3.609645833333333,right,fixation,1.0,19.0,480.423030927835,308.64047422680403,,,,,2.0,5.597861939251187,16.602628312228273
74,2088527,16,,left,saccade,2.0,,,,479.499,312.181,565.8,310.65,,,
75,2088527,20,,right,saccade,2.0,19.0,,,487.51300000000003,316.64799999999997,585.962,306.601,,,
76,2088547,384,3.5786458333333333,left,fixation,2.0,,587.2877216494841,307.725865979381,,,,,4.0,5.926148666911509,15.926646617279436
77,2088551,376,3.57863829787234,right,fixation,2.0,20.0,595.131221052632,319.853494736842,,,,,2.0,2.6868220038292017,6.222388554873907
78,2088931,8,,right,saccade,3.0,20.0,,,624.479,339.223,646.774,326.574,,,
79,2088935,0,,left,saccade,3.0,,,,634.578,316.24,634.578,316.24,,,
80,2088939,283,3.512435714285714,left,fixation,3.0,,656.612388888889,316.279833333333,,,,,1.0,5.419003680464599,7.3495322980445525
81,2088943,279,3.5122971014492754,right,fixation,3.0,21.0,664.413422535211,308.637309859155,,,,,1.0,3.9579041626991422,8.310150419817989
82,2089226,21,,left,saccade,4.0,,,,657.316,311.83099999999996,740.635,300.839,,,
83,2089226,21,,right,saccade,4.0,21.0,,,659.323,287.983,768.5169999999997,284.757,,,
84,2089251,408,3.501818627450982,left,fixation,4.0,,760.376485436893,312.386961165049,,,,,0.0,,
85,2089251,408,3.501818627450982,right,fixation,4.0,22.0,778.573786407767,298.936213592233,,,,,0.0,,
86,2089663,16,,left,saccade,5.0,,,,764.975,316.33799999999997,827.373,307.092,,,
87,2089663,16,,right,saccade,5.0,22.0,,,783.6039999999997,308.8540000000001,845.845,296.764,,,
88,2089683,368,3.538923913043478,left,fixation,5.0,,848.0377419354843,301.17979569892503,,,,,4.0,3.775579766760786,15.893279632739143
89,2089683,368,3.538923913043478,right,fixation,5.0,23.0,862.376913978496,317.029806451613,,,,,3.0,8.487373654418358,27.569738400174245
90,2090055,32,,left,saccade,6.0,,,,852.8960000000003,322.6620000000001,524.516,320.71,,,
91,2090055,32,,right,saccade,6.0,23.0,,,852.52,354.79699999999997,538.947,325.052,,,
92,2090091,432,3.5904120370370367,right,fixation,6.0,24.0,530.300834862385,315.463513761468,,,,,5.0,6.682359192583923,20.943332216209846
93,2090091,556,3.5914136690647482,left,fixation,6.0,,515.2540428571431,313.494835714286,,,,,7.0,5.652571612233268,17.181338813125137
94,2090527,8,,right,saccade,7.0,24.0,,,557.137,340.529,522.749,336.213,,,
95,2090539,108,3.598018518518518,right,fixation,7.0,25.0,495.034714285714,330.835642857143,,,,,2.0,3.3544571002160635,7.668686690014878
96,2090651,48,,left,saccade,7.0,,,,490.73,343.82,1280.385,304.84,,,
97,2090651,48,,right,saccade,8.0,25.0,,,486.423,319.555,1301.75,326.808,,,
98,2090703,936,3.564220212765957,left,fixation,7.0,,1347.19882553191,274.205025531915,,,,,5.0,6.416578699980995,20.43418759561848
99,2090703,944,3.563986286919832,right,fixation,8.0,26.0,1363.64025316456,268.42923628692,,,,,2.0,9.748430651249162,46.87953387738779
