,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
63,2204117,56,,right,saccade,1.0,17.0,,,1435.895,471.001,542.529,585.822,,,
64,2204177,416,3.391620192307692,left,fixation,1.0,,532.181219047619,594.071819047619,,,,,6.0,2.9369795072063187,9.79333352517338
65,2204177,420,3.3916666666666666,right,fixation,1.0,18.0,522.009386792453,608.798358490566,,,,,2.0,4.057182249065072,12.837472745844574
66,2204597,20,,left,saccade,1.0,,,,541.192,619.639,462.458,618.931,,,
67,2204601,16,,right,saccade,2.0,18.0,,,520.808,628.476,458.96,622.123,,,
68,2204621,292,3.3855000000000004,left,fixation,2.0,,442.787162162162,612.27504054054,,,,,2.0,3.355323307987687,6.658517056108714
69,2204621,1312,3.4160579268292683,right,fixation,2.0,19.0,467.05021884498495,616.504975683891,,,,,6.0,7.068234168788874,23.348143017200414
70,2204917,16,,left,saccade,2.0,,,,449.026,613.899,503.13300000000004,617.457,,,
71,2204937,340,3.43653488372093,left,fixation,3.0,,515.4169767441861,623.683534883721,,,,,4.0,2.903593066039465,9.839280500325536
72,2205281,12,,left,saccade,3.0,,,,524.18,617.71,471.413,617.816,,,
73,2205297,1836,3.4778039215686274,left,fixation,4.0,,495.64252173912996,610.057069565217,,,,,19.0,3.6523026593920886,17.228718874407118
74,2205937,8,,right,saccade,3.0,19.0,,,478.88,609.544,506.101,614.2959999999998,,,
75,2205949,1884,3.533510615711253,right,fixation,3.0,20.0,502.12428177966103,618.809139830508,,,,,5.0,5.2597920847624575,17.75494347182623
76,2207137,16,,left,saccade,4.0,,,,526.893,626.057,463.348,632.58,,,
77,2207157,676,3.573958333333333,left,fixation,5.0,,457.443947058824,629.431788235295,,,,,6.0,3.4821364068078524,18.78841843362065
78,2207837,28,,left,saccade,5.0,,,,469.25,632.071,714.712,697.8839999999999,,,
79,2207837,36,,right,saccade,4.0,20.0,,,456.514,635.631,754.265,715.737,,,
80,2207869,180,3.5810666666666666,left,fixation,6.0,,739.2413043478259,725.234173913044,,,,,3.0,4.062910918689823,18.43682505412511
81,2207877,172,3.5812558139534887,right,fixation,4.0,21.0,759.4471590909088,729.804704545455,,,,,1.0,3.729190994334071,8.545528070283323
82,2208053,24,,left,saccade,6.0,,,,724.5319999999997,731.9,928.034,734.7289999999997,,,
83,2208053,24,,right,saccade,5.0,21.0,,,757.2180000000003,724.826,945.7180000000001,717.689,,,
84,2208081,224,3.6119285714285714,left,fixation,7.0,,949.208508771929,738.664543859649,,,,,4.0,4.899220489679453,15.11550465286675
85,2208081,224,3.6119285714285714,right,fixation,5.0,22.0,960.9721578947368,716.2814736842099,,,,,3.0,2.7267223745454365,5.607395903529775
86,2208309,20,,right,saccade,6.0,22.0,,,968.404,708.49,1191.3110000000001,710.7239999999997,,,
87,2208309,24,,left,saccade,7.0,,,,959.758,729.155,1188.035,727.039,,,
88,2208333,156,3.497858974358976,right,fixation,6.0,23.0,1208.651025,713.651525,,,,,3.0,2.467138911774899,8.725615603272365
89,2208337,152,3.4965131578947366,left,fixation,8.0,,1186.14956410256,731.1665641025639,,,,,3.0,2.977371304465513,13.15158802023826
90,2208493,24,,right,saccade,7.0,23.0,,,1202.702,711.8989999999999,1416.567,723.284,,,
91,2208493,28,,left,saccade,8.0,,,,1203.286,729.7310000000001,1394.33,724.998,,,
92,2208521,280,3.390028571428572,right,fixation,7.0,24.0,1418.33835211268,725.448661971831,,,,,2.0,2.328596398327248,11.761323225068065
93,2208525,272,3.3898897058823527,left,fixation,9.0,,1431.2957971014498,721.1505797101448,,,,,2.0,5.791687333413418,9.665804240939883
94,2208801,44,,left,saccade,9.0,,,,1435.366,705.337,793.155,704.6260000000003,,,
95,2208805,40,,right,saccade,8.0,24.0,,,1414.817,730.023,814.3380000000003,693.409,,,
96,2208849,132,3.35114705882353,right,fixation,8.0,25.0,781.3876176470593,691.142235294118,,,,,1.0,4.682721730527597,46.858095330476296
97,2208849,664,3.3416736526946114,left,fixation,10.0,,724.416,723.346413173653,,,,,5.0,5.320683119059347,18.958831236586317
98,2208985,8,,right,saccade,9.0,25.0,,,752.3389999999997,695.2339999999997,725.191,707.9069999999997,,,
99,2208997,516,3.3391627906976744,right,fixation,9.0,26.0,721.866315384616,719.626030769231,,,,,1.0,3.7476094194981537,6.484759517515048
100,2209517,20,,left,saccade,10.0,,,,696.959,723.937,503.17900000000003,725.6339999999999,,,
101,2209517,24,,right,saccade,10.0,26.0,,,722.55,726.929,500.356,730.2489999999997,,,
102,2209541,204,3.3742740384615386,left,fixation,11.0,,494.5981538461541,730.442442307692,,,,,2.0,3.7600170574161447,16.72991025704864
103,2209545,196,3.374115,right,fixation,10.0,27.0,491.93948,718.59424,,,,,1.0,2.4556335740497013,3.9066492036014697
