,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,3454564,8,,right,saccade,1.0,3.0,,,923.813,176.69,929.8989999999999,214.65,,,
11,3454576,512,3.3407890625,right,fixation,1.0,4.0,951.926325581396,229.16943410852696,,,,,0.0,,
12,3455092,20,,right,saccade,2.0,4.0,,,963.36,235.84900000000002,976.238,69.267,,,
13,3455092,32,,left,saccade,1.0,,,,952.28,264.085,953.428,62.957,,,
14,3455116,112,3.3828571428571435,right,fixation,2.0,5.0,976.7945172413788,36.1531379310345,,,,,0.0,,
15,3455128,100,3.38444,left,fixation,1.0,,961.1775769230768,48.823730769230785,,,,,3.0,3.5189779169343267,10.542352044465883
16,3455232,40,,left,saccade,2.0,,,,967.8510000000001,61.61,443.77099999999996,133.51,,,
17,3455232,40,,right,saccade,3.0,5.0,,,975.442,17.117,459.04400000000004,101.73700000000001,,,
18,3455276,676,3.3795473372781064,right,fixation,3.0,6.0,418.950823529412,152.853523529412,,,,,2.0,7.052599092879118,37.01469867122829
19,3455276,680,3.3795764705882365,left,fixation,2.0,,405.425304093567,173.361573099415,,,,,4.0,4.0251556556243235,17.197345910832034
20,3455956,44,,right,saccade,4.0,6.0,,,407.709,163.69,931.675,210.051,,,
21,3455960,40,,left,saccade,3.0,,,,401.131,170.063,922.623,230.81,,,
22,3456004,720,3.3166694444444444,left,fixation,3.0,,945.2109723756912,263.809790055249,,,,,5.0,5.310279711440408,23.60792470145781
23,3456004,720,3.3166694444444444,right,fixation,4.0,7.0,948.357309392266,242.84382320442,,,,,3.0,4.782245818485051,18.684971359519032
