,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
82,2465071,44,,left,saccade,1.0,,,,966.676,553.56,448.23800000000006,675.3330000000002,,,
83,2465071,48,,right,saccade,1.0,22.0,,,964.9689999999999,582.976,428.26599999999996,695.898,,,
84,2465119,172,4.178863636363636,left,fixation,1.0,,433.00172727272695,688.7090909090912,,,,,0.0,,
85,2465123,164,4.180209677419355,right,fixation,1.0,21.0,401.946952380952,711.622952380952,,,,,0.0,,
86,2465291,40,,right,saccade,2.0,23.0,,,405.466,695.092,400.527,784.33,,,
87,2465295,40,,left,saccade,2.0,,,,424.097,688.7239999999997,401.663,952.444,,,
89,2465459,28,,left,saccade,3.0,,,,401.523,947.804,397.009,840.5830000000003,,,
90,2465467,59,,right,fixation,2.0,22.0,406.7030625,766.0128125,,,,,0.0,,
91,2465491,55,4.24,left,fixation,2.0,,398.900866666667,801.4578,,,,,2.0,9.1985192245594,21.39282295685345
92,2465530,20,,right,saccade,3.0,24.0,,,407.12300000000016,736.6419999999997,416.11699999999996,678.7439999999998,,,
93,2465550,0,,left,saccade,4.0,,,,401.889,756.492,401.889,756.492,,,
94,2465554,0,,left,fixation,3.0,,402.651,746.2330000000003,,,,,0.0,,
95,2465554,317,4.28689375,right,fixation,3.0,23.0,437.928775,651.783275,,,,,0.0,,
96,2465558,8,,left,saccade,5.0,,,,402.651,734.576,402.651,715.495,,,
97,2465570,289,4.288582191780821,left,fixation,4.0,,404.748520547945,665.490863013699,,,,,0.0,,
98,2465863,20,,left,saccade,6.0,,,,417.55,633.544,447.74800000000016,720.684,,,
99,2465875,0,,right,saccade,4.0,25.0,,,471.355,693.4939999999997,471.355,693.4939999999997,,,
100,2465879,192,4.3326875,right,fixation,4.0,24.0,519.758040816327,743.041714285715,,,,,0.0,,
101,2465887,180,4.332066666666666,left,fixation,5.0,,472.6495,763.934195652174,,,,,1.0,5.401009671554227,1.8821928700322577
102,2466071,24,,left,saccade,7.0,,,,483.848,814.6419999999997,693.71,816.6519999999997,,,
103,2466075,24,,right,saccade,5.0,26.0,,,529.9209999999998,783.961,709.926,784.2489999999997,,,
104,2466099,860,4.2968627906976735,left,fixation,6.0,,728.750111111111,793.476171296297,,,,,1.0,7.876371760595777,17.18049551089845
105,2466103,856,4.296869158878504,right,fixation,5.0,25.0,725.872818604651,753.5333534883722,,,,,1.0,9.748528324829376,29.74517833195828
106,2466963,32,,left,saccade,8.0,,,,726.717,784.815,465.18,677.31,,,
107,2466963,32,,right,saccade,6.0,27.0,,,739.414,768.8610000000001,473.43,672.505,,,
108,2466999,255,4.1882109375,left,fixation,7.0,,445.951353846154,664.287861538461,,,,,0.0,,
109,2466999,255,4.1882109375,right,fixation,6.0,26.0,439.579584615385,671.139523076923,,,,,0.0,,
110,2467258,32,,left,saccade,9.0,,,,446.50800000000004,652.529,700.4110000000003,734.1489999999999,,,
111,2467258,36,,right,saccade,7.0,28.0,,,429.06,676.581,716.975,726.477,,,
112,2467294,345,4.168243243243242,left,fixation,8.0,,724.8092298850571,763.105735632184,,,,,0.0,,
113,2467298,341,4.168034246575342,right,fixation,7.0,27.0,727.320186046512,757.396534883721,,,,,0.0,,
