,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,1956229,20,,left,saccade,1.0,,,,450.50699999999995,120.881,480.50699999999995,185.704,,,
11,1956229,20,,right,saccade,1.0,3.0,,,462.159,158.688,493.223,249.08900000000003,,,
12,1956253,264,3.2277575757575763,left,fixation,1.0,,487.083985074627,220.320059701492,,,,,0.0,,
13,1956253,264,3.2277575757575763,right,fixation,1.0,4.0,504.422029850746,274.763970149254,,,,,0.0,,
14,1956521,16,,left,saccade,2.0,,,,476.716,209.878,470.906,153.534,,,
15,1956521,16,,right,saccade,2.0,4.0,,,507.57599999999996,265.366,499.459,206.668,,,
16,1956541,276,3.267355072463768,left,fixation,2.0,,472.77068571428595,124.481185714286,,,,,0.0,,
17,1956541,288,3.2679444444444443,right,fixation,2.0,5.0,498.231643835617,174.99253424657502,,,,,0.0,,
18,1956821,20,,left,saccade,3.0,,,,472.157,137.408,397.51199999999994,129.148,,,
19,1956833,8,,right,saccade,3.0,5.0,,,482.689,183.512,454.62,183.512,,,
20,1956845,460,3.3187304347826085,right,fixation,3.0,6.0,432.87657758620696,165.464982758621,,,,,1.0,5.587291581994108,8.447596166957808
21,1956845,468,3.3187094017094014,left,fixation,3.0,,404.414737288136,125.24188135593201,,,,,1.0,10.579954007724002,23.058604315959762
22,1957309,8,,right,saccade,4.0,6.0,,,454.57099999999997,171.84900000000005,479.92400000000004,171.84900000000005,,,
23,1957317,0,,left,saccade,4.0,,,,457.884,132.53799999999998,457.884,132.53799999999998,,,
24,1957321,204,3.3098077005347597,left,fixation,4.0,,482.452865384615,136.532807692308,,,,,0.0,,
25,1957321,208,3.30980770053476,right,fixation,4.0,7.0,516.406943396227,197.01452830188703,,,,,0.0,,
26,1957529,40,,left,saccade,5.0,,,,485.05800000000005,139.553,477.12300000000016,64.096,,,
27,1957533,40,,right,saccade,5.0,7.0,,,509.73800000000006,189.84799999999998,477.736,116.546,,,
28,1957645,476,3.2823768416683947,right,fixation,5.0,8.0,453.4474166666671,145.982925,,,,,2.0,10.871150199310463,27.693919557409092
31,1957829,1384,3.271669075144509,left,fixation,5.0,,457.318132564842,124.797755043228,,,,,2.0,9.325177727955984,32.60016463216833
32,1958125,0,,right,saccade,6.0,8.0,,,452.82199999999995,146.142,452.82199999999995,146.142,,,
33,1958129,1084,3.2704206642066422,right,fixation,6.0,9.0,509.125253676471,167.703974264706,,,,,3.0,5.647400291930919,13.919210413685262
34,1959217,16,,left,saccade,6.0,,,,497.14099999999996,113.056,433.256,121.334,,,
35,1959217,16,,right,saccade,7.0,9.0,,,534.634,151.27700000000004,478.79900000000004,149.233,,,
36,1959237,1072,3.2528936567164184,right,fixation,7.0,10.0,452.399613382899,158.704382899628,,,,,1.0,8.274018775325839,29.364631055063523
37,1959237,1076,3.2529665427509293,left,fixation,6.0,,423.344674074074,126.92531111111099,,,,,1.0,13.172880049767231,42.169898375500026
38,1960313,16,,right,saccade,8.0,10.0,,,403.12199999999996,137.737,468.931,138.879,,,
40,1960333,620,3.2274230769230767,right,fixation,8.0,11.0,483.21968589743597,163.602474358974,,,,,1.0,18.361287304331945,47.01977887017332
41,1960333,1224,3.2226791530944623,left,fixation,7.0,,485.33118241042297,121.834478827362,,,,,1.0,8.757267123493637,28.169828291986466
42,1960957,0,,right,saccade,9.0,11.0,,,532.054,179.954,532.054,179.954,,,
43,1960961,596,3.21796644295302,right,fixation,9.0,12.0,519.892433333334,162.93753999999996,,,,,0.0,,
44,1961561,20,,left,saccade,7.0,,,,503.50199999999995,131.908,467.727,200.998,,,
45,1961561,20,,right,saccade,10.0,12.0,,,511.17699999999996,184.205,490.759,258.593,,,
46,1961585,128,3.190984375,left,fixation,8.0,,459.516121212121,233.427090909091,,,,,0.0,,
47,1961585,128,3.190984375,right,fixation,10.0,13.0,487.172515151515,282.370303030303,,,,,1.0,3.927788835832288,8.10956792930423
48,1961717,28,,left,saccade,8.0,,,,461.12,236.579,706.375,226.15200000000002,,,
49,1961717,28,,right,saccade,11.0,13.0,,,486.07199999999995,276.974,743.6060000000001,244.35299999999998,,,
50,1961749,204,3.1402352941176463,right,fixation,11.0,14.0,746.451673076923,238.002019230769,,,,,0.0,,
51,1961749,208,3.140144230769231,left,fixation,9.0,,717.7974150943401,216.256433962264,,,,,0.0,,
52,1961957,28,,right,saccade,12.0,14.0,,,746.18,239.824,977.6489999999999,234.041,,,
53,1961961,28,,left,saccade,9.0,,,,721.6,212.516,958.6389999999999,213.606,,,
54,1961989,576,3.091986111111111,right,fixation,12.0,15.0,984.321579310345,208.36097241379292,,,,,0.0,,
55,1961993,572,3.0917027972027973,left,fixation,10.0,,962.191118055556,202.33929166666698,,,,,1.0,6.034778825460162,28.233258756296724
56,1962569,36,,left,saccade,10.0,,,,961.7710000000001,186.426,675.087,235.502,,,
57,1962569,36,,right,saccade,13.0,15.0,,,980.841,197.738,676.904,252.352,,,
58,1962609,88,3.1012045454545456,left,fixation,11.0,,660.212,240.115043478261,,,,,0.0,,
59,1962609,88,3.1012045454545456,right,fixation,13.0,16.0,660.585608695652,267.191260869565,,,,,0.0,,
