,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
38,2319116,28,,left,saccade,1.0,,,,730.323,275.657,453.89300000000003,445.092,,,
39,2319116,28,,right,saccade,1.0,10.0,,,723.028,248.423,448.596,421.84,,,
40,2319148,376,3.2663208872393072,left,fixation,1.0,,437.44501052631597,471.271610526316,,,,,0.0,,
41,2319148,376,3.2663208872393072,right,fixation,1.0,11.0,412.49522105263196,439.82288421052596,,,,,2.0,4.072923222932921,12.657875930237587
42,2319528,40,,left,saccade,2.0,,,,434.885,474.009,366.13699999999994,373.75300000000004,,,
43,2319528,48,,right,saccade,2.0,11.0,,,390.874,444.148,369.961,382.36699999999996,,,
45,2319676,20,,right,saccade,3.0,12.0,,,399.457,342.293,410.096,408.223,,,
46,2319684,28,,left,fixation,2.0,,401.33225,380.000125,,,,,0.0,,
47,2319700,636,3.1914280575539573,right,fixation,2.0,13.0,404.96410625,463.9089625,,,,,2.0,11.466314794176956,37.512303941077434
48,2319716,12,,left,saccade,3.0,,,,414.94800000000004,401.095,422.145,435.61800000000005,,,
49,2319732,460,3.204902912621358,left,fixation,3.0,,425.840844827586,480.757982758621,,,,,0.0,,
50,2320196,12,,left,saccade,4.0,,,,420.39,480.365,458.037,453.51599999999996,,,
51,2320212,128,3.14925,left,fixation,4.0,,469.342484848485,439.687818181818,,,,,0.0,,
52,2320340,48,,right,saccade,4.0,13.0,,,434.70599999999996,457.319,855.4069999999997,545.607,,,
53,2320344,40,,left,saccade,5.0,,,,475.58099999999996,452.18699999999995,818.49,508.07,,,
54,2320388,124,3.1345806451612903,left,fixation,5.0,,856.03871875,545.12575,,,,,1.0,7.936403812320925,10.038694387219829
55,2320392,120,3.1341,right,fixation,3.0,14.0,860.043516129032,569.44335483871,,,,,1.0,4.8427247266159466,8.964442871701467
56,2320516,20,,left,saccade,6.0,,,,875.5939999999997,547.4580000000002,940.2710000000001,556.569,,,
57,2320516,20,,right,saccade,5.0,14.0,,,849.502,566.11,935.8760000000001,572.606,,,
58,2320540,204,3.157980392156863,left,fixation,6.0,,962.9829423076919,543.500826923077,,,,,0.0,,
59,2320540,208,3.15825,right,fixation,4.0,15.0,954.738981132076,594.402150943396,,,,,0.0,,
60,2320748,44,,left,saccade,7.0,,,,953.703,595.9069999999998,451.417,492.31300000000016,,,
61,2320752,40,,right,saccade,6.0,15.0,,,951.215,603.081,453.142,494.531,,,
62,2320796,1176,3.114811224489796,right,fixation,5.0,16.0,399.719172881356,440.859074576271,,,,,4.0,4.575759732513296,10.098991484276144
63,2320796,1180,3.114984745762712,left,fixation,7.0,,411.753851351351,448.797226351351,,,,,2.0,4.186971346987549,13.699197823444484
64,2321976,24,,right,saccade,7.0,16.0,,,409.216,461.647,474.218,531.933,,,
65,2321980,20,,left,saccade,8.0,,,,416.644,462.461,457.726,533.293,,,
66,2322004,168,3.15956976744186,left,fixation,8.0,,488.111186046512,563.003674418605,,,,,0.0,,
67,2322004,168,3.15956976744186,right,fixation,6.0,17.0,493.416162790698,558.347674418604,,,,,1.0,3.4731445246186934,8.198766065695473
