,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
228,21054928,60,,left,saccade,1.0,,,,1180.4660000000001,486.43800000000016,442.595,627.0269999999998,,,
229,21054932,56,,right,saccade,1.0,60.0,,,1189.682,464.39599999999996,471.431,597.001,,,
230,21054992,392,4.136671485260772,left,fixation,1.0,,419.966595959596,635.630717171717,,,,,1.0,9.056506318357224,51.31873366520257
231,21054992,400,4.136671485260772,right,fixation,1.0,60.0,435.776930693069,623.146069306931,,,,,3.0,5.700486010191799,21.46714766528666
232,21055388,40,,left,saccade,2.0,,,,369.374,633.058,367.845,787.6510000000003,,,
233,21055396,68,,right,saccade,2.0,61.0,,,386.72900000000004,634.154,401.645,656.753,,,
234,21055512,8,,left,fixation,2.0,,369.784666666667,785.7876666666672,,,,,0.0,,
235,21055516,196,4.007674768518519,right,fixation,2.0,61.0,408.336,637.6492400000002,,,,,0.0,,
236,21055524,40,,left,saccade,3.0,,,,374.88599999999997,770.084,386.779,629.443,,,
237,21055568,144,4.007674768518519,left,fixation,3.0,,383.63410810810797,636.096378378379,,,,,1.0,4.2159140039722125,12.860487432441996
238,21055716,16,,left,saccade,4.0,,,,389.858,651.109,434.88699999999994,705.822,,,
239,21055716,16,,right,saccade,3.0,62.0,,,414.694,639.856,455.27099999999996,708.414,,,
240,21055736,164,3.9997195121951217,right,fixation,3.0,62.0,475.6996666666671,730.621285714285,,,,,2.0,3.5257156472080355,6.667108060545624
241,21055736,168,3.998488095238096,left,fixation,4.0,,456.472186046512,717.230813953489,,,,,0.0,,
242,21055904,24,,right,saccade,4.0,63.0,,,487.774,737.363,693.545,737.954,,,
243,21055908,24,,left,saccade,5.0,,,,458.999,725.6010000000001,662.561,728.81,,,
244,21055932,248,3.949620967741936,right,fixation,4.0,63.0,717.090841269841,747.9194126984129,,,,,0.0,,
245,21055936,244,3.94938524590164,left,fixation,5.0,,681.5140322580651,747.917725806452,,,,,1.0,4.366729519267766,15.32697625104182
246,21056184,28,,left,saccade,6.0,,,,678.38,727.7739999999999,482.751,658.71,,,
247,21056184,32,,right,saccade,5.0,64.0,,,712.304,733.7819999999997,486.603,652.618,,,
248,21056216,608,3.9384210526315777,left,fixation,6.0,,438.818790849673,627.870921568628,,,,,1.0,5.361789131851845,27.414777274309454
249,21056220,604,3.9384205298013253,right,fixation,5.0,64.0,457.121032894737,627.375868421053,,,,,1.0,4.988558715255889,27.46135373575021
250,21056828,16,,left,saccade,7.0,,,,403.62,619.8009999999998,458.24300000000005,616.58,,,
251,21056828,16,,right,saccade,6.0,65.0,,,436.832,625.58,505.996,625.25,,,
252,21056848,360,4.024744444444444,right,fixation,6.0,65.0,510.625395604396,621.776285714286,,,,,0.0,,
253,21056848,364,4.0250164835164846,left,fixation,7.0,,488.25267391304396,632.423119565217,,,,,0.0,,
254,21057212,16,,right,saccade,7.0,66.0,,,509.784,628.361,501.774,707.673,,,
255,21057216,16,,left,saccade,8.0,,,,472.82199999999995,647.607,466.686,727.19,,,
256,21057232,160,4.089573170731708,right,fixation,7.0,66.0,486.54195121951204,734.659780487805,,,,,0.0,,
257,21057236,160,4.091012195121952,left,fixation,8.0,,458.76831707317115,725.7931219512201,,,,,0.0,,
258,21057396,24,,right,saccade,8.0,67.0,,,477.666,736.748,511.358,638.08,,,
259,21057400,20,,left,saccade,9.0,,,,455.845,715.432,487.32,652.002,,,
260,21057424,404,4.127316831683169,left,fixation,9.0,,506.66444117647,621.730617647059,,,,,0.0,,
