,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
2,1851333,20,,right,saccade,1.0,1.0,,,1387.4229999999998,166.128,1392.289,82.85799999999998,,,
3,1851337,12,,left,saccade,1.0,,,,1400.662,154.83,1391.237,108.634,,,
4,1851353,212,3.4092830188679235,left,fixation,1.0,,1387.80305555556,90.3902592592593,,,,,1.0,5.905875793554153,12.940795184222624
5,1851357,208,3.4097115384615377,right,fixation,1.0,2.0,1393.8660188679196,84.03705660377359,,,,,0.0,,
6,1851569,56,,left,saccade,2.0,,,,1391.4289999999999,90.087,515.919,108.522,,,
7,1851569,60,,right,saccade,2.0,2.0,,,1398.68,72.093,515.048,107.493,,,
10,1852054,0,,left,saccade,3.0,,,,506.356,143.281,506.356,143.281,,,
11,1852058,232,3.4302155172413795,left,fixation,2.0,,532.226406779661,145.12437288135598,,,,,1.0,17.18610423504342,47.15414467467311
12,1852278,20,,right,saccade,3.0,3.0,,,543.155,134.597,468.404,141.217,,,
13,1852294,0,,left,saccade,4.0,,,,475.689,144.47899999999996,475.689,144.47899999999996,,,
14,1852298,440,3.447068181818182,left,fixation,3.0,,457.724711711712,150.608981981982,,,,,0.0,,
15,1852302,432,3.446949074074076,right,fixation,2.0,4.0,463.931862385321,133.522165137615,,,,,0.0,,
16,1852738,24,,right,saccade,4.0,4.0,,,467.60400000000004,133.084,476.31199999999995,261.112,,,
17,1852742,20,,left,saccade,5.0,,,,450.356,153.68,476.288,249.178,,,
18,1852766,307,3.4776973684210533,right,fixation,3.0,5.0,490.31896153846196,266.932333333333,,,,,1.0,4.257305772956005,10.295686572540935
19,1852766,311,3.4777792207792206,left,fixation,4.0,,495.512911392405,270.337886075949,,,,,2.0,4.025450390230118,12.489819115961692
20,1853077,29,,right,saccade,5.0,5.0,,,485.244,248.75400000000002,705.205,247.78599999999997,,,
21,1853081,25,,left,saccade,6.0,,,,514.715,270.216,714.472,251.14,,,
22,1853110,215,3.452415094339622,left,fixation,5.0,,731.9512181818179,237.93198181818198,,,,,2.0,4.409874441945657,17.8381612451601
23,1853110,215,3.452415094339622,right,fixation,4.0,6.0,719.7596,250.291127272727,,,,,0.0,,
24,1853329,28,,right,saccade,6.0,6.0,,,719.0260000000003,264.579,945.033,239.676,,,
25,1853329,32,,left,saccade,7.0,,,,736.028,227.43400000000003,966.216,233.11900000000003,,,
26,1853361,220,3.4318545454545446,right,fixation,5.0,7.0,963.944642857143,242.815035714286,,,,,0.0,,
27,1853365,216,3.4315277777777773,left,fixation,6.0,,974.460636363636,234.494727272727,,,,,2.0,3.369371589233585,6.455895089302159
28,1853585,24,,left,saccade,8.0,,,,972.23,233.639,1172.101,238.908,,,
29,1853585,28,,right,saccade,7.0,7.0,,,974.933,247.93200000000002,1166.733,242.34099999999998,,,
30,1853613,197,3.4197299999999995,left,fixation,7.0,,1188.71112,239.42893999999998,,,,,1.0,3.493698978955618,13.115020129607199
31,1853617,193,3.4197959183673463,right,fixation,6.0,8.0,1178.5248979591804,247.38916326530602,,,,,0.0,,
32,1853814,24,,right,saccade,8.0,8.0,,,1188.1,259.59,1407.609,256.552,,,
33,1853814,28,,left,saccade,9.0,,,,1187.4489999999996,244.08,1424.8029999999999,246.885,,,
34,1853842,120,3.4337166666666668,right,fixation,7.0,9.0,1422.80680645161,250.92241935483898,,,,,0.0,,
35,1853846,116,3.4336206896551715,left,fixation,8.0,,1442.7034,266.746933333333,,,,,0.0,,
36,1853966,60,,left,saccade,10.0,,,,1445.036,276.144,504.10699999999997,222.343,,,
37,1853966,64,,right,saccade,9.0,9.0,,,1431.3670000000006,251.459,495.786,198.04,,,
38,1854030,651,3.4391625766871163,left,fixation,9.0,,482.20132317073194,219.635054878049,,,,,4.0,4.263629917166467,20.51299686918805
39,1854034,647,3.439283950617284,right,fixation,8.0,10.0,472.56637423312895,216.569325153374,,,,,0.0,,
