,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,2016037,8,,right,saccade,1.0,3.0,,,460.598,162.158,423.251,157.851,,,
11,2016049,144,3.3041428571428573,right,fixation,1.0,4.0,412.66248648648696,151.907486486486,,,,,2.0,3.09403587938494,15.40470803250129
12,2016197,20,,left,saccade,1.0,,,,398.33,115.145,458.28,232.537,,,
13,2016197,20,,right,saccade,2.0,4.0,,,412.014,140.089,465.69800000000004,256.64599999999996,,,
14,2016221,224,3.2640624999999988,left,fixation,1.0,,482.775877192982,242.893771929825,,,,,1.0,5.69177032116451,9.620011694379595
15,2016221,224,3.2640624999999988,right,fixation,2.0,5.0,488.47959649122805,265.84526315789503,,,,,1.0,5.139195597453818,19.493655378096744
16,2016449,16,,left,saccade,2.0,,,,482.459,234.305,481.31800000000004,132.313,,,
17,2016449,16,,right,saccade,3.0,5.0,,,489.88300000000004,265.26,488.056,175.516,,,
18,2016469,312,3.268128205128205,right,fixation,3.0,6.0,473.77788607595,158.038734177215,,,,,2.0,5.314714540979526,12.76116406142632
19,2016469,508,3.2689414830608863,left,fixation,2.0,,486.54271875,121.458703125,,,,,8.0,4.3444539926309504,14.78898151499249
20,2016785,0,,right,saccade,4.0,6.0,,,501.923,152.58100000000005,501.923,152.58100000000005,,,
21,2016789,192,3.272274099883856,right,fixation,4.0,7.0,532.469265306123,155.755673469388,,,,,3.0,5.2207542117276775,9.108052226993989
22,2016981,40,,left,saccade,3.0,,,,523.13,147.5,452.283,131.888,,,
23,2016985,32,,right,saccade,5.0,7.0,,,548.562,166.142,428.79699999999997,131.686,,,
24,2017137,692,3.309081585081585,right,fixation,5.0,8.0,474.566206896552,160.849747126437,,,,,9.0,4.62044234401891,18.43495023242996
25,2017161,236,3.292813725490196,left,fixation,3.0,,481.59053333333395,153.385366666667,,,,,1.0,2.9169641753028044,11.041668442767165
26,2017401,8,,left,saccade,4.0,,,,470.50699999999995,158.23,439.0,152.959,,,
27,2017413,420,3.3147358490566035,left,fixation,4.0,,450.430943396226,131.269471698113,,,,,6.0,3.5567339840135386,11.399359735719747
28,2017833,16,,right,saccade,6.0,8.0,,,483.569,152.364,418.584,157.109,,,
29,2017837,8,,left,saccade,5.0,,,,453.288,134.41,420.301,136.26,,,
30,2017849,220,3.2874259259259264,left,fixation,5.0,,412.983767857143,136.73825,,,,,1.0,3.0878298429299447,10.54963776629319
31,2017853,212,3.2875865384615386,right,fixation,6.0,9.0,415.86485185185205,158.440833333333,,,,,1.0,2.859570635991042,17.449638878784867
32,2018069,12,,right,saccade,7.0,9.0,,,418.022,160.286,460.941,159.259,,,
33,2018073,4,,left,saccade,6.0,,,,441.37199999999996,133.472,450.421,133.887,,,
34,2018081,1816,3.2944658823529416,left,fixation,6.0,,456.38684175824096,131.707296703297,,,,,23.0,4.661846728027278,15.852216829344757
35,2018085,1036,3.2813173076923077,right,fixation,7.0,10.0,485.901657692308,171.710561538461,,,,,6.0,6.102365959213484,23.310774657475218
36,2019125,12,,right,saccade,8.0,10.0,,,467.82300000000004,152.694,426.541,147.495,,,
37,2019141,752,3.3159213836477988,right,fixation,8.0,11.0,443.066396825397,141.922873015873,,,,,11.0,3.9350204305288514,12.244636428007569
38,2019897,32,,right,saccade,9.0,11.0,,,439.402,150.689,431.879,134.053,,,
39,2019901,32,,left,saccade,7.0,,,,434.485,121.025,425.787,116.791,,,
40,2020021,1916,3.312273706869735,right,fixation,9.0,12.0,428.123110416666,148.25340625,,,,,23.0,3.462684826160296,12.249185756288687
41,2020029,1904,3.312282083577548,left,fixation,7.0,,425.542654088051,125.59792872117399,,,,,11.0,3.3855975304025065,11.174361808807378
42,2021937,12,,left,saccade,8.0,,,,464.30400000000003,125.605,512.336,129.339,,,
43,2021941,4,,right,saccade,10.0,12.0,,,503.605,145.872,505.85,146.138,,,
44,2021949,260,3.298876923076924,right,fixation,10.0,13.0,527.546878787879,153.778666666667,,,,,2.0,2.948732762905065,15.177537309180455
45,2021953,256,3.2987734375000004,left,fixation,8.0,,527.945676923077,120.7944,,,,,1.0,3.725852057658176,7.178137989757463
46,2022213,16,,left,saccade,9.0,,,,525.471,129.382,396.32599999999996,129.382,,,
47,2022213,20,,right,saccade,11.0,13.0,,,532.469,151.27,412.846,151.003,,,
48,2022233,1447,3.3095900277008314,left,fixation,9.0,,430.89423140495796,124.600046831956,,,,,9.0,5.084872791784001,17.428029837721855
49,2022237,664,3.334873493975904,right,fixation,11.0,14.0,429.82088023952105,149.06674850299402,,,,,4.0,2.6580277783077637,10.868396233366408
50,2022905,8,,right,saccade,12.0,14.0,,,444.66,150.04399999999995,416.598,148.554,,,
51,2022917,755,3.2872127659574475,right,fixation,12.0,15.0,440.17895789473687,153.145231578947,,,,,7.0,4.221179998402503,15.02885659358281
52,2023676,4,,right,saccade,13.0,15.0,,,463.19800000000004,150.07,473.087,150.07,,,
53,2023684,8,,left,saccade,10.0,,,,479.332,116.662,499.01800000000003,105.829,,,
54,2023684,452,3.2129911504424777,right,fixation,13.0,16.0,520.188052631579,146.358271929825,,,,,3.0,2.842861300111609,8.42990285216308
56,2024140,16,,right,saccade,14.0,16.0,,,521.554,138.774,428.534,138.259,,,
57,2024144,16,,left,saccade,11.0,,,,472.838,118.98100000000001,404.135,116.14200000000001,,,
58,2024160,1692,3.1627777777777784,right,fixation,14.0,17.0,429.4517830188671,154.09315094339598,,,,,8.0,4.311027728859703,20.05622610335388
59,2024164,1036,3.159096525096525,left,fixation,10.0,,419.866392307692,125.846453846154,,,,,7.0,3.420887015339972,10.74468089762871
60,2025204,8,,left,saccade,12.0,,,,422.651,123.821,399.652,117.62200000000001,,,
61,2025216,640,3.16900625,left,fixation,11.0,,397.406913043478,116.580714285714,,,,,2.0,2.7309137961066856,5.498373653179151
62,2025856,16,,right,saccade,15.0,17.0,,,424.792,159.313,531.687,148.71,,,
64,2025876,308,3.2052467532467532,right,fixation,15.0,18.0,532.697679487179,143.758974358974,,,,,1.0,2.3847699458112257,3.8638950555107097
67,2026188,16,,right,saccade,16.0,18.0,,,519.555,141.849,406.49699999999996,142.82399999999996,,,
68,2026208,564,3.2022198581560284,left,fixation,12.0,,390.693908450704,124.485971830986,,,,,3.0,2.846692768094432,13.636439163335815
69,2026208,564,3.2022198581560284,right,fixation,16.0,19.0,413.79873239436597,145.809471830986,,,,,2.0,2.634201228179048,10.33229651674403
70,2026776,16,,left,saccade,13.0,,,,391.525,117.63799999999999,489.14,110.119,,,
71,2026776,16,,right,saccade,17.0,19.0,,,425.334,139.092,519.623,137.29,,,
72,2026796,596,3.231026845637584,left,fixation,13.0,,523.550873333333,116.469593333333,,,,,9.0,2.9927899520736925,10.174680131947568
73,2026796,600,3.2311300000000003,right,fixation,17.0,20.0,537.581609271523,134.98298013245,,,,,2.0,5.488599267512622,21.784335768669266
74,2027396,16,,left,saccade,14.0,,,,546.794,120.427,468.41,120.647,,,
75,2027400,16,,right,saccade,18.0,20.0,,,555.447,129.391,460.914,140.136,,,
77,2027420,132,3.2330082474226804,right,fixation,18.0,21.0,452.951852941176,137.698147058823,,,,,2.0,3.5705101604691536,11.617091843771089
79,2027556,32,,right,saccade,19.0,21.0,,,453.819,148.293,451.596,99.684,,,
80,2027736,452,3.2186207962857183,right,fixation,19.0,22.0,489.431096491228,154.480807017544,,,,,4.0,3.810288942205579,17.242541730482692
81,2027748,440,3.2186207962857183,left,fixation,14.0,,489.755603603603,132.113675675676,,,,,2.0,4.945393126594974,31.74382222913853
82,2028192,16,,left,saccade,15.0,,,,509.82099999999997,148.14600000000004,398.423,148.34,,,
83,2028192,20,,right,saccade,20.0,22.0,,,503.509,147.25799999999995,413.24800000000016,153.072,,,
84,2028212,932,3.2072639484978542,left,fixation,15.0,,426.691623931624,130.833705128205,,,,,6.0,3.972119244053821,17.997272671439603
85,2028216,364,3.2019560439560437,right,fixation,20.0,23.0,413.31073913043406,166.118641304348,,,,,2.0,2.4624841710211487,10.916312940444172
86,2028584,12,,right,saccade,21.0,23.0,,,413.716,145.714,462.80300000000005,145.179,,,
87,2028600,544,3.210823529411765,right,fixation,21.0,24.0,466.130897810219,156.229321167883,,,,,4.0,2.871455978018477,8.81714247713262
88,2029148,20,,left,saccade,16.0,,,,445.176,123.428,475.434,224.938,,,
89,2029148,20,,right,saccade,22.0,24.0,,,456.35699999999997,140.431,477.376,234.28400000000002,,,
90,2029172,304,3.203032894736842,left,fixation,16.0,,499.602649350649,241.741064935065,,,,,2.0,3.499011036738392,8.874059416060987
91,2029172,304,3.203032894736842,right,fixation,22.0,25.0,500.702168831169,249.76092207792198,,,,,2.0,3.1871868189509174,9.327093770762676
92,2029480,24,,left,saccade,17.0,,,,500.805,240.167,721.7560000000003,242.56900000000002,,,
93,2029480,24,,right,saccade,23.0,25.0,,,504.11300000000006,247.585,728.038,251.05900000000003,,,
94,2029508,216,3.192185185185185,left,fixation,17.0,,727.792545454546,235.38910909090905,,,,,0.0,,
95,2029508,216,3.192185185185185,right,fixation,23.0,26.0,746.3816,264.769290909091,,,,,1.0,3.032477278471287,6.327830354868915
96,2029728,24,,right,saccade,24.0,26.0,,,754.334,266.276,969.6060000000001,271.459,,,
97,2029728,28,,left,saccade,18.0,,,,728.08,235.274,965.3760000000001,249.31400000000002,,,
98,2029756,224,3.1522946428571434,right,fixation,24.0,27.0,983.6034736842108,256.524543859649,,,,,2.0,2.6883222125487087,5.464953972353202
99,2029760,220,3.152281818181818,left,fixation,18.0,,981.660232142857,258.461821428571,,,,,3.0,3.2575006750443585,8.080851805451985
100,2029984,24,,left,saccade,19.0,,,,979.365,241.976,1172.458,244.894,,,
101,2029984,24,,right,saccade,25.0,27.0,,,992.505,248.343,1182.875,247.81099999999998,,,
102,2030012,220,3.133508928571428,left,fixation,19.0,,1190.35223214286,247.86526785714298,,,,,1.0,3.9250356615506328,23.37675445822197
103,2030012,220,3.133508928571428,right,fixation,25.0,28.0,1195.1948214285699,254.03135714285702,,,,,1.0,2.6847566825402627,4.385993274048596
104,2030236,20,,right,saccade,26.0,28.0,,,1199.4189999999999,252.27599999999998,1419.601,252.27599999999998,,,
105,2030236,24,,left,saccade,20.0,,,,1192.677,246.377,1423.1570000000006,244.574,,,
106,2030260,288,3.1360985915492963,right,fixation,26.0,29.0,1442.7272739726002,238.83016438356202,,,,,2.0,2.8134878246789587,10.614861206176457
107,2030264,280,3.1359420289855082,left,fixation,20.0,,1437.5070140845098,229.713436619718,,,,,1.0,3.338435033398488,6.733894118561692
108,2030548,52,,left,saccade,21.0,,,,1439.4589999999994,229.30700000000002,507.905,219.99,,,
109,2030552,56,,right,saccade,27.0,29.0,,,1443.727,232.0,536.944,235.687,,,
110,2030604,284,3.1631901408450704,left,fixation,21.0,,495.339541666667,222.953944444444,,,,,3.0,3.297744286347518,7.403620473966168
111,2030612,276,3.1633985507246374,right,fixation,27.0,30.0,503.281628571429,240.11475714285703,,,,,3.0,4.461233596169951,18.435936944837305
112,2030892,16,,right,saccade,28.0,30.0,,,486.509,242.89,500.468,174.785,,,
113,2030892,20,,left,saccade,22.0,,,,487.48,221.28799999999998,487.86699999999996,114.47200000000001,,,
114,2030912,448,3.2004196428571423,right,fixation,28.0,31.0,520.736044247787,146.81685840708,,,,,4.0,4.289952809093388,17.728961430353642
116,2031360,20,,left,saccade,23.0,,,,512.396,126.46600000000001,419.249,126.11399999999999,,,
117,2031364,16,,right,saccade,29.0,31.0,,,516.99,145.635,434.98,144.12,,,
118,2031384,968,3.2204506172839507,left,fixation,22.0,,425.17509053498003,120.82675308642,,,,,8.0,4.352339860948623,14.622494599635337
119,2031384,972,3.2203790983606564,right,fixation,29.0,32.0,439.94558606557405,159.17956557377,,,,,14.0,3.13772976004502,10.808701447736823
120,2032356,20,,left,saccade,24.0,,,,432.11199999999997,126.51899999999999,453.61800000000005,220.62400000000002,,,
121,2032360,16,,right,saccade,30.0,32.0,,,445.246,178.68099999999995,477.63800000000003,226.13299999999998,,,
122,2032380,316,3.1814679487179482,left,fixation,23.0,,482.8618625,233.41495,,,,,1.0,3.3870568713855453,10.111676666112263
123,2032380,320,3.1812594936708853,right,fixation,30.0,33.0,494.936716049383,246.477259259259,,,,,2.0,2.631652884880905,8.029091134537628
124,2032700,24,,left,saccade,25.0,,,,466.655,240.963,663.562,241.60299999999998,,,
