,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
108,3301389,56,,left,saccade,1.0,,,,1371.999,431.852,571.808,533.192,,,
110,3301449,472,2.8032605042016803,left,fixation,1.0,,545.146924369748,566.5081428571431,,,,,3.0,5.343778842010299,35.847094903701304
111,3301449,472,2.8032605042016803,right,fixation,1.0,28.0,546.739756302521,558.259537815126,,,,,5.0,5.4609981332795705,28.1136072164076
112,3301925,20,,left,saccade,2.0,,,,547.464,590.7080000000002,460.11800000000005,600.283,,,
113,3301925,20,,right,saccade,1.0,28.0,,,550.188,575.394,458.235,582.668,,,
114,3301949,352,2.807232954545454,left,fixation,2.0,,460.226460674157,605.9170786516851,,,,,1.0,3.6705030384888166,18.90125807982107
115,3301949,356,2.8072752808988763,right,fixation,2.0,29.0,437.397122222222,589.5583666666661,,,,,3.0,2.440119909335444,7.8311924713076975
116,3302305,40,,left,saccade,3.0,,,,452.67699999999996,607.4,715.9060000000003,593.786,,,
117,3302309,40,,right,saccade,2.0,29.0,,,436.10699999999997,594.347,735.194,582.714,,,
118,3302349,224,2.7314821428571427,left,fixation,3.0,,740.059333333333,594.09601754386,,,,,1.0,4.171242314280572,11.600998448409493
119,3302353,220,2.730654545454545,right,fixation,3.0,30.0,754.458357142857,580.141892857143,,,,,4.0,3.279814799351217,12.6570297198665
120,3302577,16,,left,saccade,4.0,,,,742.3689999999997,606.755,680.184,601.5369999999998,,,
121,3302577,16,,right,saccade,3.0,30.0,,,755.699,580.01,671.9939999999998,580.554,,,
122,3302597,300,2.75288,left,fixation,4.0,,655.265657894737,598.120197368421,,,,,0.0,,
123,3302597,300,2.75288,right,fixation,4.0,31.0,661.367710526316,586.459223684211,,,,,3.0,3.0447935131580617,10.222682752788067
124,3302901,20,,left,saccade,5.0,,,,648.036,597.007,563.868,601.606,,,
125,3302901,20,,right,saccade,4.0,31.0,,,659.173,573.386,568.448,571.989,,,
126,3302925,452,2.802814159292036,right,fixation,5.0,32.0,555.710122807018,581.412640350877,,,,,5.0,3.162377513532728,15.578230416922278
127,3302925,456,2.8029473684210515,left,fixation,5.0,,553.2572782608702,597.095939130435,,,,,0.0,,
128,3303381,20,,right,saccade,5.0,32.0,,,553.503,568.683,476.083,580.716,,,
129,3303385,12,,left,saccade,6.0,,,,543.589,602.757,492.18300000000005,607.11,,,
130,3303401,640,2.86735,left,fixation,6.0,,464.897857142857,614.412701863355,,,,,1.0,3.007967244576393,7.067114333304678
131,3303405,636,2.8676855345911947,right,fixation,6.0,33.0,457.7112125,587.712468750001,,,,,3.0,4.318537749316312,17.786724703281195
132,3304045,28,,left,saccade,7.0,,,,471.347,613.942,719.425,600.734,,,
133,3304045,28,,right,saccade,6.0,33.0,,,473.19800000000004,586.339,738.842,586.339,,,
134,3304077,388,2.8581804123711345,right,fixation,7.0,34.0,758.434489795919,577.524744897959,,,,,3.0,3.4733999533669664,12.440033631629774
135,3304077,396,2.857994949494949,left,fixation,7.0,,747.0187099999997,601.8820400000002,,,,,4.0,4.575442193892872,13.385892484907439
136,3304469,20,,right,saccade,7.0,34.0,,,757.459,577.08,679.172,592.0169999999998,,,
137,3304477,12,,left,saccade,8.0,,,,733.878,601.026,687.3810000000003,602.807,,,
138,3304493,268,2.8474179104477617,left,fixation,8.0,,660.14625,611.118897058824,,,,,0.0,,
139,3304493,268,2.8474179104477617,right,fixation,8.0,35.0,667.620794117647,589.1990147058821,,,,,1.0,3.06596000916155,10.805388701939444
140,3304765,28,,left,saccade,9.0,,,,655.498,621.594,860.028,624.735,,,
141,3304765,28,,right,saccade,8.0,35.0,,,660.7669999999998,593.1709999999998,875.221,583.3380000000002,,,
142,3304797,292,2.810904109589041,left,fixation,9.0,,867.496905405405,595.262581081081,,,,,4.0,6.545625371821309,27.716028277580037
143,3304797,292,2.810904109589041,right,fixation,9.0,36.0,880.092108108108,576.32154054054,,,,,4.0,2.950194622161588,9.854687273038829
144,3305093,20,,left,saccade,10.0,,,,868.6360000000003,605.789,765.717,588.793,,,
145,3305093,20,,right,saccade,9.0,36.0,,,882.8860000000003,577.941,789.232,573.39,,,
146,3305117,188,2.7853617021276595,left,fixation,10.0,,762.482833333333,585.8058125,,,,,1.0,4.2760036021448435,13.043817884346586
147,3305117,188,2.7853617021276595,right,fixation,10.0,37.0,769.264458333333,565.465229166667,,,,,1.0,2.5526569001728503,10.288345882599387
148,3305309,36,,left,saccade,11.0,,,,763.332,587.9209999999998,484.245,600.44,,,
149,3305309,36,,right,saccade,10.0,37.0,,,762.4169999999997,566.0459999999998,475.319,591.356,,,
150,3305349,396,2.868355,left,fixation,11.0,,446.02168,603.24805,,,,,1.0,6.950357426860232,26.58418180046176
151,3305349,396,2.868355,right,fixation,11.0,38.0,439.18034000000006,588.14779,,,,,5.0,2.734025151727667,10.765958146204989
152,3305749,56,,right,saccade,11.0,38.0,,,421.92400000000004,573.521,1265.2060000000001,556.5419999999998,,,
153,3305749,60,,left,saccade,12.0,,,,427.36,594.346,1299.03,569.886,,,
154,3305809,1144,2.7529128919860626,right,fixation,12.0,39.0,1320.67826480836,559.136843205575,,,,,16.0,3.093333840439036,11.510115376926956
155,3305813,1136,2.752750877192982,left,fixation,12.0,,1340.65929824561,561.856599999999,,,,,5.0,4.513998462168033,12.204317723444314
