,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
70,1855610,32,,left,saccade,1.0,,,,728.368,470.901,487.75,614.232,,,
71,1855610,32,,right,saccade,1.0,17.0,,,711.4119999999997,425.8,463.414,620.974,,,
72,1855646,320,3.2863437500000003,right,fixation,1.0,18.0,449.32086419753097,635.770950617284,,,,,0.0,,
73,1855646,688,3.284729651162792,left,fixation,1.0,,500.284907514451,671.775433526012,,,,,2.0,10.222783558562893,44.850154826655505
74,1855970,8,,right,saccade,2.0,18.0,,,467.35400000000004,660.7739999999999,493.68699999999995,662.993,,,
75,1855982,156,3.2756410256410247,right,fixation,2.0,19.0,519.29635,641.41065,,,,,1.0,4.003591394679988,4.609371432201958
76,1856142,24,,right,saccade,3.0,19.0,,,512.8430000000002,607.707,490.167,744.669,,,
77,1856170,164,3.290536585365853,right,fixation,3.0,20.0,496.753761904762,753.6912857142862,,,,,1.0,4.601957367372178,18.27362002997755
78,1856338,36,,right,saccade,4.0,20.0,,,482.95,738.663,925.875,753.9,,,
79,1856338,40,,left,saccade,2.0,,,,514.2330000000002,742.704,931.2610000000001,760.592,,,
80,1856378,356,3.4141741573033704,right,fixation,4.0,21.0,949.194988888889,768.415222222222,,,,,1.0,5.135472379008134,9.033046274651849
81,1856382,352,3.414642045454546,left,fixation,2.0,,949.8275730337081,760.1021011235962,,,,,0.0,,
82,1856738,44,,left,saccade,3.0,,,,947.346,773.158,522.771,651.82,,,
83,1856738,44,,right,saccade,5.0,21.0,,,945.7489999999999,767.607,525.2230000000002,638.011,,,
84,1856786,384,3.3371302083333334,left,fixation,3.0,,510.85626804123706,645.924432989691,,,,,1.0,3.9615595273691135,9.411558691311386
85,1856786,384,3.3371302083333334,right,fixation,5.0,22.0,491.667463917526,619.965824742268,,,,,2.0,6.008366004595188,19.502092087491352
86,1857174,52,,left,saccade,4.0,,,,521.383,664.32,1332.223,730.682,,,
87,1857174,52,,right,saccade,6.0,22.0,,,502.501,645.9069999999998,1328.405,734.383,,,
88,1857230,112,3.360428571428572,left,fixation,4.0,,1349.04210344828,720.294689655172,,,,,0.0,,
89,1857230,112,3.360428571428572,right,fixation,6.0,23.0,1358.63672413793,746.44951724138,,,,,1.0,5.584167639158272,21.253490678003946
90,1857346,16,,left,saccade,5.0,,,,1350.8129999999999,736.382,1429.4520000000002,737.805,,,
91,1857346,20,,right,saccade,7.0,23.0,,,1370.013,733.8539999999997,1469.121,731.808,,,
92,1857366,512,3.3342109375,left,fixation,5.0,,1450.56862790698,717.842984496125,,,,,3.0,3.603831044399502,7.32201869172334
93,1857370,508,3.3341141732283464,right,fixation,7.0,24.0,1460.734546875,728.7561171875,,,,,3.0,3.2420299759136504,9.591834113040617
94,1857882,40,,left,saccade,6.0,,,,1454.777,677.74,919.674,755.2339999999997,,,
95,1857882,40,,right,saccade,8.0,24.0,,,1459.414,699.545,929.2510000000001,732.477,,,
96,1857926,96,3.3918125000000003,left,fixation,6.0,,911.576,773.55772,,,,,1.0,10.023016463509297,16.41848607515336
97,1857926,304,3.391373376623377,right,fixation,8.0,25.0,944.885922077922,740.518103896104,,,,,3.0,7.72095806195986,19.472676910428905
98,1858026,0,,left,saccade,7.0,,,,951.8660000000001,765.17,951.8660000000001,765.17,,,
99,1858030,204,3.390677884615385,left,fixation,7.0,,967.716846153846,751.49526923077,,,,,0.0,,
