,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
122,2576482,32,,left,saccade,1.0,,,,726.16,231.072,411.686,394.64099999999996,,,
124,2576518,1564,3.5259684931506854,left,fixation,1.0,,410.90486224489797,428.772191326531,,,,,0.0,,
125,2576522,1572,3.5256840659340662,right,fixation,1.0,34.0,393.538088832487,413.19705329949204,,,,,0.0,,
126,2578086,56,,left,saccade,2.0,,,,414.968,454.68300000000005,428.194,481.885,,,
127,2578098,40,,right,saccade,1.0,34.0,,,406.129,427.69800000000004,450.045,496.534,,,
128,2578258,1476,3.6598119402985065,right,fixation,2.0,35.0,473.758089189189,556.756921621623,,,,,0.0,,
129,2578274,0,,left,fixation,2.0,,445.11,481.885,,,,,0.0,,
130,2578278,20,,left,saccade,3.0,,,,446.335,481.885,465.876,558.962,,,
131,2578302,1428,3.659717065868264,left,fixation,3.0,,485.372363128492,560.810815642458,,,,,0.0,,
132,2579734,28,,left,saccade,4.0,,,,481.534,557.687,398.29,452.837,,,
133,2579738,20,,right,saccade,2.0,35.0,,,472.944,524.132,419.486,386.601,,,
134,2579762,32,3.6475,right,fixation,3.0,36.0,408.145222222222,377.780666666667,,,,,0.0,,
135,2579766,484,3.6408553719008254,left,fixation,4.0,,405.722508196721,436.636172131148,,,,,0.0,,
136,2579798,8,,right,saccade,3.0,36.0,,,403.711,395.18,398.56800000000004,426.966,,,
137,2579810,52,3.6431923076923076,right,fixation,4.0,37.0,385.79278571428597,441.749142857143,,,,,0.0,,
138,2579866,0,,right,saccade,4.0,37.0,,,374.145,430.69,374.145,430.69,,,
139,2579870,0,,right,fixation,5.0,38.0,372.50300000000004,421.61300000000006,,,,,0.0,,
140,2579874,0,,right,saccade,5.0,38.0,,,372.50300000000004,410.017,372.50300000000004,410.017,,,
141,2579878,368,3.64,right,fixation,6.0,39.0,394.524913978495,396.190838709677,,,,,0.0,,
142,2580250,41,,right,saccade,6.0,39.0,,,378.085,387.043,722.863,473.361,,,
143,2580254,33,,left,saccade,5.0,,,,388.348,448.50800000000004,695.7080000000003,534.5840000000002,,,
144,2580291,1423,3.7225323033707856,left,fixation,5.0,,726.6307955182069,569.184425770308,,,,,0.0,,
145,2580295,183,3.7067333333333337,right,fixation,7.0,40.0,730.3253404255321,518.703829787234,,,,,0.0,,
146,2580482,4,,right,saccade,7.0,40.0,,,731.058,567.5740000000002,729.36,569.909,,,
147,2580490,1220,3.724738562091503,right,fixation,8.0,41.0,728.9120522875819,544.336029411764,,,,,1.0,16.72444121720597,58.14097861233504
148,2581714,36,,right,saccade,8.0,41.0,,,725.7589999999999,545.5840000000002,492.434,513.299,,,
149,2581718,24,,left,saccade,6.0,,,,713.4889999999997,599.241,522.399,492.336,,,
150,2581746,64,3.7456875,left,fixation,6.0,,507.7384705882351,502.6175294117649,,,,,0.0,,
151,2581754,60,3.7455,right,fixation,9.0,42.0,491.55225,485.0143125,,,,,0.0,,
152,2581814,20,,left,saccade,7.0,,,,486.88699999999994,489.57300000000004,421.559,446.973,,,
153,2581818,20,,right,saccade,9.0,42.0,,,494.455,479.705,382.658,473.4,,,
154,2581838,1316,3.6636489361702127,left,fixation,7.0,,410.781736363636,423.755436363636,,,,,0.0,,
155,2581842,308,3.7285584415584414,right,fixation,10.0,43.0,382.48329487179495,431.768820512821,,,,,0.0,,
156,2582154,0,,right,saccade,10.0,43.0,,,414.29699999999997,417.834,414.29699999999997,417.834,,,
157,2582158,184,3.686122222222224,right,fixation,11.0,44.0,413.236063829787,371.699914893617,,,,,0.0,,
158,2582346,12,,right,saccade,11.0,44.0,,,414.415,385.11400000000003,413.964,417.652,,,
159,2582362,792,3.63301256281407,right,fixation,12.0,45.0,402.39140703517603,395.5664924623111,,,,,0.0,,
160,2583158,40,,right,saccade,12.0,45.0,,,402.73199999999997,430.35,982.571,526.369,,,
161,2583158,44,,left,saccade,8.0,,,,387.092,413.4,943.445,540.703,,,
162,2583202,316,3.735322784810127,right,fixation,13.0,46.0,980.294575,564.031025,,,,,0.0,,
163,2583206,312,3.735647435897436,left,fixation,8.0,,990.8656075949367,586.912860759494,,,,,1.0,9.338676830496064,18.671093915461874
164,2583522,24,,right,saccade,13.0,46.0,,,969.68,581.99,1190.995,569.0509999999998,,,
165,2583522,28,,left,saccade,9.0,,,,971.069,578.819,1184.237,579.9,,,
166,2583550,1152,3.6240329861111116,right,fixation,14.0,47.0,1203.76676816609,534.140349480969,,,,,0.0,,
167,2583554,1148,3.623719512195122,left,fixation,9.0,,1207.95131944444,569.825656249999,,,,,0.0,,
168,2584706,24,,left,saccade,10.0,,,,1212.839,556.05,1393.33,584.198,,,
169,2584706,24,,right,saccade,14.0,47.0,,,1212.636,526.876,1400.743,522.261,,,
170,2584734,912,3.6588026315789466,left,fixation,10.0,,1436.30194759825,578.546257641922,,,,,1.0,8.948882569907786,27.45586662263625
171,2584734,912,3.6588026315789466,right,fixation,15.0,48.0,1429.49379912664,557.120139737991,,,,,0.0,,
172,2585650,40,,left,saccade,11.0,,,,1414.715,599.5980000000002,965.01,572.253,,,
173,2585650,44,,right,saccade,15.0,48.0,,,1441.3,509.33099999999996,941.01,506.20599999999996,,,
174,2585694,791,3.7461522842639603,left,fixation,11.0,,975.931492462312,559.788346733669,,,,,1.0,9.395298422319797,28.863044780480067
175,2585698,463,3.741595652173913,right,fixation,16.0,49.0,956.1193931623932,529.33488034188,,,,,1.0,12.234501189713896,35.34402649670809
176,2586165,12,,right,saccade,16.0,49.0,,,980.168,530.336,972.6,574.194,,,
177,2586181,304,3.7519276315789485,right,fixation,17.0,50.0,961.5627272727272,563.102662337663,,,,,0.0,,
178,2586489,24,,left,saccade,12.0,,,,993.165,582.565,747.0260000000003,585.474,,,
179,2586489,28,,right,saccade,17.0,50.0,,,956.515,571.721,743.93,577.98,,,
180,2586517,1349,3.670396449704142,left,fixation,12.0,,722.197508875739,573.5781656804741,,,,,0.0,,
181,2586521,1217,3.6727081967213113,right,fixation,18.0,51.0,731.35597704918,557.550504918032,,,,,1.0,15.407239187761352,39.52375555283177
182,2587742,0,,right,saccade,18.0,51.0,,,736.1339999999999,538.057,736.1339999999999,538.057,,,
183,2587746,120,3.647683333333333,right,fixation,19.0,52.0,724.1838387096782,558.079129032258,,,,,0.0,,
184,2587870,28,,left,saccade,13.0,,,,741.2810000000003,557.077,541.314,565.315,,,
185,2587870,32,,right,saccade,19.0,52.0,,,734.785,542.979,544.521,558.606,,,
186,2587902,2276,3.6762196836555363,left,fixation,13.0,,488.75128771929803,569.065963157895,,,,,0.0,,
187,2587906,2268,3.6761719576719583,right,fixation,20.0,53.0,484.59163732394404,553.858964788732,,,,,0.0,,
188,2590178,28,,right,saccade,20.0,53.0,,,498.865,590.028,375.07,438.376,,,
189,2590182,24,,left,saccade,14.0,,,,463.68199999999996,574.156,355.564,408.853,,,
190,2590210,107,3.7188269230769233,left,fixation,14.0,,352.599964285714,422.635321428571,,,,,0.0,,
191,2590210,1195,3.6860318791946316,right,fixation,21.0,54.0,397.0499,417.15886333333395,,,,,1.0,12.18570017707457,35.560515308414715
