,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,3957615,36,,left,saccade,1.0,,,,414.523,158.977,652.724,261.848,,,
11,3957615,36,,right,saccade,1.0,3.0,,,442.657,189.142,712.8330000000003,277.434,,,
12,3957655,172,3.6210581395348833,left,fixation,1.0,,674.489318181818,276.499568181818,,,,,0.0,,
13,3957655,172,3.6210581395348833,right,fixation,1.0,4.0,706.6369318181821,300.430522727273,,,,,0.0,,
14,3957831,24,,right,saccade,2.0,4.0,,,697.627,311.856,921.5239999999999,305.65,,,
15,3957831,28,,left,saccade,2.0,,,,670.551,277.543,911.446,284.687,,,
16,3957859,264,3.592401515151515,right,fixation,2.0,5.0,944.0874328358212,285.712955223881,,,,,0.0,,
17,3957863,260,3.5920769230769234,left,fixation,2.0,,916.789303030303,292.257348484849,,,,,1.0,5.025690112920918,11.320760619322341
18,3958127,32,,left,saccade,3.0,,,,914.285,306.9290000000001,1188.851,292.524,,,
19,3958127,32,,right,saccade,3.0,5.0,,,961.826,267.97,1220.382,275.758,,,
20,3958163,776,3.4969102564102568,left,fixation,3.0,,1191.9877846153802,256.462712820513,,,,,0.0,,
21,3958163,776,3.4969102564102568,right,fixation,3.0,6.0,1212.45656923077,266.737302564103,,,,,0.0,,
