,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
528,2066745,728,3.4629964516129035,right,fixation,1.0,128.0,529.0583114754098,590.017775956284,,,,,6.0,5.36047653263261,17.756979357313007
529,2066765,1280,3.4443236577181207,left,fixation,1.0,,576.001585669782,596.944841121496,,,,,8.0,6.246058485553617,21.766623037115306
530,2067477,20,,right,saccade,1.0,128.0,,,525.612,607.255,624.344,600.13,,,
531,2067501,540,3.4220925925925934,right,fixation,2.0,129.0,636.0135,597.179147058824,,,,,4.0,4.483931918155542,19.590882784637532
532,2068045,16,,right,saccade,2.0,129.0,,,676.7439999999998,603.496,742.193,607.504,,,
533,2068049,16,,left,saccade,1.0,,,,682.65,600.5830000000002,755.67,600.5830000000002,,,
534,2068065,356,3.3717984496124034,right,fixation,3.0,130.0,751.293933333334,609.223166666667,,,,,2.0,3.5888830661547493,12.252645770922971
535,2068069,348,3.3717952755905514,left,fixation,2.0,,759.1102727272729,599.720284090909,,,,,2.0,3.517690950609293,10.043451120769989
536,2068421,60,,left,saccade,2.0,,,,740.221,604.544,733.607,559.805,,,
539,2068601,20,,right,saccade,3.0,131.0,,,753.9680000000003,497.80300000000005,750.2239999999997,602.158,,,
540,2068625,60,,left,fixation,3.0,,741.5511875,573.9299375,,,,,0.0,,
541,2068625,64,,right,fixation,4.0,132.0,751.564117647059,615.600176470588,,,,,0.0,,
542,2068689,24,,left,saccade,3.0,,,,747.3839999999999,584.365,853.362,604.306,,,
543,2068693,16,,right,saccade,4.0,132.0,,,753.429,619.9209999999998,837.211,616.807,,,
544,2068713,828,3.396799516908213,right,fixation,5.0,133.0,849.5420096153847,617.191173076923,,,,,7.0,2.890540598455085,7.0582489403642485
545,2068717,820,3.3972292682926835,left,fixation,4.0,,852.75763592233,605.953257281553,,,,,5.0,3.8654790865329822,11.471609544454529
546,2069541,32,,left,saccade,4.0,,,,848.3330000000003,604.119,464.30400000000003,615.575,,,
547,2069545,32,,right,saccade,5.0,133.0,,,845.585,601.1030000000002,461.615,605.8530000000002,,,
548,2069577,728,3.2727299578059066,left,fixation,5.0,,434.38422404371596,599.135147540984,,,,,6.0,2.6415556528967254,7.8589955811391965
549,2069581,732,3.2723842887473458,right,fixation,6.0,134.0,421.961483695652,603.499059782608,,,,,4.0,5.12043864275147,8.968143632229888
550,2070309,80,,left,saccade,5.0,,,,429.352,602.331,473.041,538.091,,,
551,2070317,68,,right,saccade,6.0,134.0,,,424.44300000000004,608.345,509.033,584.8290000000002,,,
552,2070441,448,3.3708928571428576,right,fixation,7.0,135.0,527.240300884956,606.787415929204,,,,,3.0,2.664877391693444,6.636941537059929
553,2070465,424,3.3708928571428567,left,fixation,6.0,,505.450177570094,592.6932242990663,,,,,2.0,3.091522230438861,7.9897827584220416
554,2070893,20,,left,saccade,6.0,,,,521.303,605.751,434.129,612.939,,,
555,2070893,20,,right,saccade,7.0,135.0,,,526.149,614.721,443.449,614.063,,,
556,2070917,452,3.405597345132743,left,fixation,7.0,,438.642263157895,610.233403508773,,,,,3.0,2.8035448944272496,5.796115650512942
557,2070917,452,3.405597345132743,right,fixation,8.0,136.0,431.745447368421,609.623824561403,,,,,2.0,6.423292954126303,7.398574666785171
558,2071373,20,,left,saccade,7.0,,,,440.26800000000003,604.011,524.153,592.788,,,
559,2071373,20,,right,saccade,8.0,136.0,,,441.788,615.614,529.235,618.8919999999998,,,
560,2071397,124,3.43330234375,left,fixation,8.0,,531.69584375,591.869125,,,,,0.0,,
561,2071397,132,3.43330234375,right,fixation,9.0,137.0,542.8952352941179,618.132705882353,,,,,4.0,2.5957551022201613,8.817583401098764
566,2071697,20,,right,saccade,9.0,138.0,,,562.099,488.11199999999997,560.034,556.482,,,
567,2071713,20,,left,saccade,8.0,,,,486.605,463.66900000000004,511.24699999999996,543.0790000000002,,,
568,2071721,276,3.471004534313726,right,fixation,10.0,139.0,540.376614285714,621.865685714286,,,,,4.0,4.47163866661117,28.858533635284157
569,2071737,260,3.471004534313726,left,fixation,9.0,,549.010333333334,597.157454545454,,,,,2.0,5.2980452761479855,29.70448444160557
570,2072001,20,,left,saccade,9.0,,,,538.2230000000002,607.727,627.924,602.691,,,
571,2072001,20,,right,saccade,10.0,139.0,,,537.428,627.964,614.7869999999998,626.203,,,
572,2072025,436,3.4714633027522925,left,fixation,10.0,,630.918445454545,600.0644636363639,,,,,4.0,3.6360795575982188,13.91027984384742
573,2072025,1320,3.447051515151516,right,fixation,11.0,140.0,703.814595166163,612.8624169184279,,,,,8.0,5.080371288352505,15.25387974705723
574,2072465,16,,left,saccade,10.0,,,,630.408,597.774,686.0139999999999,594.373,,,
575,2072485,856,3.4344556074766346,left,fixation,11.0,,736.019358139535,608.2051023255809,,,,,5.0,3.902892269958645,11.999211912313564
576,2073345,28,,left,saccade,11.0,,,,760.069,616.15,470.81,616.591,,,
577,2073349,28,,right,saccade,11.0,140.0,,,742.66,612.5409999999998,474.536,618.705,,,
578,2073377,416,3.4253293791189736,left,fixation,12.0,,445.633580952381,604.161533333334,,,,,1.0,2.3522096585503984,5.8906646484076886
