,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,8250675,48,,left,saccade,1.0,,,,435.31800000000004,154.55700000000004,481.985,148.045,,,
11,8250675,56,,right,saccade,1.0,3.0,,,401.911,130.834,471.134,107.914,,,
12,8250775,700,3.576902963204168,left,fixation,1.0,,524.429323863637,172.493613636364,,,,,4.0,4.4441035966501214,16.49191694104006
13,8250787,688,3.576902963204168,right,fixation,1.0,4.0,508.5785606936409,154.797265895954,,,,,4.0,3.9461793805055665,16.93246040459288
14,8251479,20,,left,saccade,2.0,,,,512.321,191.044,519.008,249.41,,,
15,8251479,20,,right,saccade,2.0,4.0,,,505.809,164.041,508.288,248.388,,,
16,8251503,144,3.588694444444444,left,fixation,2.0,,526.782297297297,271.595162162162,,,,,2.0,3.392392815331544,7.328771437958598
17,8251503,144,3.588694444444444,right,fixation,2.0,5.0,514.202594594594,263.216243243243,,,,,0.0,,
18,8251651,24,,left,saccade,3.0,,,,532.6619999999998,276.921,713.6339999999999,266.45799999999997,,,
19,8251651,24,,right,saccade,3.0,5.0,,,517.903,268.718,718.3860000000003,257.361,,,
20,8251679,200,3.5700500000000006,left,fixation,3.0,,740.155549019608,254.952098039216,,,,,0.0,,
21,8251679,200,3.5700500000000006,right,fixation,3.0,6.0,726.5540392156862,250.189352941176,,,,,1.0,1.8149376864111904,4.60191970812184
22,8251883,35,,left,saccade,4.0,,,,742.93,254.106,459.591,205.62599999999998,,,
23,8251883,35,,right,saccade,4.0,6.0,,,730.959,245.408,460.27099999999996,182.05200000000002,,,
24,8251922,265,3.5951865671641783,left,fixation,4.0,,447.958373134328,169.82574626865699,,,,,2.0,3.5302362995583687,10.87330176534689
25,8251922,269,3.5951544117647054,right,fixation,4.0,7.0,433.624029411765,147.333676470588,,,,,2.0,3.636157540984045,11.182088030702579
26,8252191,20,,left,saccade,5.0,,,,444.81199999999995,167.22799999999995,525.0509999999998,170.166,,,
27,8252195,16,,right,saccade,5.0,7.0,,,437.284,150.539,506.46,148.961,,,
28,8252215,292,3.5792,right,fixation,5.0,8.0,498.065270270271,157.661243243243,,,,,2.0,4.627889781894169,20.04953297935521
29,8252215,296,3.5792,left,fixation,5.0,,518.918373333333,162.358066666667,,,,,4.0,4.247234484916427,16.385065345930236
30,8252511,44,,right,saccade,6.0,8.0,,,475.26099999999997,151.46,457.06699999999995,116.816,,,
31,8252515,48,,left,saccade,6.0,,,,499.155,147.201,494.491,152.589,,,
32,8252627,720,3.6276651642628206,left,fixation,6.0,,513.457701657459,159.131602209945,,,,,5.0,5.1435830354573016,25.903564946219195
33,8252635,712,3.62766516426282,right,fixation,6.0,9.0,495.58239106145203,145.703245810056,,,,,2.0,5.275913267378567,39.964312976945436
34,8253351,40,,left,saccade,7.0,,,,534.637,173.604,512.96,154.404,,,
35,8253351,52,,right,saccade,7.0,9.0,,,517.306,175.55900000000003,503.94300000000004,113.815,,,
36,8253447,1007,3.6855575770418363,left,fixation,7.0,,488.942865612648,168.914541501976,,,,,7.0,6.300621387973822,27.37361188989441
37,8253463,987,3.6855575770418363,right,fixation,7.0,10.0,472.021802419354,156.399975806452,,,,,6.0,6.978328627354666,28.45979821465557
38,8254454,60,,right,saccade,8.0,10.0,,,482.236,161.648,455.379,82.613,,,
39,8254458,48,,left,saccade,8.0,,,,495.45300000000003,159.362,459.76199999999994,137.312,,,
40,8254558,565,3.6952300133244496,left,fixation,8.0,,464.91732394366204,156.708591549296,,,,,4.0,5.7399271364671325,31.151815349208285
41,8254578,236,3.655589486638536,right,fixation,8.0,11.0,471.980366666667,125.8906,,,,,1.0,10.418497401790297,48.58065978349819
42,8254818,8,,right,saccade,9.0,11.0,,,465.655,134.326,437.04,135.069,,,
43,8254830,285,3.7157083333333327,right,fixation,9.0,12.0,412.844041666667,131.272291666667,,,,,1.0,3.6951302224835207,9.215559505531957
44,8255119,20,,right,saccade,10.0,12.0,,,411.33,132.21200000000002,483.361,145.912,,,
45,8255127,12,,left,saccade,9.0,,,,450.779,145.375,493.093,160.536,,,
46,8255143,276,3.652398550724637,left,fixation,9.0,,515.383728571429,187.55062857142897,,,,,3.0,2.8782007490421795,7.319472929024613
47,8255143,276,3.652398550724637,right,fixation,10.0,13.0,490.577,164.598585714286,,,,,0.0,,
48,8255423,24,,left,saccade,10.0,,,,516.88,198.217,695.571,215.013,,,
49,8255423,24,,right,saccade,11.0,13.0,,,493.35400000000004,165.329,679.707,183.695,,,
50,8255451,251,3.644274193548387,left,fixation,10.0,,723.477015625,242.85671875,,,,,4.0,4.243304680665736,19.796750773876525
51,8255451,251,3.644274193548387,right,fixation,11.0,14.0,706.321171875,228.784953125,,,,,2.0,6.95233081656461,26.616397147784546
52,8255706,24,,left,saccade,11.0,,,,760.3580000000003,280.814,985.9889999999999,277.578,,,
53,8255706,24,,right,saccade,12.0,14.0,,,733.9630000000003,249.523,946.183,245.767,,,
54,8255734,648,3.5681257668711663,left,fixation,11.0,,978.495349693251,254.480625766871,,,,,5.0,3.6368929819110063,8.889955432664841
55,8255734,648,3.5681257668711663,right,fixation,12.0,15.0,958.928509202453,232.625435582822,,,,,5.0,3.2645129376958275,8.587651855083934
