,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
20,21249814,124,3.8038064516129033,left,fixation,1.0,,648.88909375,153.23340625,,,,,0.0,,
21,21249814,124,3.8038064516129033,right,fixation,1.0,6.0,656.03628125,179.010625,,,,,0.0,,
22,21249942,24,,left,saccade,1.0,,,,649.452,158.909,496.671,71.976,,,
23,21249942,32,,right,saccade,1.0,6.0,,,640.372,169.926,487.212,89.73899999999998,,,
28,21250175,220,3.8001727272727273,left,fixation,2.0,,381.229375,120.857392857143,,,,,0.0,,
29,21250175,220,3.8001727272727273,right,fixation,2.0,8.0,382.05191071428595,146.14573214285699,,,,,2.0,5.296726949308046,13.91783665872099
30,21250399,56,,right,saccade,2.0,8.0,,,400.469,162.6,1298.973,145.61700000000005,,,
31,21250399,60,,left,saccade,2.0,,,,384.402,134.269,1280.924,113.084,,,
32,21250459,527,3.711530707502909,right,fixation,3.0,9.0,1374.4069473684199,110.556112781955,,,,,3.0,8.51881144954297,27.336920723421002
33,21250463,523,3.7111630726680316,left,fixation,3.0,,1364.8759469697,113.120318181818,,,,,1.0,10.030425720720368,47.5592764978611
34,21250990,40,,left,saccade,3.0,,,,1420.055,94.53299999999999,1428.016,119.889,,,
35,21250990,40,,right,saccade,3.0,9.0,,,1429.97,83.25399999999998,1436.2579999999994,81.542,,,
36,21251082,252,3.6198022222222215,right,fixation,4.0,10.0,1382.876671875,101.361828125,,,,,2.0,8.085014818915553,40.545333588020725
37,21251094,48,,left,fixation,4.0,,1425.42176923077,95.58392307692309,,,,,1.0,6.809370178087125,11.692227589300515
38,21251146,20,,left,saccade,4.0,,,,1418.535,88.156,1351.719,150.986,,,
39,21251170,164,3.6198022222222215,left,fixation,5.0,,1343.0113333333302,144.84269047619,,,,,1.0,5.278490209225408,9.324668197850214
40,21251338,53,,left,saccade,5.0,,,,1350.693,129.696,557.8969999999998,145.638,,,
41,21251338,57,,right,saccade,4.0,10.0,,,1361.5079999999996,105.352,577.701,143.88,,,
42,21251395,92,,left,fixation,6.0,,540.256916666667,143.682625,,,,,0.0,,
43,21251399,88,,right,fixation,5.0,11.0,562.454086956522,154.98543478260902,,,,,0.0,,
44,21251491,40,,left,saccade,6.0,,,,536.105,142.908,356.29900000000015,130.55200000000002,,,
45,21251491,39,,right,saccade,5.0,11.0,,,571.475,160.369,488.686,172.608,,,
46,21251630,104,,right,fixation,6.0,12.0,468.32914814814797,165.88937037037,,,,,1.0,7.176437316353806,8.075422279980181
48,21251738,40,,left,saccade,7.0,,,,421.958,128.34,302.96299999999997,106.74600000000001,,,
