,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
220,2493253,96,,left,saccade,1.0,,,,1348.816,603.006,424.499,691.2610000000003,,,
221,2493253,72,,right,saccade,1.0,58.0,,,1370.046,551.759,448.783,673.578,,,
222,2493933,468,3.3757587084038345,right,fixation,1.0,59.0,452.18770338983,726.525720338983,,,,,1.0,3.8032520623802912,15.421910711711435
223,2493945,452,3.376370988485824,left,fixation,1.0,,455.435728070175,708.3926578947369,,,,,3.0,3.5188264979242536,24.433055714306057
224,2494401,20,,left,saccade,2.0,,,,464.676,716.683,531.765,752.673,,,
225,2494405,16,,right,saccade,2.0,59.0,,,439.939,721.801,507.905,736.779,,,
226,2494425,488,3.252151639344263,right,fixation,2.0,60.0,533.970715447154,770.259601626016,,,,,2.0,5.1982335631182846,21.75601882311303
227,2494425,896,3.2371428571428567,left,fixation,2.0,,534.646826666667,761.355257777778,,,,,3.0,6.686576964459713,33.452725458672646
228,2494917,12,,right,saccade,3.0,60.0,,,545.256,783.472,481.14599999999996,787.1460000000003,,,
229,2494933,392,3.218714285714286,right,fixation,3.0,61.0,471.56539393939397,776.485929292929,,,,,0.0,,
230,2495325,28,,left,saccade,3.0,,,,479.385,762.6260000000003,673.834,761.19,,,
231,2495329,28,,right,saccade,4.0,61.0,,,482.64099999999996,771.133,696.6,759.404,,,
232,2495357,68,3.203441176470589,left,fixation,3.0,,688.790611111111,766.185222222222,,,,,0.0,,
233,2495361,60,3.2035,right,fixation,4.0,62.0,704.2301875,759.0504375,,,,,0.0,,
234,2495425,20,,right,saccade,5.0,62.0,,,705.559,764.3889999999999,592.078,781.319,,,
235,2495429,16,,left,saccade,4.0,,,,693.4860000000001,772.788,617.6519999999998,784.308,,,
236,2495449,20,3.2003,left,fixation,4.0,,613.569166666667,786.4243333333328,,,,,0.0,,
237,2495449,20,3.2003,right,fixation,5.0,63.0,591.455333333333,787.2535,,,,,0.0,,
238,2495473,24,,left,saccade,5.0,,,,612.681,786.944,784.0110000000003,767.174,,,
239,2495473,24,,right,saccade,6.0,63.0,,,594.221,790.706,804.245,756.06,,,
240,2495501,52,3.200875,right,fixation,6.0,64.0,807.6690714285719,730.745428571429,,,,,0.0,,
241,2495501,56,3.200807692307692,left,fixation,5.0,,788.781733333333,744.778466666667,,,,,0.0,,
242,2495557,24,,right,saccade,7.0,64.0,,,807.9960000000003,718.3639999999997,672.645,745.029,,,
243,2495561,20,,left,saccade,6.0,,,,789.2360000000001,744.135,676.84,768.632,,,
244,2495585,400,3.2311089108910886,right,fixation,7.0,65.0,651.448118811881,758.906732673267,,,,,0.0,,
245,2495585,404,3.2312990196078437,left,fixation,6.0,,677.410882352941,775.352980392156,,,,,0.0,,
246,2495989,20,,right,saccade,8.0,65.0,,,653.558,789.4119999999997,742.313,787.1489999999999,,,
247,2495993,16,,left,saccade,7.0,,,,675.8480000000002,775.595,736.74,775.554,,,
248,2496013,428,3.245705607476636,left,fixation,7.0,,762.741046296296,775.468138888889,,,,,1.0,3.150863594141872,5.496928596953014
249,2496013,444,3.2455315315315314,right,fixation,8.0,66.0,767.782178571429,779.465375,,,,,2.0,6.079296645327009,12.149218373777874
250,2496445,20,,left,saccade,8.0,,,,770.502,768.211,869.28,776.4169999999997,,,
251,2496461,4,,right,saccade,9.0,66.0,,,827.528,777.2739999999999,836.812,779.434,,,
252,2496469,768,3.2769999999999997,left,fixation,8.0,,856.668098445596,766.481088082901,,,,,1.0,9.29982131847466,49.54310391971829
253,2496469,768,3.2769999999999997,right,fixation,9.0,67.0,858.114974093264,768.1007253886011,,,,,5.0,4.857218444530754,17.912120377412073
254,2497241,44,,right,saccade,10.0,67.0,,,829.159,753.283,1389.977,682.8380000000002,,,
255,2497241,48,,left,saccade,9.0,,,,828.0160000000003,742.043,1409.7,717.696,,,
256,2497289,220,3.2141090909090915,right,fixation,10.0,68.0,1425.7830357142902,680.818517857143,,,,,1.0,4.187896482059323,22.89293037162341
257,2497293,208,3.2146730769230767,left,fixation,9.0,,1413.66133962264,714.183301886792,,,,,0.0,,
258,2497505,20,,left,saccade,10.0,,,,1412.964,718.725,1494.5539999999999,723.6039999999997,,,
259,2497513,12,,right,saccade,11.0,68.0,,,1447.183,688.717,1496.871,688.717,,,
260,2497529,1156,3.1403508620689653,left,fixation,10.0,,1531.77052068966,735.812413793103,,,,,5.0,3.5510459836183896,14.396429383253698
261,2497529,1160,3.1401915807560137,right,fixation,11.0,69.0,1535.9744639175199,694.617673539519,,,,,15.0,5.272446279372819,22.67637506992558
