,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
356,2690222,20,,left,saccade,1.0,,,,512.44,621.689,514.269,679.988,,,
357,2690222,20,,right,saccade,1.0,86.0,,,520.197,601.154,521.976,716.574,,,
358,2690246,611,3.7009769736842095,left,fixation,1.0,,540.8396623376619,714.476785714286,,,,,0.0,,
359,2690246,611,3.7009769736842095,right,fixation,1.0,87.0,531.391194805195,721.545824675325,,,,,0.0,,
360,2690861,24,,left,saccade,2.0,,,,553.89,737.742,763.238,748.664,,,
361,2690861,28,,right,saccade,2.0,87.0,,,542.696,701.3380000000003,753.076,714.9630000000003,,,
362,2690889,424,3.7495934579439245,left,fixation,2.0,,747.1924485981309,740.274682242991,,,,,0.0,,
363,2690893,416,3.7494666666666654,right,fixation,2.0,88.0,740.194047619048,738.079076190476,,,,,0.0,,
364,2691313,24,,right,saccade,3.0,88.0,,,731.1139999999997,740.0369999999997,602.006,749.174,,,
365,2691317,20,,left,saccade,3.0,,,,721.365,733.1569999999997,648.248,731.789,,,
366,2691341,432,3.7001620370370367,right,fixation,3.0,89.0,620.727027522935,740.878412844036,,,,,0.0,,
367,2691341,436,3.7002385321100912,left,fixation,3.0,,643.4354909090911,743.689709090909,,,,,0.0,,
668,2751390,24,,left,saccade,4.0,,,,670.6030000000002,606.644,540.996,761.997,,,
669,2751390,24,,right,saccade,4.0,156.0,,,628.591,595.565,526.192,732.686,,,
670,2751418,484,3.688140495867768,left,fixation,4.0,,546.239327868852,752.778893442623,,,,,0.0,,
671,2751418,488,3.687881147540984,right,fixation,4.0,157.0,530.410715447155,737.8584878048779,,,,,0.0,,
672,2751906,20,,left,saccade,5.0,,,,563.461,748.413,468.41900000000004,749.805,,,
673,2751910,20,,right,saccade,5.0,157.0,,,522.207,743.1039999999997,425.66900000000004,728.314,,,
674,2751930,124,3.618322580645161,left,fixation,5.0,,454.92159375,742.73040625,,,,,0.0,,
675,2751934,120,3.6176999999999992,right,fixation,5.0,158.0,417.127741935484,731.623806451613,,,,,0.0,,
682,2752486,20,,left,saccade,6.0,,,,537.745,609.903,488.745,697.404,,,
683,2752486,20,,right,saccade,6.0,160.0,,,526.674,576.76,457.525,708.9910000000001,,,
684,2752510,988,3.6326983805668016,right,fixation,6.0,161.0,435.01197983871003,723.62925,,,,,0.0,,
685,2752510,992,3.6326915322580646,left,fixation,6.0,,445.56866265060205,730.8717831325299,,,,,0.0,,
686,2753502,24,,right,saccade,7.0,161.0,,,403.17,713.268,529.314,708.9960000000003,,,
687,2753506,20,,left,saccade,7.0,,,,426.05800000000005,754.2739999999999,531.0509999999998,746.807,,,
688,2753530,551,3.680270072992701,left,fixation,7.0,,545.974352517986,746.690712230216,,,,,0.0,,
689,2753530,551,3.680270072992701,right,fixation,7.0,162.0,525.246215827338,724.004345323741,,,,,0.0,,
690,2754085,24,,left,saccade,8.0,,,,545.754,739.436,709.444,755.5989999999997,,,
691,2754085,24,,right,saccade,8.0,162.0,,,528.444,724.189,677.308,735.423,,,
692,2754113,680,3.722126470588235,left,fixation,8.0,,656.065070175439,760.947,,,,,1.0,14.178754202052534,39.135061990496396
693,2754113,684,3.722213450292397,right,fixation,8.0,163.0,647.929447674418,735.9729360465109,,,,,1.0,19.598178249379306,60.411231819919
694,2754797,20,,left,saccade,9.0,,,,659.591,764.3760000000003,540.814,765.863,,,
